date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-17,1,0,1,1,0
2020-03-18,1,0,0,1,0
2020-03-19,1,0,0,1,0
2020-03-20,1,0,0,1,0
2020-03-21,1,0,0,1,0
2020-03-22,2,0,1,2,0
2020-03-23,2,0,0,2,0
2020-03-24,2,0,0,2,0
2020-03-25,2,0,0,2,0
2020-03-26,3,0,1,3,0
2020-03-27,3,0,0,3,0
2020-03-28,3,0,0,3,0
2020-03-29,3,0,0,3,0
2020-03-30,7,0,4,7,0
2020-03-31,7,0,0,7,0
2020-04-01,7,0,0,7,0
2020-04-02,7,0,0,7,0
2020-04-03,8,0,1,5,0
2020-04-04,8,0,0,5,0
2020-04-05,8,0,0,5,0
2020-04-06,14,0,6,11,0
2020-04-07,14,0,0,11,0
2020-04-08,14,0,0,11,0
2020-04-09,24,0,10,20,0
2020-04-10,24,0,0,20,0
2020-04-11,24,0,0,19,0
2020-04-12,24,0,0,19,0
2020-04-13,31,0,7,26,0
2020-04-14,32,0,1,27,0
2020-04-15,32,0,0,22,0
2020-04-16,33,0,1,23,0
2020-04-17,34,0,1,23,0
2020-04-18,39,0,5,28,0
2020-04-19,107,0,68,96,0
2020-04-20,114,1,7,103,1
2020-04-21,118,1,4,103,0
2020-04-22,120,1,2,102,0
2020-04-23,123,1,3,105,0
2020-04-24,137,1,14,119,0
2020-04-25,147,1,10,129,0
2020-04-26,167,1,20,145,0
2020-04-27,175,1,8,153,0
2020-04-28,181,1,6,152,0
2020-04-29,185,1,4,140,0
2020-04-30,198,1,13,152,0
2020-05-01,213,5,15,162,4
2020-05-02,238,1,25,169,-4
2020-05-03,260,1,22,191,0
2020-05-04,299,1,39,218,0
2020-05-05,305,1,6,193,0
2020-05-06,329,1,24,214,0
2020-05-07,354,1,25,228,0
2020-05-08,372,1,18,235,0
2020-05-09,400,1,28,251,0
2020-05-10,425,3,25,269,2
2020-05-11,457,3,32,294,0
2020-05-12,494,3,37,330,0
2020-05-13,513,3,19,312,0
2020-05-14,554,3,41,342,0
2020-05-15,586,3,32,357,0
2020-05-16,638,3,52,382,0
2020-05-17,688,3,50,426,0
2020-05-18,720,3,32,456,0
2020-05-19,792,4,72,493,1
2020-05-20,817,4,25,502,0
2020-05-21,858,4,41,509,0
2020-05-22,888,4,30,505,0
