date,total_cases,cured,total_deaths
2020-03-30,2,0,0
2020-03-31,2,0,0
2020-04-01,2,0,0
2020-04-02,2,0,0
2020-04-03,5,0,0
2020-04-04,5,0,0
2020-04-05,5,0,0
2020-04-06,5,0,0
2020-04-07,5,0,0
2020-04-08,5,0,0
2020-04-09,21,0,0
2020-04-10,21,0,0
2020-04-11,21,0,0
2020-04-12,29,0,0
2020-04-13,30,0,0
2020-04-14,30,0,0
2020-04-15,47,2,1
2020-04-16,60,2,3
2020-04-17,64,7,3
2020-04-18,99,7,3
2020-04-19,123,9,3
2020-04-20,136,9,3
2020-04-21,137,9,3
2020-04-22,148,13,3
2020-04-23,165,25,3
2020-04-24,186,25,3
2020-04-25,211,29,4
2020-04-26,277,42,4
2020-04-27,298,44,4
2020-04-28,306,55,4
2020-04-29,350,60,4
2020-04-30,365,75,4
2020-05-01,384,81,4
2020-05-02,411,83,4
2020-05-03,487,93,4
2020-05-04,504,101,4
2020-05-05,535,108,6
2020-05-06,564,113,6
2020-05-07,589,123,6
2020-05-08,629,134,6
2020-05-09,673,161,6
2020-05-10,731,177,6
2020-05-11,764,181,6
2020-05-12,806,209,7
2020-05-13,850,245,7
2020-05-14,895,274,7
2020-05-15,945,294,7
2020-05-16,984,319,7
2020-05-17,1029,375,7
2020-05-18,1065,426,7
2020-05-19,1099,492,7
2020-05-20,1154,546,7
2020-05-21,1202,565,7
2020-05-22,1247,622,8
2020-05-23,1298,646,8
2020-05-24,1348,664,10
2020-05-25,1501,683,11
2020-05-26,1558,718,11
2020-05-27,1596,769,12
2020-05-28,1614,797,15
2020-05-29,1654,855,15
2020-05-30,1693,899,15
2020-05-31,1752,920,15
2020-06-01,1883,937,16
2020-06-02,1937,1014,19
2020-06-03,2004,1052,19
2020-06-04,2097,1120,19
2020-06-05,2172,1166,20
2020-06-06,2233,1225,22
2020-06-07,2293,1263,22
2020-06-08,2337,1294,22
2020-06-09,2420,1362,22
2020-06-10,2501,1438,23
2020-06-11,2586,1535,23
2020-06-12,2630,1560,24
2020-06-13,2674,1639,24
2020-06-14,2733,1678,24
2020-06-15,2794,1702,24
2020-06-16,2862,1807,25
2020-06-17,2927,1875,25
2020-06-18,2987,1978,26
2020-06-19,3046,2000,27
2020-06-20,3103,2053,27
2020-06-21,3158,2076,28
2020-06-22,3206,2093,28
2020-06-23,3242,2157,28
2020-06-24,3275,2203,29
2020-06-25,3307,2220,29
2020-06-26,3347,2272,29
2020-06-27,3382,2298,30
2020-06-28,3419,2310,30
2020-06-29,3448,2322,30
2020-06-30,3479,2340,31
2020-07-01,3513,2352,32
2020-07-02,3548,2363,32
2020-07-03,3577,2378,32
2020-07-04,3617,2395,33
2020-07-05,3656,2399,33
2020-07-06,3698,2404,33
