,date,confirmed,cured,deaths
0,2020-03-24T00:00:00.000Z,4,0,0
1,2020-03-25T00:00:00.000Z,4,0,0
2,2020-03-26T00:00:00.000Z,4,0,0
3,2020-03-27T00:00:00.000Z,4,0,0
4,2020-03-28T00:00:00.000Z,4,0,0
5,2020-03-29T00:00:00.000Z,5,0,0
6,2020-03-30T00:00:00.000Z,5,0,0
7,2020-03-31T00:00:00.000Z,7,0,0
8,2020-04-01T00:00:00.000Z,8,1,0
9,2020-04-02T00:00:00.000Z,10,1,0
10,2020-04-03T00:00:00.000Z,10,5,0
11,2020-04-04T00:00:00.000Z,10,5,0
12,2020-04-05T00:00:00.000Z,10,5,0
13,2020-04-06T00:00:00.000Z,10,5,0
14,2020-04-07T00:00:00.000Z,12,5,0
15,2020-04-08T00:00:00.000Z,16,5,0
16,2020-04-09T00:00:00.000Z,22,6,0
17,2020-04-10T00:00:00.000Z,40,6,0
18,2020-04-11T00:00:00.000Z,65,7,0
19,2020-04-12T00:00:00.000Z,84,7,1
20,2020-04-13T00:00:00.000Z,107,7,1
21,2020-04-14T00:00:00.000Z,129,9,3
22,2020-04-15T00:00:00.000Z,149,9,5
23,2020-04-16T00:00:00.000Z,191,9,5
24,2020-04-17T00:00:00.000Z,213,14,8
25,2020-04-18T00:00:00.000Z,252,14,8
26,2020-04-19T00:00:00.000Z,297,14,12
27,2020-04-20T00:00:00.000Z,349,20,14
28,2020-04-21T00:00:00.000Z,371,20,14
29,2020-04-22T00:00:00.000Z,396,34,14
30,2020-04-23T00:00:00.000Z,422,38,14
31,2020-04-24T00:00:00.000Z,455,57,14
32,2020-04-25T00:00:00.000Z,490,57,14
33,2020-04-26T00:00:00.000Z,527,59,14
34,2020-04-27T00:00:00.000Z,570,72,14
35,2020-04-28T00:00:00.000Z,631,80,14
36,2020-04-29T00:00:00.000Z,691,80,14
37,2020-04-30T00:00:00.000Z,766,120,14
38,2020-05-01T00:00:00.000Z,843,167,14
39,2020-05-02T00:00:00.000Z,935,176,14
40,2020-05-03T00:00:00.000Z,1022,183,14
41,2020-05-04T00:00:00.000Z,1102,185,14
42,2020-05-05T00:00:00.000Z,1136,255,14
43,2020-05-06T00:00:00.000Z,1160,259,14
44,2020-05-07T00:00:00.000Z,1243,289,14
45,2020-05-08T00:00:00.000Z,1332,361,14
46,2020-05-09T00:00:00.000Z,1416,409,15
47,2020-05-10T00:00:00.000Z,1491,435,15
48,2020-05-11T00:00:00.000Z,1567,435,15
49,2020-05-12T00:00:00.000Z,1647,436,16
50,2020-05-13T00:00:00.000Z,1696,466,16
51,2020-05-14T00:00:00.000Z,1784,518,16
52,2020-05-15T00:00:00.000Z,1874,524,16
53,2020-05-16T00:00:00.000Z,1963,580,17
54,2020-05-17T00:00:00.000Z,2061,599,17
55,2020-05-18T00:00:00.000Z,2155,651,17
56,2020-05-19T00:00:00.000Z,2247,669,17
57,2020-05-20T00:00:00.000Z,2335,714,18
58,2020-05-21T00:00:00.000Z,2424,763,18
59,2020-05-22T00:00:00.000Z,2514,792,18
60,2020-05-23T00:00:00.000Z,2602,793,18
61,2020-05-24T00:00:00.000Z,2683,832,18
62,2020-05-25T00:00:00.000Z,2772,882,18
63,2020-05-26T00:00:00.000Z,2851,884,18
64,2020-05-27T00:00:00.000Z,2942,902,18
65,2020-05-28T00:00:00.000Z,3021,948,18
66,2020-05-29T00:00:00.000Z,3105,1007,18
67,2020-05-30T00:00:00.000Z,3185,1028,18
68,2020-05-31T00:00:00.000Z,3260,1116,18
69,2020-06-01T00:00:00.000Z,3337,1132,18
70,2020-06-02T00:00:00.000Z,3409,1138,18
71,2020-06-03T00:00:00.000Z,3501,1192,18
72,2020-06-04T00:00:00.000Z,3608,1249,18
73,2020-06-05T00:00:00.000Z,3727,1286,18
74,2020-06-06T00:00:00.000Z,3832,1322,18
75,2020-06-07T00:00:00.000Z,3928,1437,18
76,2020-06-08T00:00:00.000Z,4017,1453,18
77,2020-06-09T00:00:00.000Z,4113,1505,18
78,2020-06-10T00:00:00.000Z,4194,1640,18
79,2020-06-11T00:00:00.000Z,4273,1741,18
80,2020-06-12T00:00:00.000Z,4348,1759,18
81,2020-06-13T00:00:00.000Z,4418,1839,18
82,2020-06-14T00:00:00.000Z,4486,1853,18
83,2020-06-15T00:00:00.000Z,4547,1874,18
84,2020-06-16T00:00:00.000Z,4611,1940,18
85,2020-06-17T00:00:00.000Z,4670,2070,18
86,2020-06-18T00:00:00.000Z,4730,2182,18
87,2020-06-19T00:00:00.000Z,4792,2267,18
88,2020-06-20T00:00:00.000Z,4850,2358,18
89,2020-06-21T00:00:00.000Z,4906,2380,18
90,2020-06-22T00:00:00.000Z,4959,2385,18
91,2020-06-23T00:00:00.000Z,5011,2482,18
92,2020-06-24T00:00:00.000Z,5068,2574,18
93,2020-06-25T00:00:00.000Z,5121,2643,18
94,2020-06-26T00:00:00.000Z,5171,2783,18
95,2020-06-27T00:00:00.000Z,5220,2843,18
96,2020-06-28T00:00:00.000Z,5267,2853,18
97,2020-06-29T00:00:00.000Z,5315,2870,18
98,2020-06-30T00:00:00.000Z,5361,2995,18
99,2020-07-01T00:00:00.000Z,5405,3104,18
100,2020-07-02T00:00:00.000Z,5450,3144,18
101,2020-07-03T00:00:00.000Z,5497,3201,18
102,2020-07-04T00:00:00.000Z,5543,3261,19
103,2020-07-05T00:00:00.000Z,5591,3301,19
104,2020-07-06T00:00:00.000Z,5638,3333,19
105,2020-07-07T00:00:00.000Z,5686,3446,19
106,2020-07-08T00:00:00.000Z,5731,3595,19
107,2020-07-09T00:00:00.000Z,5778,3759,19
108,2020-07-10T00:00:00.000Z,5826,3919,19
109,2020-07-11T00:00:00.000Z,5875,3962,19
110,2020-07-12T00:00:00.000Z,5921,3994,19
111,2020-07-13T00:00:00.000Z,5967,4015,19
112,2020-07-14T00:00:00.000Z,6014,4176,19
113,2020-07-15T00:00:00.000Z,6077,4255,19
114,2020-07-16T00:00:00.000Z,6134,4320,19
115,2020-07-17T00:00:00.000Z,6194,4572,20
116,2020-07-18T00:00:00.000Z,6249,4627,20
117,2020-07-19T00:00:00.000Z,6307,4630,20
118,2020-07-20T00:00:00.000Z,6348,4637,21
119,2020-07-21T00:00:00.000Z,6386,4697,21
120,2020-07-22T00:00:00.000Z,6426,4763,21
121,2020-07-23T00:00:00.000Z,6463,4775,21
122,2020-07-24T00:00:00.000Z,6500,4781,21
123,2020-07-25T00:00:00.000Z,6536,4825,21
124,2020-07-26T00:00:00.000Z,6571,4830,21
125,2020-07-27T00:00:00.000Z,6607,4861,21
126,2020-07-28T00:00:00.000Z,6640,4964,21
127,2020-07-29T00:00:00.000Z,6675,5019,21
128,2020-07-30T00:00:00.000Z,6711,5108,22
129,2020-07-31T00:00:00.000Z,6745,5173,22
130,2020-08-01T00:00:00.000Z,6780,5180,22
131,2020-08-02T00:00:00.000Z,6815,5200,23
132,2020-08-03T00:00:00.000Z,6851,5209,23
133,2020-08-04T00:00:00.000Z,6886,5300,23
134,2020-08-05T00:00:00.000Z,6920,5315,23
135,2020-08-06T00:00:00.000Z,6955,5351,24
136,2020-08-07T00:00:00.000Z,6990,5385,24
137,2020-08-08T00:00:00.000Z,7024,5406,25
138,2020-08-09T00:00:00.000Z,7059,5406,25
139,2020-08-10T00:00:00.000Z,7093,5406,25
140,2020-08-11T00:00:00.000Z,7127,5424,25
141,2020-08-12T00:00:00.000Z,7162,5530,25
142,2020-08-13T00:00:00.000Z,7197,5786,25
143,2020-08-14T00:00:00.000Z,7230,5869,26
144,2020-08-15T00:00:00.000Z,7264,6055,26
145,2020-08-16T00:00:00.000Z,7298,6227,26
146,2020-08-17T00:00:00.000Z,7333,6370,26
147,2020-08-18T00:00:00.000Z,7367,6491,26
148,2020-08-19T00:00:00.000Z,7402,6554,27
149,2020-08-20T00:00:00.000Z,7435,6586,27
150,2020-08-21T00:00:00.000Z,7469,6614,27
151,2020-08-22T00:00:00.000Z,7500,6642,27
152,2020-08-23T00:00:00.000Z,7534,6652,27
153,2020-08-24T00:00:00.000Z,7567,6652,28
154,2020-08-25T00:00:00.000Z,7601,6680,28
155,2020-08-26T00:00:00.000Z,7634,6781,28
156,2020-08-27T00:00:00.000Z,7667,6837,28
157,2020-08-28T00:00:00.000Z,7698,6872,28
158,2020-08-29T00:00:00.000Z,7731,6894,29
159,2020-08-30T00:00:00.000Z,7763,6894,29
160,2020-08-31T00:00:00.000Z,7795,6894,29
161,2020-09-01T00:00:00.000Z,7825,6906,29
162,2020-09-02T00:00:00.000Z,7856,6918,29
163,2020-09-03T00:00:00.000Z,7888,6925,29
164,2020-09-04T00:00:00.000Z,7918,6991,29
165,2020-09-05T00:00:00.000Z,7949,7081,29
166,2020-09-06T00:00:00.000Z,7981,7082,29
167,2020-09-07T00:00:00.000Z,8011,7094,29
168,2020-09-08T00:00:00.000Z,8042,7214,29
169,2020-09-09T00:00:00.000Z,8072,7311,29
170,2020-09-10T00:00:00.000Z,8101,7523,30
171,2020-09-11T00:00:00.000Z,8131,7611,30
172,2020-09-12T00:00:00.000Z,8161,7710,30
173,2020-09-13T00:00:00.000Z,8193,7719,31
174,2020-09-14T00:00:00.000Z,8223,7827,31
175,2020-09-15T00:00:00.000Z,8254,7899,31
176,2020-09-16T00:00:00.000Z,8286,7964,31
177,2020-09-17T00:00:00.000Z,8317,8010,31
178,2020-09-18T00:00:00.000Z,8350,8075,31
179,2020-09-19T00:00:00.000Z,8384,8158,33
180,2020-09-20T00:00:00.000Z,8417,8172,33
181,2020-09-21T00:00:00.000Z,8452,8177,33
182,2020-09-22T00:00:00.000Z,8487,8247,36
183,2020-09-23T00:00:00.000Z,8521,8327,36
184,2020-09-24T00:00:00.000Z,8556,8422,36
185,2020-09-25T00:00:00.000Z,8592,8528,36
186,2020-09-26T00:00:00.000Z,8630,8528,36
187,2020-09-27T00:00:00.000Z,8669,8529,37
188,2020-09-28T00:00:00.000Z,8708,8529,39
189,2020-09-29T00:00:00.000Z,8748,8533,41
190,2020-09-30T00:00:00.000Z,8790,8538,41
191,2020-10-01T00:00:00.000Z,8831,8544,41
192,2020-10-02T00:00:00.000Z,8873,8551,41
193,2020-10-03T00:00:00.000Z,8917,8557,41
194,2020-10-04T00:00:00.000Z,8961,8557,42
195,2020-10-05T00:00:00.000Z,9007,8560,42
196,2020-10-06T00:00:00.000Z,9051,8567,42
197,2020-10-07T00:00:00.000Z,9098,8576,42
198,2020-10-08T00:00:00.000Z,9144,8581,43
199,2020-10-09T00:00:00.000Z,9191,8591,43
200,2020-10-10T00:00:00.000Z,9240,8602,44
201,2020-10-11T00:00:00.000Z,9290,8610,45
