date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-22,1,0,1,1,0
2020-03-23,1,0,0,1,0
2020-03-24,1,0,0,1,0
2020-03-25,2,0,1,2,0
2020-03-26,2,0,0,2,0
2020-03-27,2,0,0,2,0
2020-03-28,3,0,1,3,0
2020-03-29,3,0,0,3,0
2020-03-30,3,0,0,3,0
2020-03-31,3,0,0,3,0
2020-04-01,5,0,2,5,0
2020-04-02,5,0,0,5,0
2020-04-03,7,0,2,7,0
2020-04-04,19,0,12,19,0
2020-04-05,19,0,0,19,0
2020-04-06,24,0,5,24,0
2020-04-07,56,0,32,56,0
2020-04-08,57,0,1,57,0
2020-04-09,97,0,40,94,0
2020-04-10,97,0,0,94,0
2020-04-11,123,0,26,120,0
2020-04-12,141,0,18,138,0
2020-04-13,142,0,1,139,0
2020-04-14,142,0,0,135,0
2020-04-15,164,0,22,152,0
2020-04-16,201,0,37,178,0
2020-04-17,228,1,27,205,1
2020-04-18,256,1,28,227,0
2020-04-19,279,1,23,249,0
2020-04-20,321,1,42,291,0
2020-04-21,350,1,29,292,0
2020-04-22,399,1,49,337,0
2020-04-23,459,2,60,391,1
2020-04-24,494,2,35,412,0
2020-04-25,521,2,27,437,0
2020-04-26,599,4,78,497,2
2020-04-27,642,4,43,540,0
2020-04-28,668,4,26,566,0
2020-04-29,783,4,115,620,0
2020-04-30,901,8,118,679,4
2020-05-01,989,9,88,749,1
2020-05-02,1062,9,73,801,0
2020-05-03,1148,9,86,872,0
2020-05-04,1250,12,102,956,3
2020-05-05,1287,12,37,974,0
2020-05-06,1367,12,80,998,0
2020-05-07,1442,12,75,1063,0
2020-05-08,1514,17,72,1097,5
2020-05-09,1537,17,23,1087,0
2020-05-10,1605,17,68,1105,0
2020-05-11,1678,22,73,1142,5
2020-05-12,1753,29,75,1161,7
2020-05-13,1826,30,73,1156,1
2020-05-14,1908,30,82,1160,0
2020-05-15,1995,30,87,1161,0
2020-05-16,2080,30,85,1171,0
2020-05-17,2178,30,98,1177,0
2020-05-18,2293,30,115,1276,0
2020-05-19,2405,30,112,1363,0
2020-05-20,2515,31,110,1386,1
