date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-24T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-25T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-26T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-27T00:00:00.000Z,3,0,2.0,3,0.0
2020-03-28T00:00:00.000Z,5,0,2.0,5,0.0
2020-03-29T00:00:00.000Z,9,0,4.0,9,0.0
2020-03-30T00:00:00.000Z,9,0,0.0,9,0.0
2020-03-31T00:00:00.000Z,9,0,0.0,9,0.0
2020-04-01T00:00:00.000Z,10,1,1.0,10,1.0
2020-04-02T00:00:00.000Z,10,1,0.0,10,0.0
2020-04-03T00:00:00.000Z,12,1,2.0,12,0.0
2020-04-04T00:00:00.000Z,15,1,3.0,15,0.0
2020-04-05T00:00:00.000Z,15,1,0.0,15,0.0
2020-04-06T00:00:00.000Z,16,1,1.0,16,0.0
2020-04-07T00:00:00.000Z,17,1,1.0,5,0.0
2020-04-08T00:00:00.000Z,22,1,5.0,7,0.0
2020-04-09T00:00:00.000Z,22,1,0.0,7,0.0
2020-04-10T00:00:00.000Z,22,1,0.0,7,0.0
2020-04-11T00:00:00.000Z,30,1,8.0,15,0.0
2020-04-12T00:00:00.000Z,47,3,17.0,32,2.0
2020-04-13T00:00:00.000Z,49,5,2.0,34,2.0
2020-04-14T00:00:00.000Z,64,5,15.0,49,0.0
2020-04-15T00:00:00.000Z,105,5,41.0,90,0.0
2020-04-16T00:00:00.000Z,108,5,3.0,93,0.0
2020-04-17T00:00:00.000Z,115,5,7.0,100,0.0
2020-04-18T00:00:00.000Z,175,5,60.0,160,0.0
2020-04-19T00:00:00.000Z,219,5,44.0,200,0.0
2020-04-20T00:00:00.000Z,264,5,45.0,245,0.0
2020-04-21T00:00:00.000Z,303,5,39.0,284,0.0
2020-04-22T00:00:00.000Z,323,6,20.0,304,1.0
2020-04-23T00:00:00.000Z,347,6,24.0,328,0.0
2020-04-24T00:00:00.000Z,365,6,18.0,342,0.0
