,date,confirmed,cured,deaths
0,2020-03-21T00:00:00.000Z,1,0,0
1,2020-03-22T00:00:00.000Z,1,0,0
2,2020-03-23T00:00:00.000Z,1,0,0
3,2020-03-24T00:00:00.000Z,1,0,0
4,2020-03-25T00:00:00.000Z,5,0,0
5,2020-03-26T00:00:00.000Z,8,0,0
6,2020-03-27T00:00:00.000Z,8,0,0
7,2020-03-28T00:00:00.000Z,9,0,0
8,2020-03-29T00:00:00.000Z,12,0,0
9,2020-03-30T00:00:00.000Z,15,0,0
10,2020-03-31T00:00:00.000Z,14,0,0
11,2020-04-01T00:00:00.000Z,20,2,0
12,2020-04-02T00:00:00.000Z,21,2,0
13,2020-04-03T00:00:00.000Z,23,2,0
14,2020-04-04T00:00:00.000Z,26,2,0
15,2020-04-05T00:00:00.000Z,27,2,0
16,2020-04-06T00:00:00.000Z,31,4,0
17,2020-04-07T00:00:00.000Z,32,4,0
18,2020-04-08T00:00:00.000Z,32,4,0
19,2020-04-09T00:00:00.000Z,34,10,0
20,2020-04-10T00:00:00.000Z,36,10,0
21,2020-04-11T00:00:00.000Z,42,11,0
22,2020-04-12T00:00:00.000Z,42,11,0
23,2020-04-13T00:00:00.000Z,45,12,0
24,2020-04-14T00:00:00.000Z,48,12,0
25,2020-04-15T00:00:00.000Z,55,22,0
26,2020-04-16T00:00:00.000Z,60,26,0
27,2020-04-17T00:00:00.000Z,64,29,0
28,2020-04-18T00:00:00.000Z,71,33,0
29,2020-04-19T00:00:00.000Z,83,35,0
30,2020-04-20T00:00:00.000Z,97,35,1
31,2020-04-21T00:00:00.000Z,107,38,1
32,2020-04-22T00:00:00.000Z,107,38,1
33,2020-04-23T00:00:00.000Z,173,43,0
34,2020-04-24T00:00:00.000Z,245,45,0
35,2020-04-25T00:00:00.000Z,310,47,0
36,2020-04-26T00:00:00.000Z,368,47,0
37,2020-04-27T00:00:00.000Z,413,47,0
38,2020-04-28T00:00:00.000Z,432,49,1
39,2020-04-29T00:00:00.000Z,499,54,1
40,2020-04-30T00:00:00.000Z,547,57,1
41,2020-05-01T00:00:00.000Z,578,66,2
42,2020-05-02T00:00:00.000Z,643,69,2
43,2020-05-03T00:00:00.000Z,697,74,3
44,2020-05-04T00:00:00.000Z,784,96,3
45,2020-05-05T00:00:00.000Z,828,111,3
46,2020-05-06T00:00:00.000Z,855,124,3
47,2020-05-07T00:00:00.000Z,899,148,3
48,2020-05-08T00:00:00.000Z,967,188,3
49,2020-05-09T00:00:00.000Z,1058,249,4
50,2020-05-10T00:00:00.000Z,1138,263,4
51,2020-05-11T00:00:00.000Z,1232,301,4
52,2020-05-12T00:00:00.000Z,1289,311,4
53,2020-05-13T00:00:00.000Z,1333,360,5
54,2020-05-14T00:00:00.000Z,1438,438,6
55,2020-05-15T00:00:00.000Z,1511,496,6
56,2020-05-16T00:00:00.000Z,1609,543,6
