date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-29T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-30T00:00:00.000Z,2,0,1.0,2,0.0
2020-03-31T00:00:00.000Z,3,0,1.0,3,0.0
2020-04-01T00:00:00.000Z,3,0,0.0,3,0.0
2020-04-02T00:00:00.000Z,7,0,4.0,7,0.0
2020-04-03T00:00:00.000Z,8,0,1.0,8,0.0
2020-04-04T00:00:00.000Z,8,0,0.0,8,0.0
2020-04-05T00:00:00.000Z,8,0,0.0,8,0.0
2020-04-06T00:00:00.000Z,13,1,5.0,13,1.0
2020-04-07T00:00:00.000Z,14,1,1.0,14,0.0
2020-04-08T00:00:00.000Z,14,2,0.0,14,1.0
2020-04-09T00:00:00.000Z,21,2,7.0,21,0.0
2020-04-10T00:00:00.000Z,24,2,3.0,24,0.0
2020-04-11T00:00:00.000Z,28,2,4.0,28,0.0
2020-04-12T00:00:00.000Z,35,2,7.0,35,0.0
2020-04-13T00:00:00.000Z,35,2,0.0,32,0.0
2020-04-14T00:00:00.000Z,40,2,5.0,37,0.0
2020-04-15T00:00:00.000Z,47,2,7.0,43,0.0
2020-04-16T00:00:00.000Z,54,2,7.0,50,0.0
2020-04-17T00:00:00.000Z,55,2,1.0,45,0.0
2020-04-18T00:00:00.000Z,65,2,10.0,53,0.0
2020-04-19T00:00:00.000Z,68,2,3.0,56,0.0
2020-04-20T00:00:00.000Z,75,3,7.0,62,1.0
2020-04-21T00:00:00.000Z,75,3,0.0,62,0.0
2020-04-22T00:00:00.000Z,75,3,0.0,62,0.0
2020-04-23T00:00:00.000Z,85,3,10.0,62,0.0
2020-04-24T00:00:00.000Z,85,3,0.0,62,0.0
2020-04-25T00:00:00.000Z,85,3,0.0,60,0.0
2020-04-26T00:00:00.000Z,95,4,10.0,70,1.0
2020-04-27T00:00:00.000Z,95,4,0.0,70,0.0
2020-04-28T00:00:00.000Z,105,4,10.0,68,0.0
2020-04-29T00:00:00.000Z,114,4,9.0,77,0.0
2020-04-30T00:00:00.000Z,129,4,15.0,90,0.0
2020-05-01T00:00:00.000Z,150,4,21.0,97,0.0
2020-05-02T00:00:00.000Z,166,4,16.0,113,0.0
2020-05-03T00:00:00.000Z,185,5,19.0,127,1.0
2020-05-04T00:00:00.000Z,200,5,15.0,138,0.0
2020-05-05T00:00:00.000Z,231,6,31.0,166,1.0
2020-05-06T00:00:00.000Z,237,6,6.0,170,0.0
2020-05-07T00:00:00.000Z,255,6,18.0,180,0.0
2020-05-08T00:00:00.000Z,271,6,16.0,194,0.0
2020-05-09T00:00:00.000Z,289,6,18.0,211,0.0
2020-05-10T00:00:00.000Z,314,6,25.0,233,0.0
2020-05-11T00:00:00.000Z,314,6,0.0,229,0.0
2020-05-12T00:00:00.000Z,354,6,40.0,260,0.0
2020-05-13T00:00:00.000Z,380,6,26.0,280,0.0
2020-05-14T00:00:00.000Z,475,6,95.0,369,0.0
