date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-19T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-20T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-21T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-22T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-23T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-24T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-25T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-26T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-27T00:00:00.000Z,2,0,1.0,2,0.0
2020-03-28T00:00:00.000Z,7,0,5.0,7,0.0
2020-03-29T00:00:00.000Z,7,0,0.0,7,0.0
2020-03-30T00:00:00.000Z,9,0,2.0,9,0.0
2020-03-31T00:00:00.000Z,9,0,0.0,9,0.0
2020-04-01T00:00:00.000Z,11,0,2.0,11,0.0
2020-04-02T00:00:00.000Z,11,0,0.0,10,0.0
2020-04-03T00:00:00.000Z,13,0,2.0,12,0.0
2020-04-04T00:00:00.000Z,23,0,10.0,22,0.0
2020-04-05T00:00:00.000Z,23,0,0.0,22,0.0
2020-04-06T00:00:00.000Z,33,0,10.0,32,0.0
2020-04-07T00:00:00.000Z,47,0,14.0,46,0.0
2020-04-08T00:00:00.000Z,47,0,0.0,46,0.0
2020-04-09T00:00:00.000Z,60,0,13.0,53,0.0
2020-04-10T00:00:00.000Z,60,0,0.0,53,0.0
2020-04-11T00:00:00.000Z,62,0,2.0,55,0.0
2020-04-12T00:00:00.000Z,80,0,18.0,73,0.0
2020-04-13T00:00:00.000Z,86,0,6.0,79,0.0
2020-04-14T00:00:00.000Z,96,0,10.0,88,0.0
2020-04-15T00:00:00.000Z,121,0,25.0,113,0.0
2020-04-16T00:00:00.000Z,136,0,15.0,128,0.0
2020-04-17T00:00:00.000Z,149,0,13.0,139,0.0
2020-04-18T00:00:00.000Z,164,1,15.0,152,1.0
2020-04-19T00:00:00.000Z,183,1,19.0,171,0.0
2020-04-20T00:00:00.000Z,203,2,20.0,191,1.0
2020-04-21T00:00:00.000Z,213,2,10.0,201,0.0
2020-04-22T00:00:00.000Z,225,2,12.0,213,0.0
2020-04-23T00:00:00.000Z,239,2,14.0,227,0.0
2020-04-24T00:00:00.000Z,247,2,8.0,206,0.0
2020-04-25T00:00:00.000Z,263,2,16.0,222,0.0
2020-04-26T00:00:00.000Z,274,2,11.0,204,0.0
2020-04-27T00:00:00.000Z,282,2,8.0,212,0.0
2020-04-28T00:00:00.000Z,296,2,14.0,226,0.0
2020-04-29T00:00:00.000Z,327,2,31.0,257,0.0
2020-04-30T00:00:00.000Z,359,3,32.0,280,1.0
2020-05-01T00:00:00.000Z,403,3,44.0,324,0.0
2020-05-02T00:00:00.000Z,434,3,31.0,349,0.0
2020-05-03T00:00:00.000Z,456,4,22.0,369,1.0
2020-05-04T00:00:00.000Z,485,5,29.0,393,1.0
2020-05-05T00:00:00.000Z,517,6,32.0,418,1.0
2020-05-06T00:00:00.000Z,537,7,20.0,435,1.0
2020-05-07T00:00:00.000Z,595,7,58.0,476,0.0
2020-05-08T00:00:00.000Z,653,7,58.0,520,0.0
2020-05-09T00:00:00.000Z,679,10,26.0,515,3.0
2020-05-10T00:00:00.000Z,758,10,79.0,581,0.0
2020-05-11T00:00:00.000Z,843,11,85.0,663,1.0
2020-05-12T00:00:00.000Z,911,12,68.0,725,1.0
2020-05-13T00:00:00.000Z,921,12,10.0,689,0.0
2020-05-14T00:00:00.000Z,1023,12,102.0,751,0.0
2020-05-15T00:00:00.000Z,1124,13,101.0,817,1.0
2020-05-16T00:00:00.000Z,1192,13,68.0,859,0.0
2020-05-17T00:00:00.000Z,1245,13,53.0,911,0.0
2020-05-18T00:00:00.000Z,1291,13,46.0,948,0.0
2020-05-19T00:00:00.000Z,1313,15,22.0,916,2.0
2020-05-20T00:00:00.000Z,1360,16,47.0,934,1.0
2020-05-21T00:00:00.000Z,1415,16,55.0,971,0.0
2020-05-22T00:00:00.000Z,1463,16,48.0,985,0.0
2020-05-23T00:00:00.000Z,1505,17,42.0,996,1.0
2020-05-24T00:00:00.000Z,1566,17,61.0,1052,0.0
2020-05-25T00:00:00.000Z,1602,17,36.0,1086,0.0
2020-05-26T00:00:00.000Z,1639,18,37.0,1088,1.0
2020-05-27T00:00:00.000Z,1686,18,47.0,1087,0.0
2020-05-28T00:00:00.000Z,1745,18,59.0,1099,0.0
2020-05-29T00:00:00.000Z,1813,18,68.0,1106,0.0
2020-05-30T00:00:00.000Z,1900,18,87.0,1117,0.0
2020-05-31T00:00:00.000Z,1977,18,77.0,1194,0.0
2020-06-01T00:00:00.000Z,2057,18,80.0,1271,0.0
2020-06-02T00:00:00.000Z,2140,18,83.0,1276,0.0
2020-06-03T00:00:00.000Z,2205,18,65.0,1277,0.0
2020-06-04T00:00:00.000Z,2322,20,117.0,1359,2.0
2020-06-05T00:00:00.000Z,2447,20,125.0,1450,0.0
2020-06-06T00:00:00.000Z,2577,22,130.0,1514,2.0
2020-06-07T00:00:00.000Z,2705,22,128.0,1641,0.0
2020-06-08T00:00:00.000Z,2822,22,117.0,1731,0.0
2020-06-09T00:00:00.000Z,2930,25,108.0,1734,3.0
2020-06-10T00:00:00.000Z,3031,25,101.0,1793,0.0
2020-06-11T00:00:00.000Z,3130,25,99.0,1823,0.0
2020-06-12T00:00:00.000Z,3228,27,98.0,1880,2.0
2020-06-13T00:00:00.000Z,3323,27,95.0,1972,0.0
2020-06-14T00:00:00.000Z,3417,27,94.0,2039,0.0
2020-06-15T00:00:00.000Z,3508,27,91.0,2120,0.0
2020-06-16T00:00:00.000Z,3599,30,91.0,2088,3.0
2020-06-17T00:00:00.000Z,3685,31,86.0,2009,1.0
2020-06-18T00:00:00.000Z,3768,32,83.0,2012,1.0
2020-06-19T00:00:00.000Z,3853,34,85.0,1818,2.0
2020-06-20T00:00:00.000Z,3934,35,81.0,1659,1.0
2020-06-21T00:00:00.000Z,4017,35,83.0,1741,0.0
2020-06-22T00:00:00.000Z,4098,35,81.0,1758,0.0
2020-06-23T00:00:00.000Z,4176,35,78.0,1678,0.0
2020-06-24T00:00:00.000Z,4253,37,77.0,1623,2.0
2020-06-25T00:00:00.000Z,4330,39,77.0,1687,2.0
2020-06-26T00:00:00.000Z,4405,40,75.0,1642,1.0
2020-06-27T00:00:00.000Z,4479,40,74.0,1643,0.0
2020-06-28T00:00:00.000Z,4550,43,71.0,1712,3.0
2020-06-29T00:00:00.000Z,4621,43,71.0,1752,0.0
2020-06-30T00:00:00.000Z,4691,44,70.0,1768,1.0
2020-07-01T00:00:00.000Z,4761,45,70.0,1794,1.0
2020-07-02T00:00:00.000Z,4829,45,68.0,1856,0.0
