,date,confirmed,cured,deaths
0,2020-04-03T00:00:00.000Z,3,0,0
1,2020-04-04T00:00:00.000Z,3,0,0
2,2020-04-05T00:00:00.000Z,3,0,0
3,2020-04-06T00:00:00.000Z,3,0,0
4,2020-04-07T00:00:00.000Z,3,0,0
5,2020-04-08T00:00:00.000Z,6,0,0
6,2020-04-09T00:00:00.000Z,6,0,0
7,2020-04-10T00:00:00.000Z,8,0,0
8,2020-04-11T00:00:00.000Z,8,0,0
9,2020-04-12T00:00:00.000Z,8,0,0
10,2020-04-13T00:00:00.000Z,9,0,0
11,2020-04-14T00:00:00.000Z,9,0,0
12,2020-04-15T00:00:00.000Z,9,0,0
13,2020-04-16T00:00:00.000Z,10,0,0
14,2020-04-17T00:00:00.000Z,16,4,0
15,2020-04-18T00:00:00.000Z,19,4,0
16,2020-04-19T00:00:00.000Z,20,4,0
17,2020-04-20T00:00:00.000Z,22,4,0
18,2020-04-21T00:00:00.000Z,43,4,0
19,2020-04-22T00:00:00.000Z,52,6,0
20,2020-04-23T00:00:00.000Z,66,6,0
21,2020-04-24T00:00:00.000Z,80,9,0
22,2020-04-25T00:00:00.000Z,86,9,0
23,2020-04-26T00:00:00.000Z,86,9,0
24,2020-04-27T00:00:00.000Z,101,9,0
25,2020-04-28T00:00:00.000Z,113,9,0
26,2020-04-29T00:00:00.000Z,118,9,0
27,2020-04-30T00:00:00.000Z,124,9,0
28,2020-05-01T00:00:00.000Z,131,13,0
29,2020-05-02T00:00:00.000Z,134,13,0
30,2020-05-03T00:00:00.000Z,143,13,0
31,2020-05-04T00:00:00.000Z,145,15,0
32,2020-05-05T00:00:00.000Z,148,15,0
33,2020-05-06T00:00:00.000Z,153,20,0
34,2020-05-07T00:00:00.000Z,159,23,0
35,2020-05-08T00:00:00.000Z,170,23,0
36,2020-05-09T00:00:00.000Z,175,34,1
37,2020-05-10T00:00:00.000Z,179,34,1
38,2020-05-11T00:00:00.000Z,185,39,1
39,2020-05-12T00:00:00.000Z,188,39,1
40,2020-05-13T00:00:00.000Z,212,48,1
41,2020-05-14T00:00:00.000Z,218,49,1
42,2020-05-15T00:00:00.000Z,222,60,2
43,2020-05-16T00:00:00.000Z,225,62,2
44,2020-05-17T00:00:00.000Z,230,66,2
45,2020-05-18T00:00:00.000Z,230,85,2
46,2020-05-19T00:00:00.000Z,236,87,2
47,2020-05-20T00:00:00.000Z,246,89,2
48,2020-05-21T00:00:00.000Z,261,90,2
49,2020-05-22T00:00:00.000Z,262,97,2
50,2020-05-23T00:00:00.000Z,263,113,2
51,2020-05-24T00:00:00.000Z,266,150,2
52,2020-05-25T00:00:00.000Z,267,150,2
53,2020-05-26T00:00:00.000Z,272,168,3
54,2020-05-27T00:00:00.000Z,274,174,3
55,2020-05-28T00:00:00.000Z,281,181,3
56,2020-05-29T00:00:00.000Z,288,184,3
57,2020-05-30T00:00:00.000Z,299,198,3
58,2020-05-31T00:00:00.000Z,309,198,3
59,2020-06-01T00:00:00.000Z,314,198,3
60,2020-06-02T00:00:00.000Z,314,211,3
61,2020-06-03T00:00:00.000Z,317,229,4
62,2020-06-04T00:00:00.000Z,323,240,4
63,2020-06-05T00:00:00.000Z,329,247,4
64,2020-06-06T00:00:00.000Z,336,249,4
65,2020-06-07T00:00:00.000Z,343,249,4
66,2020-06-08T00:00:00.000Z,347,250,4
67,2020-06-09T00:00:00.000Z,350,256,4
68,2020-06-10T00:00:00.000Z,356,261,4
69,2020-06-11T00:00:00.000Z,363,263,4
70,2020-06-12T00:00:00.000Z,367,275,4
71,2020-06-13T00:00:00.000Z,371,276,4
72,2020-06-14T00:00:00.000Z,374,278,4
73,2020-06-15T00:00:00.000Z,374,278,4
74,2020-06-16T00:00:00.000Z,378,278,4
75,2020-06-17T00:00:00.000Z,382,289,5
76,2020-06-18T00:00:00.000Z,386,297,5
77,2020-06-19T00:00:00.000Z,390,308,5
78,2020-06-20T00:00:00.000Z,394,315,5
79,2020-06-21T00:00:00.000Z,397,315,5
80,2020-06-22T00:00:00.000Z,399,316,5
81,2020-06-23T00:00:00.000Z,400,328,5
82,2020-06-24T00:00:00.000Z,404,332,5
83,2020-06-25T00:00:00.000Z,408,332,5
84,2020-06-26T00:00:00.000Z,413,338,5
