date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-04-07,3,0,3,3,0
2020-04-08,5,0,2,5,0
2020-04-09,6,0,1,6,0
2020-04-10,9,0,3,9,0
2020-04-11,9,0,0,9,0
2020-04-12,11,0,2,11,0
2020-04-13,13,0,2,13,0
2020-04-14,16,0,3,16,0
2020-04-15,23,0,7,23,0
2020-04-16,30,0,7,30,0
2020-04-17,49,0,19,49,0
2020-04-18,50,0,1,49,0
2020-04-19,67,0,17,66,0
2020-04-20,87,0,20,86,0
2020-04-21,106,0,19,105,0
2020-04-22,145,0,39,144,0
2020-04-23,169,0,24,168,0
2020-04-24,194,0,25,193,0
2020-04-25,240,0,46,239,0
2020-04-26,282,1,42,278,1
2020-04-27,301,2,19,297,1
2020-04-28,314,2,13,308,0
2020-04-29,330,2,16,316,0
2020-04-30,352,2,22,338,0
2020-05-01,398,2,46,384,0
2020-05-02,412,2,14,397,0
2020-05-03,430,2,18,408,0
2020-05-04,441,2,11,406,0
2020-05-05,453,2,12,417,0
2020-05-06,457,2,4,417,0
2020-05-07,463,2,6,422,0
2020-05-08,478,3,15,429,1
2020-05-09,509,3,31,443,0
2020-05-10,527,3,18,441,0
2020-05-11,539,3,12,453,0
2020-05-12,549,3,10,431,0
2020-05-13,561,3,12,436,0
2020-05-14,588,3,27,460,0
2020-05-15,614,3,26,485,0
2020-05-16,632,4,18,453,1
2020-05-17,651,4,19,462,0
2020-05-18,666,4,15,473,0
2020-05-19,677,4,11,467,0
2020-05-20,689,4,12,467,0
2020-05-21,701,4,12,479,0
2020-05-22,712,4,11,478,0
2020-05-23,732,4,20,489,0
2020-05-24,757,4,25,514,0
2020-05-25,783,4,26,528,0
2020-05-26,814,4,31,552,0
2020-05-27,853,5,39,585,1
2020-05-28,895,5,42,601,0
2020-05-29,951,5,56,655,0
2020-05-30,1005,5,54,701,0
2020-05-31,1067,5,62,759,0
2020-06-01,1137,5,70,810,0
2020-06-02,1204,5,67,864,0
2020-06-03,1276,5,72,928,0
2020-06-04,1354,7,78,985,2
2020-06-05,1430,7,76,1031,0
2020-06-06,1505,7,75,1100,0
2020-06-07,1580,8,75,1162,1
2020-06-08,1654,9,74,1201,1
2020-06-09,1729,9,75,1257,0
2020-06-10,1807,9,78,1317,0
2020-06-11,1889,9,82,1389,0
2020-06-12,1969,9,80,1460,0
2020-06-13,2058,9,89,1548,0
2020-06-14,2156,9,98,1615,0
2020-06-15,2255,9,99,1678,0
2020-06-16,2349,9,94,1770,0
2020-06-17,2446,9,97,1864,0
2020-06-18,2545,9,99,1925,0
2020-06-19,2639,9,94,1862,0
2020-06-20,2730,9,91,1833,0
2020-06-21,2815,9,85,1890,0
2020-06-22,2902,9,87,1969,0
2020-06-23,2983,10,81,1990,1
2020-06-24,3067,12,84,2005,2
2020-06-25,3149,12,82,2026,0
2020-06-26,3221,12,72,2049,0
2020-06-27,3305,12,84,2090,0
2020-06-28,3379,12,74,2065,0
2020-06-29,3448,12,69,2066,0
2020-06-30,3520,12,72,2068,0
2020-07-01,3599,13,79,2108,1
2020-07-02,3668,15,69,2071,2
2020-07-03,3730,15,62,2057,0
2020-07-04,3774,15,44,1997,0
2020-07-05,3817,15,43,1964,0
2020-07-06,3850,15,33,1973,0
2020-07-07,3882,15,32,1880,0
2020-07-08,3919,15,37,1846,0
2020-07-09,3957,15,38,1747,0
2020-07-10,3988,15,31,1725,0
2020-07-11,4017,15,29,1676,0
2020-07-12,4044,17,27,1697,2
2020-07-13,4065,18,21,1686,1
2020-07-14,4084,18,19,1587,0
2020-07-15,4109,20,25,1561,2
2020-07-16,4134,20,25,1555,0
2020-07-17,4162,20,28,1550,0
2020-07-18,4185,20,23,1514,0
2020-07-19,4212,20,27,1541,0
2020-07-20,4234,20,22,1563,0
2020-07-21,4259,20,25,1521,0
2020-07-22,4283,20,24,1524,0
2020-07-23,4310,20,27,1504,0
2020-07-24,4333,20,23,1473,0
2020-07-25,4354,20,21,1482,0
2020-07-26,4378,20,24,1497,0
2020-07-27,4397,20,19,1444,0
2020-07-28,4415,20,18,1336,0
2020-07-29,4423,21,8,1342,1
2020-07-30,4433,21,10,1301,0
2020-07-31,4442,23,9,1272,2
2020-08-01,4453,23,11,1279,0
2020-08-02,4465,23,12,1291,0
2020-08-03,4476,23,11,1250,0
2020-08-04,4485,23,9,1231,0
2020-08-05,4495,23,10,1210,0
2020-08-06,4507,24,12,1179,1
2020-08-07,4517,24,10,1134,0
2020-08-08,4527,24,10,1127,0
2020-08-09,4539,24,12,1139,0
2020-08-10,4551,24,12,1151,0
2020-08-11,4562,24,11,1136,0
2020-08-12,4575,25,13,1041,1
2020-08-13,4589,25,14,1023,0
2020-08-14,4603,25,14,996,0
2020-08-15,4618,25,15,913,0
2020-08-16,4635,25,17,867,0
2020-08-17,4652,25,17,833,0
2020-08-18,4670,25,18,819,0
2020-08-19,4688,25,18,719,0
2020-08-20,4709,26,21,651,1
2020-08-21,4732,26,23,578,0
2020-08-22,4763,26,31,523,0
2020-08-23,4798,26,35,542,0
2020-08-24,4830,26,32,556,0
2020-08-25,4860,26,30,566,0
2020-08-26,4898,26,38,586,0
2020-08-27,4937,26,39,604,0
2020-08-28,4976,26,39,618,0
2020-08-29,5021,26,45,640,0
2020-08-30,5066,26,45,685,0
2020-08-31,5115,26,49,734,0
2020-09-01,5163,26,48,764,0
2020-09-02,5216,26,53,796,0
2020-09-03,5272,26,56,829,0
2020-09-04,5335,28,63,867,2
2020-09-05,5399,28,64,931,0
2020-09-06,5458,28,59,990,0
2020-09-07,5523,28,65,1055,0
2020-09-08,5586,28,63,1118,0
2020-09-09,5651,28,65,1155,0
2020-09-10,5715,28,64,1185,0
2020-09-11,5777,28,62,1217,0
2020-09-12,5840,28,63,1252,0
2020-09-13,5899,28,59,1308,0
2020-09-14,5962,28,63,1371,0
2020-09-15,6027,28,65,1416,0
2020-09-16,6093,28,66,1459,0
2020-09-17,6158,28,65,1499,0
2020-09-18,6221,28,63,1538,0
2020-09-19,6285,28,64,1582,0
2020-09-20,6351,28,66,1648,0
2020-09-21,6416,28,65,1713,0
2020-09-22,6482,28,66,1764,0
2020-09-23,6546,28,64,1811,0
2020-09-24,6613,28,67,1859,0
2020-09-25,6681,28,68,1906,0
2020-09-26,6750,28,69,1959,0
2020-09-27,6819,28,69,2028,0
2020-09-28,6891,28,72,2092,0
2020-09-29,6964,28,73,2148,0
2020-09-30,7038,29,74,2203,1
2020-10-01,7115,29,77,2260,0
2020-10-02,7194,29,79,2318,0
2020-10-03,7274,29,80,2379,0
2020-10-04,7353,29,79,2458,0
2020-10-05,7434,29,81,2531,0
2020-10-06,7514,29,80,2593,0
2020-10-07,7596,29,82,2656,0
2020-10-08,7677,29,81,2717,0
2020-10-09,7757,29,80,2779,0
2020-10-10,7838,29,81,2840,0
2020-10-11,7921,30,83,2923,1
