date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-16T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-17T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-18T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-19T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-20T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-21T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-22T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-23T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-24T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-25T00:00:00.000Z,3,0,2.0,2,0.0
2020-03-26T00:00:00.000Z,3,0,0.0,2,0.0
2020-03-27T00:00:00.000Z,3,0,0.0,2,0.0
2020-03-28T00:00:00.000Z,3,0,0.0,2,0.0
2020-03-29T00:00:00.000Z,7,0,4.0,6,0.0
2020-03-30T00:00:00.000Z,22,0,15.0,21,0.0
2020-03-31T00:00:00.000Z,22,0,0.0,21,0.0
2020-04-01T00:00:00.000Z,54,0,32.0,53,0.0
2020-04-02T00:00:00.000Z,56,0,2.0,55,0.0
2020-04-03T00:00:00.000Z,56,2,0.0,55,2.0
2020-04-04T00:00:00.000Z,59,2,3.0,58,0.0
2020-04-05T00:00:00.000Z,59,2,0.0,58,0.0
2020-04-06T00:00:00.000Z,90,3,31.0,89,1.0
2020-04-07T00:00:00.000Z,101,3,11.0,100,0.0
2020-04-08T00:00:00.000Z,119,3,18.0,118,0.0
2020-04-09T00:00:00.000Z,150,3,31.0,149,0.0
2020-04-10T00:00:00.000Z,208,3,58.0,207,0.0
2020-04-11T00:00:00.000Z,208,3,0.0,207,0.0
2020-04-12T00:00:00.000Z,208,3,0.0,207,0.0
2020-04-13T00:00:00.000Z,208,3,0.0,207,0.0
2020-04-14T00:00:00.000Z,305,3,97.0,304,0.0
2020-04-15T00:00:00.000Z,402,3,97.0,401,0.0
2020-04-16T00:00:00.000Z,441,3,39.0,435,0.0
2020-04-17T00:00:00.000Z,455,3,14.0,449,0.0
2020-04-18T00:00:00.000Z,474,3,19.0,468,0.0
2020-04-19T00:00:00.000Z,481,3,7.0,471,0.0
2020-04-20T00:00:00.000Z,491,4,10.0,470,1.0
2020-04-21T00:00:00.000Z,507,4,16.0,486,0.0
2020-04-22T00:00:00.000Z,527,4,20.0,506,0.0
2020-04-23T00:00:00.000Z,542,4,15.0,519,0.0
2020-04-24T00:00:00.000Z,553,4,11.0,525,0.0
2020-04-25T00:00:00.000Z,561,4,8.0,533,0.0
