date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-28,1,0,1,1,0
2020-03-29,1,0,0,1,0
2020-03-30,1,0,0,1,0
2020-03-31,2,0,1,2,0
2020-04-01,3,0,1,3,0
2020-04-02,3,0,0,3,0
2020-04-03,3,0,0,3,0
2020-04-04,8,1,5,8,1
2020-04-05,8,1,0,8,0
2020-04-06,9,1,1,9,0
2020-04-07,9,1,0,7,0
2020-04-08,9,1,0,7,0
2020-04-09,12,1,3,9,0
2020-04-10,15,1,3,12,0
2020-04-11,15,1,0,12,0
2020-04-12,18,2,3,15,1
2020-04-13,18,2,0,15,0
2020-04-14,18,2,0,15,0
2020-04-15,27,2,9,24,0
2020-04-16,38,2,11,35,0
2020-04-17,47,2,9,40,0
2020-04-18,53,2,6,46,0
2020-04-19,66,2,13,59,0
2020-04-20,70,2,4,63,0
2020-04-21,81,2,11,74,0
2020-04-22,88,2,7,81,0
2020-04-23,104,2,16,93,0
2020-04-24,120,2,16,109,0
2020-04-25,137,3,17,126,1
2020-04-26,148,3,11,137,0
2020-04-27,158,3,10,147,0
2020-04-28,180,3,22,168,0
2020-04-29,193,3,13,168,0
2020-04-30,211,3,18,182,0
2020-05-01,227,3,16,194,0
2020-05-02,241,3,14,199,0
2020-05-03,253,3,12,208,0
2020-05-04,266,3,13,206,0
2020-05-05,278,3,12,214,0
2020-05-06,293,3,15,225,0
2020-05-07,311,3,18,243,0
2020-05-08,333,3,22,248,0
2020-05-09,343,3,10,247,0
2020-05-10,357,3,14,250,0
2020-05-11,372,3,15,257,0
2020-05-12,384,3,12,265,0
2020-05-13,402,3,18,274,0
2020-05-14,433,7,31,288,4
2020-05-15,452,7,19,284,0
2020-05-16,460,7,8,267,0
2020-05-17,477,7,17,279,0
2020-05-18,487,7,10,287,0
2020-05-19,500,7,13,279,0
2020-05-20,516,7,16,273,0
2020-05-21,527,7,11,272,0
2020-05-22,540,8,13,275,1
2020-05-23,560,8,20,271,0
2020-05-24,567,8,7,273,0
2020-05-25,580,8,13,286,0
2020-05-26,601,8,21,293,0
2020-05-27,617,9,16,263,1
2020-05-28,656,9,39,295,0
2020-05-29,691,9,35,320,0
2020-05-30,719,10,28,331,1
2020-05-31,758,10,39,363,0
2020-06-01,772,11,14,373,1
2020-06-02,804,11,32,384,0
2020-06-03,825,11,21,400,0
2020-06-04,842,11,17,407,0
2020-06-05,862,11,20,423,0
2020-06-06,888,12,26,414,1
2020-06-07,901,12,13,416,0
2020-06-08,926,12,25,437,0
2020-06-09,953,12,27,447,0
2020-06-10,977,12,24,442,0
2020-06-11,1028,12,51,463,0
2020-06-12,1066,12,38,491,0
2020-06-13,1109,12,43,527,0
2020-06-14,1136,12,27,543,0
2020-06-15,1161,12,25,563,0
2020-06-16,1175,12,14,554,0
2020-06-17,1214,12,39,577,0
2020-06-18,1246,13,32,579,1
2020-06-19,1262,13,16,579,0
2020-06-20,1298,14,36,584,1
2020-06-21,1331,15,33,611,1
2020-06-22,1360,15,29,633,0
2020-06-23,1386,15,26,627,0
2020-06-24,1411,15,25,603,0
2020-06-25,1442,15,31,627,0
2020-06-26,1470,15,28,648,0
2020-06-27,1494,17,24,642,2
2020-06-28,1531,17,37,665,0
2020-06-29,1565,17,34,686,0
2020-06-30,1583,17,18,677,0
2020-07-01,1591,21,8,644,4
2020-07-02,1612,21,21,657,0
2020-07-03,1632,21,20,633,0
2020-07-04,1654,21,22,611,0
2020-07-05,1676,21,22,625,0
2020-07-06,1696,21,20,645,0
2020-07-07,1730,22,34,653,1
2020-07-08,1752,22,22,630,0
2020-07-09,1778,22,26,627,0
2020-07-10,1814,22,36,638,0
2020-07-11,1825,23,11,628,1
2020-07-12,1844,23,19,647,0
2020-07-13,1855,23,11,658,0
2020-07-14,1863,24,8,634,1
2020-07-15,1886,24,23,630,0
2020-07-16,1902,24,16,634,0
2020-07-17,1922,24,20,640,0
2020-07-18,1946,24,24,634,0
2020-07-19,1963,24,17,641,0
2020-07-20,1995,24,32,668,0
2020-07-21,2005,24,10,653,0
2020-07-22,2016,25,11,650,1
2020-07-23,2028,26,12,618,1
2020-07-24,2040,26,12,615,0
2020-07-25,2074,26,34,625,0
2020-07-26,2119,26,45,669,0
2020-07-27,2137,26,18,684,0
2020-07-28,2154,26,17,688,0
2020-07-29,2166,26,12,682,0
2020-07-30,2175,26,9,554,0
2020-07-31,2206,26,31,529,0
2020-08-01,2234,26,28,497,0
2020-08-02,2261,26,27,509,0
2020-08-03,2309,26,48,557,0
2020-08-04,2345,26,36,575,0
2020-08-05,2390,27,45,596,1
2020-08-06,2423,27,33,618,0
2020-08-07,2458,27,35,635,0
2020-08-08,2511,27,53,664,0
2020-08-09,2564,30,53,710,3
2020-08-10,2625,30,61,768,0
2020-08-11,2657,30,32,771,0
2020-08-12,2695,30,38,769,0
2020-08-13,2745,30,50,812,0
