date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-15T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-16T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-17T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-18T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-19T00:00:00.000Z,3,0,2.0,3,0.0
2020-03-20T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-21T00:00:00.000Z,5,0,2.0,5,0.0
2020-03-22T00:00:00.000Z,5,0,0.0,5,0.0
2020-03-23T00:00:00.000Z,5,0,0.0,5,0.0
2020-03-24T00:00:00.000Z,5,0,0.0,5,0.0
2020-03-25T00:00:00.000Z,9,0,4.0,9,0.0
2020-03-26T00:00:00.000Z,9,0,0.0,9,0.0
2020-03-27T00:00:00.000Z,9,0,0.0,9,0.0
2020-03-28T00:00:00.000Z,17,0,8.0,17,0.0
2020-03-29T00:00:00.000Z,17,0,0.0,16,0.0
2020-03-30T00:00:00.000Z,17,0,0.0,16,0.0
2020-03-31T00:00:00.000Z,17,0,0.0,15,0.0
2020-04-01T00:00:00.000Z,22,0,5.0,19,0.0
2020-04-02T00:00:00.000Z,22,0,0.0,18,0.0
2020-04-03T00:00:00.000Z,39,0,17.0,35,0.0
2020-04-04T00:00:00.000Z,39,0,0.0,35,0.0
2020-04-05T00:00:00.000Z,39,0,0.0,35,0.0
2020-04-06T00:00:00.000Z,50,0,11.0,42,0.0
2020-04-07T00:00:00.000Z,61,1,11.0,52,1.0
2020-04-08T00:00:00.000Z,85,1,24.0,70,0.0
2020-04-09T00:00:00.000Z,105,1,20.0,90,0.0
2020-04-10T00:00:00.000Z,125,3,20.0,110,2.0
2020-04-11T00:00:00.000Z,138,3,13.0,113,0.0
2020-04-12T00:00:00.000Z,169,3,31.0,144,0.0
2020-04-13T00:00:00.000Z,210,3,41.0,182,0.0
2020-04-14T00:00:00.000Z,215,3,5.0,183,0.0
2020-04-15T00:00:00.000Z,239,3,24.0,199,0.0
2020-04-16T00:00:00.000Z,260,3,21.0,220,0.0
2020-04-17T00:00:00.000Z,290,3,30.0,242,0.0
2020-04-18T00:00:00.000Z,335,4,45.0,286,1.0
2020-04-19T00:00:00.000Z,383,5,48.0,329,1.0
2020-04-20T00:00:00.000Z,417,8,34.0,358,3.0
2020-04-21T00:00:00.000Z,461,8,44.0,391,0.0
2020-04-22T00:00:00.000Z,481,11,20.0,409,3.0
2020-04-23T00:00:00.000Z,539,14,58.0,451,3.0
2020-04-24T00:00:00.000Z,623,16,84.0,519,2.0
2020-04-25T00:00:00.000Z,707,18,84.0,589,2.0
2020-04-26T00:00:00.000Z,780,19,73.0,658,1.0
2020-04-27T00:00:00.000Z,837,19,57.0,712,0.0
2020-04-28T00:00:00.000Z,888,19,51.0,756,0.0
2020-04-29T00:00:00.000Z,951,20,63.0,743,1.0
2020-04-30T00:00:00.000Z,1017,20,66.0,766,0.0
2020-05-01T00:00:00.000Z,1083,20,66.0,806,0.0
2020-05-02T00:00:00.000Z,1162,20,79.0,843,0.0
2020-05-03T00:00:00.000Z,1244,20,82.0,872,0.0
2020-05-04T00:00:00.000Z,1340,21,96.0,931,1.0
2020-05-05T00:00:00.000Z,1437,21,97.0,994,0.0
2020-05-06T00:00:00.000Z,1534,21,97.0,1067,0.0
2020-05-07T00:00:00.000Z,1633,21,99.0,1110,0.0
2020-05-08T00:00:00.000Z,1732,21,99.0,1178,0.0
2020-05-09T00:00:00.000Z,1830,21,98.0,1235,0.0
2020-05-10T00:00:00.000Z,1929,22,99.0,1307,1.0
2020-05-11T00:00:00.000Z,2027,22,98.0,1365,0.0
2020-05-12T00:00:00.000Z,2126,22,99.0,1429,0.0
2020-05-13T00:00:00.000Z,2222,22,96.0,1481,0.0
