date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-17,1,0,1,1,0
2020-03-18,1,0,0,1,0
2020-03-19,1,0,0,1,0
2020-03-20,4,0,3,4,0
2020-03-21,5,0,1,5,0
2020-03-22,5,0,0,5,0
2020-03-23,5,0,0,5,0
2020-03-24,6,0,1,3,0
2020-03-25,9,0,3,6,0
2020-03-26,9,0,0,6,0
2020-03-27,8,0,-1,5,0
2020-03-28,12,0,4,9,0
2020-03-29,12,0,0,9,0
2020-03-30,14,0,2,11,0
2020-03-31,14,0,0,10,0
2020-04-01,20,0,6,16,0
2020-04-02,25,0,5,21,0
2020-04-03,25,0,0,21,0
2020-04-04,25,0,0,21,0
2020-04-05,29,0,4,25,0
2020-04-06,32,0,3,27,0
2020-04-07,32,0,0,27,0
2020-04-08,39,0,7,33,0
2020-04-09,39,0,0,31,0
2020-04-10,39,0,0,31,0
2020-04-11,60,0,21,52,0
2020-04-12,85,0,25,77,0
2020-04-13,110,0,25,102,0
2020-04-14,131,0,21,114,0
2020-04-15,142,0,11,125,0
2020-04-16,202,0,60,185,0
2020-04-17,231,0,29,214,0
2020-04-18,276,0,45,259,0
2020-04-19,300,0,24,283,0
2020-04-20,306,2,6,289,2
2020-04-21,370,2,64,353,0
2020-04-22,392,2,22,364,0
2020-04-23,427,5,35,379,3
2020-04-24,449,5,22,401,0
2020-04-25,467,5,18,416,0
2020-04-26,508,5,41,449,0
2020-04-27,527,5,19,468,0
2020-04-28,574,7,47,510,2
2020-04-29,609,7,35,545,0
2020-04-30,666,8,57,602,1
2020-05-01,714,9,48,590,1
2020-05-02,764,9,50,618,0
2020-05-03,781,11,17,628,2
2020-05-04,823,11,42,666,0
2020-05-05,868,12,45,706,1
2020-05-06,910,12,42,748,0
2020-05-07,933,12,23,730,0
2020-05-08,964,12,31,744,0
2020-05-09,1070,13,106,817,1
2020-05-10,1143,14,73,859,1
2020-05-11,1201,15,58,916,1
2020-05-12,1428,15,227,1053,0
2020-05-13,1521,15,93,1096,0
2020-05-14,1542,15,21,1084,0
2020-05-15,1590,16,48,1090,1
2020-05-16,1651,18,61,1120,2
2020-05-17,1765,18,114,1223,0
2020-05-18,1872,18,107,1329,0
2020-05-19,1941,20,69,1376,2
2020-05-20,2445,21,504,1831,1
2020-05-21,2821,22,376,2187,1
