date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-15T00:00:00.000Z,2,0,2.0,2,0.0
2020-03-16T00:00:00.000Z,1,0,-1.0,1,0.0
2020-03-17T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-18T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-19T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-20T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-21T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-22T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-23T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-24T00:00:00.000Z,3,0,2.0,3,0.0
2020-03-25T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-26T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-27T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-28T00:00:00.000Z,7,0,4.0,7,0.0
2020-03-29T00:00:00.000Z,9,0,2.0,9,0.0
2020-03-30T00:00:00.000Z,11,0,2.0,11,0.0
2020-03-31T00:00:00.000Z,14,0,3.0,13,0.0
2020-04-01T00:00:00.000Z,20,0,6.0,19,0.0
2020-04-02T00:00:00.000Z,31,0,11.0,30,0.0
2020-04-03T00:00:00.000Z,41,0,10.0,40,0.0
2020-04-04T00:00:00.000Z,47,0,6.0,46,0.0
2020-04-05T00:00:00.000Z,57,0,10.0,56,0.0
2020-04-06T00:00:00.000Z,62,0,5.0,61,0.0
2020-04-07T00:00:00.000Z,62,0,0.0,59,0.0
2020-04-08T00:00:00.000Z,94,0,32.0,91,0.0
2020-04-09T00:00:00.000Z,112,0,18.0,109,0.0
2020-04-10T00:00:00.000Z,129,0,17.0,126,0.0
2020-04-11T00:00:00.000Z,134,0,5.0,131,0.0
2020-04-12T00:00:00.000Z,139,0,5.0,136,0.0
2020-04-13T00:00:00.000Z,155,0,16.0,152,0.0
2020-04-14T00:00:00.000Z,190,0,35.0,185,0.0
2020-04-15T00:00:00.000Z,298,0,108.0,293,0.0
2020-04-16T00:00:00.000Z,330,0,32.0,325,0.0
2020-04-17T00:00:00.000Z,354,0,24.0,345,0.0
2020-04-18T00:00:00.000Z,388,0,34.0,379,0.0
2020-04-19T00:00:00.000Z,417,0,29.0,408,0.0
2020-04-20T00:00:00.000Z,454,0,37.0,445,0.0
