date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-31,1,0,1,1,0
2020-04-01,1,0,0,1,0
2020-04-02,1,0,0,1,0
2020-04-03,1,0,0,1,0
2020-04-04,1,0,0,1,0
2020-04-05,1,0,0,1,0
2020-04-06,1,0,0,1,0
2020-04-07,1,0,0,1,0
2020-04-08,1,0,0,1,0
2020-04-09,1,0,0,0,0
2020-04-10,1,0,0,0,0
2020-04-11,1,0,0,0,0
2020-04-12,1,0,0,0,0
2020-04-13,2,0,1,1,0
2020-04-14,3,0,1,2,0
2020-04-15,3,0,0,2,0
2020-04-16,18,0,15,17,0
2020-04-17,18,0,0,17,0
2020-04-18,65,0,47,64,0
2020-04-19,65,0,0,64,0
2020-04-20,65,0,0,64,0
2020-04-21,65,0,0,64,0
2020-04-22,67,0,2,66,0
2020-04-23,76,0,9,74,0
2020-04-24,78,0,2,76,0
2020-04-25,87,0,9,85,0
2020-04-26,88,0,1,86,0
2020-04-27,91,0,3,89,0
2020-04-28,92,2,1,89,2
2020-04-29,99,2,7,96,0
2020-04-30,101,2,2,98,0
2020-05-01,110,2,9,107,0
2020-05-02,114,2,4,80,0
2020-05-03,116,2,2,82,0
2020-05-04,116,2,0,81,0
2020-05-05,131,2,15,75,0
2020-05-06,136,2,5,80,0
2020-05-07,138,2,2,81,0
2020-05-08,146,2,8,79,0
2020-05-09,154,2,8,86,0
2020-05-10,155,3,1,82,1
2020-05-11,155,3,0,72,0
2020-05-12,157,3,2,70,0
2020-05-13,162,3,5,72,0
2020-05-14,163,3,1,66,0
2020-05-15,171,3,8,73,0
2020-05-16,174,3,3,73,0
2020-05-17,186,3,12,81,0
2020-05-18,189,3,3,80,0
2020-05-19,196,3,7,84,0
2020-05-20,201,3,5,74,0
2020-05-21,206,3,5,75,0
2020-05-22,209,3,3,75,0
2020-05-23,218,3,9,78,0
2020-05-24,223,3,5,80,0
2020-05-25,223,3,0,77,0
2020-05-26,227,3,4,76,0
2020-05-27,228,3,1,73,0
2020-05-28,230,3,2,67,0
2020-05-29,238,3,8,65,0
2020-05-30,238,3,0,55,0
2020-05-31,243,3,5,57,0
2020-06-01,246,3,3,59,0
2020-06-02,248,3,2,49,0
2020-06-03,260,3,12,59,0
2020-06-04,271,3,11,68,0
2020-06-05,286,3,15,80,0
2020-06-06,313,3,27,106,0
2020-06-07,327,3,14,119,0
2020-06-08,339,3,12,128,0
2020-06-09,348,4,9,135,1
2020-06-10,359,4,11,143,0
2020-06-11,397,4,38,180,0
2020-06-12,432,4,35,212,0
2020-06-13,459,4,27,237,0
2020-06-14,480,4,21,258,0
2020-06-15,501,4,21,277,0
2020-06-16,511,4,10,280,0
2020-06-17,519,4,8,285,0
2020-06-18,521,4,2,280,0
2020-06-19,540,4,19,287,0
2020-06-20,559,4,19,301,0
2020-06-21,586,4,27,319,0
2020-06-22,606,4,20,335,0
2020-06-23,609,4,3,321,0
2020-06-24,620,4,11,312,0
2020-06-25,642,4,22,316,0
2020-06-26,654,4,12,319,0
2020-06-27,669,4,15,322,0
2020-06-28,697,4,28,348,0
2020-06-29,731,4,34,375,0
2020-06-30,764,4,33,403,0
2020-07-01,791,4,27,430,0
2020-07-02,833,4,42,412,0
2020-07-03,875,4,42,415,0
2020-07-04,907,4,32,415,0
2020-07-05,928,4,21,413,0
2020-07-06,935,4,7,409,0
2020-07-07,947,4,12,413,0
2020-07-08,951,4,4,401,0
2020-07-09,978,4,27,422,0
2020-07-10,1001,4,23,425,0
2020-07-11,1014,4,13,428,0
2020-07-12,1038,4,24,441,0
2020-07-13,1055,5,17,433,1
2020-07-14,1068,5,13,443,0
2020-07-15,1074,5,6,448,0
2020-07-16,1098,6,24,454,1
2020-07-17,1120,6,22,427,0
2020-07-18,1132,6,12,406,0
2020-07-19,1144,6,12,402,0
2020-07-20,1161,7,17,390,1
2020-07-21,1168,7,7,395,0
2020-07-22,1186,7,18,392,0
2020-07-23,1203,7,17,387,0
2020-07-24,1216,7,13,388,0
2020-07-25,1231,7,15,386,0
2020-07-26,1243,7,12,371,0
2020-07-27,1263,7,20,381,0
2020-07-28,1269,10,6,357,3
2020-07-29,1278,10,9,361,0
2020-07-30,1298,12,20,350,2
2020-07-31,1317,13,19,351,1
2020-08-01,1336,13,19,352,0
2020-08-02,1357,13,21,373,0
2020-08-03,1380,13,23,373,0
2020-08-04,1402,13,22,385,0
2020-08-05,1421,14,19,373,1
2020-08-06,1442,14,21,367,0
2020-08-07,1464,14,22,351,0
2020-08-08,1484,14,20,356,0
2020-08-09,1501,14,17,360,0
2020-08-10,1520,14,19,377,0
2020-08-11,1609,14,89,455,0
2020-08-12,1609,15,0,442,1
2020-08-13,1609,15,0,417,0
2020-08-14,1619,15,10,406,0
2020-08-15,1637,15,18,413,0
2020-08-16,1651,15,14,415,0
2020-08-17,1664,15,13,413,0
2020-08-18,1688,16,24,425,1
2020-08-19,1701,16,13,408,0
2020-08-20,1782,16,81,461,0
2020-08-21,1782,16,0,429,0
2020-08-22,1782,17,0,394,1
2020-08-23,1782,18,0,356,1
2020-08-24,1787,18,5,310,0
2020-08-25,1793,18,6,306,0
2020-08-26,1809,18,16,312,0
2020-08-27,1825,18,16,304,0
2020-08-28,1857,18,32,306,0
2020-08-29,1883,18,26,310,0
2020-08-30,1904,18,21,307,0
2020-08-31,1928,18,24,318,0
2020-09-01,1943,18,15,328,0
2020-09-02,1966,18,23,333,0
2020-09-03,1992,18,26,332,0
2020-09-04,2020,18,28,337,0
2020-09-05,2049,18,29,363,0
2020-09-06,2083,18,34,393,0
2020-09-07,2116,18,33,420,0
2020-09-08,2150,18,34,435,0
2020-09-09,2181,19,31,449,1
2020-09-10,2210,19,29,462,0
2020-09-11,2241,19,31,478,0
2020-09-12,2275,19,34,499,0
2020-09-13,2308,19,33,513,0
2020-09-14,2340,19,32,517,0
2020-09-15,2372,19,32,514,0
2020-09-16,2406,19,34,507,0
2020-09-17,2451,21,45,537,2
2020-09-18,2484,22,33,541,1
2020-09-19,2522,23,38,551,1
2020-09-20,2556,24,34,554,1
2020-09-21,2594,24,38,556,0
2020-09-22,2637,25,43,581,1
2020-09-23,2680,25,43,590,0
2020-09-24,2720,25,40,596,0
2020-09-25,2756,25,36,602,0
2020-09-26,2793,25,37,616,0
2020-09-27,2830,25,37,623,0
2020-09-28,2865,25,35,629,0
2020-09-29,2899,25,34,636,0
2020-09-30,2933,25,34,645,0
2020-10-01,2971,25,38,653,0
2020-10-02,3010,26,39,675,1
2020-10-03,3049,26,39,687,0
2020-10-04,3091,26,42,699,0
2020-10-05,3131,26,40,718,0
2020-10-06,3172,26,41,740,0
2020-10-07,3211,26,39,747,0
2020-10-08,3254,27,43,757,1
2020-10-09,3297,27,43,775,0
2020-10-10,3343,28,46,793,1
2020-10-11,3389,28,46,824,0
