date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-15,5,0,5,5,0
2020-03-16,8,0,3,8,0
2020-03-17,12,0,4,12,0
2020-03-18,12,0,0,12,0
2020-03-19,17,0,5,17,0
2020-03-20,18,0,1,18,0
2020-03-21,35,0,17,34,0
2020-03-22,35,0,0,34,0
2020-03-23,35,0,0,33,0
2020-03-24,35,0,0,33,0
2020-03-25,41,0,6,34,0
2020-03-26,41,0,0,34,0
2020-03-27,49,0,8,41,0
2020-03-28,85,0,36,77,0
2020-03-29,112,0,27,102,0
2020-03-30,119,1,7,105,1
2020-03-31,119,1,0,102,0
2020-04-01,134,2,15,117,1
2020-04-02,177,2,43,160,0
2020-04-03,211,2,34,194,0
2020-04-04,260,2,49,230,0
2020-04-05,305,3,45,266,1
2020-04-06,387,3,82,348,0
2020-04-07,454,8,67,407,5
2020-04-08,549,10,95,499,2
2020-04-09,748,13,199,696,3
2020-04-10,930,13,182,864,0
2020-04-11,1082,14,152,1013,1
2020-04-12,1360,18,278,1285,4
2020-04-13,1855,19,495,1780,1
2020-04-14,2315,24,460,2240,5
2020-04-15,2587,26,272,2512,2
2020-04-16,3054,33,467,2963,7
2020-04-17,3526,40,472,3421,7
2020-04-18,3954,40,428,3828,0
2020-04-19,4663,49,709,4501,9
2020-04-20,5241,49,578,5065,0
2020-04-21,5959,49,718,5780,0
2020-04-22,6590,56,631,6404,7
2020-04-23,7278,56,688,7092,0
2020-04-24,7889,66,611,7654,10
2020-04-25,8494,69,605,8232,3
2020-04-26,9070,71,576,8798,2
2020-04-27,9708,71,638,9422,0
2020-04-28,10231,74,523,9920,3
2020-04-29,10917,90,686,10528,16
2020-04-30,11710,93,793,11280,3
2020-05-01,12507,109,797,12049,16
2020-05-02,13314,109,807,12811,0
2020-05-03,14136,111,822,13629,2
2020-05-04,14939,111,803,14413,0
2020-05-05,15761,127,822,15185,16
2020-05-06,16590,141,829,15979,14
2020-05-07,17432,156,842,16663,15
2020-05-08,18350,175,918,17537,19
2020-05-09,19425,186,1075,18395,11
2020-05-10,20558,195,1133,19322,9
2020-05-11,21637,209,1079,20248,14
2020-05-12,22700,219,1063,21118,10
2020-05-13,23662,226,962,21917,7
2020-05-14,24580,240,918,22593,14
2020-05-15,25525,253,945,23057,13
2020-05-16,26462,262,937,23738,9
2020-05-17,27369,268,907,24281,6
2020-05-18,28290,268,921,24929,0
2020-05-19,29188,271,898,25574,3
2020-05-20,30091,285,903,26194,14
2020-05-21,30983,299,892,26702,14
2020-05-22,31807,312,824,27108,13
2020-05-23,32653,324,846,27490,12
2020-05-24,33515,329,862,27995,5
2020-05-25,34346,340,831,28438,11
2020-05-26,35163,349,817,29011,9
2020-05-27,35956,359,793,29516,10
2020-05-28,36730,380,774,29887,21
2020-05-29,37503,400,773,30170,20
2020-05-30,38238,424,735,30518,24
2020-05-31,38995,449,757,30904,25
2020-06-01,39723,473,728,31301,24
2020-06-02,40455,495,732,31646,22
2020-06-03,41191,515,736,31880,20
2020-06-04,41958,534,767,32081,19
2020-06-05,42720,539,762,32328,5
2020-06-06,43478,557,758,32554,18
2020-06-07,44232,567,754,32770,10
2020-06-08,44983,578,751,32952,11
2020-06-09,45722,590,739,33050,12
2020-06-10,46457,622,735,33038,32
2020-06-11,47181,644,724,32994,22
2020-06-12,47911,666,730,32956,22
2020-06-13,48636,678,725,32902,12
2020-06-14,49353,678,717,32780,0
2020-06-15,50042,690,689,32620,12
2020-06-16,50736,702,694,32396,12
2020-06-17,51416,728,680,32097,26
2020-06-18,52083,751,667,31728,23
2020-06-19,52729,755,646,31281,4
2020-06-20,53320,778,591,30724,23
2020-06-21,53869,783,549,30071,5
2020-06-22,54375,783,506,29339,0
2020-06-23,54879,798,504,28681,15
2020-06-24,55386,822,507,27798,24
2020-06-25,55853,832,467,26851,10
2020-06-26,56243,846,390,25752,14
2020-06-27,56609,858,366,24697,12
2020-06-28,56934,864,325,23703,6
2020-06-29,57269,875,335,22947,11
2020-06-30,57570,887,301,22330,12
2020-07-01,57876,911,306,21824,24
2020-07-02,58193,921,317,21391,10
2020-07-03,58491,928,298,21093,7
2020-07-04,58766,936,275,20910,8
2020-07-05,59053,947,287,20705,11
2020-07-06,59345,947,292,20591,0
2020-07-07,59522,965,177,20331,18
2020-07-08,59716,970,194,20166,5
2020-07-09,59908,979,192,19986,9
2020-07-10,60107,992,199,19808,13
