date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-19T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-20T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-21T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-22T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-23T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-24T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-25T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-26T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-27T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-28T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-29T00:00:00.000Z,3,0,2.0,3,0.0
2020-03-30T00:00:00.000Z,5,0,2.0,4,0.0
2020-03-31T00:00:00.000Z,11,0,6.0,10,0.0
2020-04-01T00:00:00.000Z,11,0,0.0,10,0.0
2020-04-02T00:00:00.000Z,15,0,4.0,14,0.0
2020-04-03T00:00:00.000Z,15,0,0.0,14,0.0
2020-04-04T00:00:00.000Z,15,0,0.0,14,0.0
2020-04-05T00:00:00.000Z,15,0,0.0,14,0.0
2020-04-06T00:00:00.000Z,18,0,3.0,17,0.0
2020-04-07T00:00:00.000Z,18,0,0.0,17,0.0
2020-04-08T00:00:00.000Z,43,0,25.0,41,0.0
2020-04-09T00:00:00.000Z,44,0,1.0,39,0.0
2020-04-10T00:00:00.000Z,67,0,23.0,62,0.0
2020-04-11T00:00:00.000Z,67,0,0.0,61,0.0
2020-04-12T00:00:00.000Z,128,0,61.0,118,0.0
2020-04-13T00:00:00.000Z,128,1,0.0,118,1.0
2020-04-14T00:00:00.000Z,128,1,0.0,118,0.0
2020-04-15T00:00:00.000Z,265,1,137.0,251,0.0
2020-04-16T00:00:00.000Z,306,1,41.0,291,0.0
2020-04-17T00:00:00.000Z,314,1,8.0,293,0.0
2020-04-18T00:00:00.000Z,324,2,10.0,297,1.0
2020-04-19T00:00:00.000Z,354,3,30.0,326,1.0
2020-04-20T00:00:00.000Z,400,3,46.0,372,0.0
2020-04-21T00:00:00.000Z,438,3,38.0,406,0.0
2020-04-22T00:00:00.000Z,506,3,68.0,450,0.0
2020-04-23T00:00:00.000Z,606,3,100.0,545,0.0
2020-04-24T00:00:00.000Z,663,4,57.0,599,1.0
2020-04-25T00:00:00.000Z,856,4,193.0,786,0.0
2020-04-26T00:00:00.000Z,961,4,105.0,890,0.0
2020-04-27T00:00:00.000Z,989,4,28.0,916,0.0
2020-04-28T00:00:00.000Z,1056,4,67.0,968,0.0
2020-04-29T00:00:00.000Z,1126,4,70.0,1028,0.0
2020-04-30T00:00:00.000Z,1227,4,101.0,1129,0.0
2020-05-01T00:00:00.000Z,1313,4,86.0,1200,0.0
2020-05-02T00:00:00.000Z,1456,4,143.0,1340,0.0
2020-05-03T00:00:00.000Z,1694,4,238.0,1572,0.0
2020-05-04T00:00:00.000Z,1974,4,280.0,1820,0.0
2020-05-05T00:00:00.000Z,2101,4,127.0,1947,0.0
2020-05-06T00:00:00.000Z,2237,4,136.0,2076,0.0
2020-05-07T00:00:00.000Z,2272,4,35.0,2086,0.0
2020-05-08T00:00:00.000Z,2322,4,50.0,2088,0.0
2020-05-09T00:00:00.000Z,2340,4,18.0,2083,0.0
2020-05-10T00:00:00.000Z,2371,5,31.0,2101,1.0
2020-05-11T00:00:00.000Z,2416,5,45.0,2125,0.0
2020-05-12T00:00:00.000Z,2428,5,12.0,2116,0.0
2020-05-13T00:00:00.000Z,2471,5,43.0,2114,0.0
2020-05-14T00:00:00.000Z,2492,6,21.0,2044,1.0
2020-05-15T00:00:00.000Z,2551,6,59.0,2062,0.0
2020-05-16T00:00:00.000Z,2644,6,93.0,1907,0.0
2020-05-17T00:00:00.000Z,2654,6,10.0,1372,0.0
2020-05-18T00:00:00.000Z,2666,6,12.0,1378,0.0
2020-05-19T00:00:00.000Z,2684,6,18.0,1344,0.0
2020-05-20T00:00:00.000Z,2714,7,30.0,1289,1.0
2020-05-21T00:00:00.000Z,2781,7,67.0,1285,0.0
2020-05-22T00:00:00.000Z,2834,7,53.0,1239,0.0
2020-05-23T00:00:00.000Z,2868,7,34.0,1251,0.0
2020-05-24T00:00:00.000Z,2900,7,32.0,1273,0.0
2020-05-25T00:00:00.000Z,2936,7,36.0,1305,0.0
2020-05-26T00:00:00.000Z,2981,7,45.0,1325,0.0
2020-05-27T00:00:00.000Z,3030,7,49.0,1354,0.0
2020-05-28T00:00:00.000Z,3076,7,46.0,1348,0.0
2020-05-29T00:00:00.000Z,3136,7,60.0,1250,0.0
2020-05-30T00:00:00.000Z,3181,7,45.0,1147,0.0
2020-05-31T00:00:00.000Z,3222,7,41.0,1150,0.0
2020-06-01T00:00:00.000Z,3264,7,42.0,1183,0.0
2020-06-02T00:00:00.000Z,3296,7,32.0,1104,0.0
2020-06-03T00:00:00.000Z,3342,7,46.0,967,0.0
2020-06-04T00:00:00.000Z,3375,7,33.0,974,0.0
2020-06-05T00:00:00.000Z,3422,7,47.0,995,0.0
2020-06-06T00:00:00.000Z,3472,7,50.0,1004,0.0
2020-06-07T00:00:00.000Z,3530,7,58.0,1053,0.0
2020-06-08T00:00:00.000Z,3576,7,46.0,1096,0.0
2020-06-09T00:00:00.000Z,3674,7,98.0,1139,0.0
2020-06-10T00:00:00.000Z,3700,7,26.0,1131,0.0
2020-06-11T00:00:00.000Z,3760,7,60.0,1127,0.0
2020-06-12T00:00:00.000Z,3818,7,58.0,1155,0.0
2020-06-13T00:00:00.000Z,3889,7,71.0,1220,0.0
2020-06-14T00:00:00.000Z,3946,7,57.0,1269,0.0
2020-06-15T00:00:00.000Z,4011,7,65.0,1321,0.0
2020-06-16T00:00:00.000Z,4083,7,72.0,1273,0.0
2020-06-17T00:00:00.000Z,4155,9,72.0,1278,2.0
2020-06-18T00:00:00.000Z,4219,9,64.0,1309,0.0
2020-06-19T00:00:00.000Z,4280,9,61.0,1328,0.0
2020-06-20T00:00:00.000Z,4346,9,66.0,1326,0.0
2020-06-21T00:00:00.000Z,4431,9,85.0,1395,0.0
2020-06-22T00:00:00.000Z,4516,9,85.0,1396,0.0
2020-06-23T00:00:00.000Z,4586,9,70.0,1421,0.0
2020-06-24T00:00:00.000Z,4660,11,74.0,1443,2.0
2020-06-25T00:00:00.000Z,4732,11,72.0,1370,0.0
2020-06-26T00:00:00.000Z,4811,12,79.0,1372,1.0
2020-06-27T00:00:00.000Z,4901,12,90.0,1404,0.0
2020-06-28T00:00:00.000Z,4994,13,93.0,1484,1.0
2020-06-29T00:00:00.000Z,5093,13,99.0,1579,0.0
2020-06-30T00:00:00.000Z,5211,15,118.0,1682,2.0
2020-07-01T00:00:00.000Z,5346,16,135.0,1755,1.0
