date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-04-15T00:00:00.000Z,1,0,1.0,1,0.0
2020-04-16T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-17T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-18T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-19T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-20T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-21T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-22T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-23T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-24T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-25T00:00:00.000Z,1,0,0.0,0,0.0
2020-04-26T00:00:00.000Z,2,0,1.0,1,0.0
2020-04-27T00:00:00.000Z,11,0,9.0,10,0.0
2020-04-28T00:00:00.000Z,29,0,18.0,28,0.0
2020-04-29T00:00:00.000Z,30,0,1.0,29,0.0
2020-04-30T00:00:00.000Z,33,0,3.0,32,0.0
2020-05-01T00:00:00.000Z,34,0,1.0,33,0.0
2020-05-02T00:00:00.000Z,34,0,0.0,33,0.0
2020-05-03T00:00:00.000Z,45,0,11.0,44,0.0
2020-05-04T00:00:00.000Z,47,0,2.0,46,0.0
2020-05-05T00:00:00.000Z,47,0,0.0,46,0.0
2020-05-06T00:00:00.000Z,47,0,0.0,46,0.0
2020-05-07T00:00:00.000Z,48,0,1.0,47,0.0
2020-05-08T00:00:00.000Z,49,0,1.0,48,0.0
2020-05-09T00:00:00.000Z,49,0,0.0,48,0.0
2020-05-10T00:00:00.000Z,49,0,0.0,48,0.0
2020-05-11T00:00:00.000Z,50,0,1.0,49,0.0
2020-05-12T00:00:00.000Z,50,0,0.0,49,0.0
2020-05-13T00:00:00.000Z,50,0,0.0,46,0.0
2020-05-14T00:00:00.000Z,50,0,0.0,43,0.0
2020-05-15T00:00:00.000Z,52,0,2.0,45,0.0
2020-05-16T00:00:00.000Z,52,0,0.0,45,0.0
2020-05-17T00:00:00.000Z,54,0,2.0,47,0.0
2020-05-18T00:00:00.000Z,54,0,0.0,47,0.0
2020-05-19T00:00:00.000Z,57,0,3.0,50,0.0
2020-05-20T00:00:00.000Z,58,0,1.0,51,0.0
2020-05-21T00:00:00.000Z,59,0,1.0,52,0.0
2020-05-22T00:00:00.000Z,60,0,1.0,53,0.0
2020-05-23T00:00:00.000Z,62,0,2.0,52,0.0
2020-05-24T00:00:00.000Z,62,0,0.0,52,0.0
2020-05-25T00:00:00.000Z,62,0,0.0,52,0.0
2020-05-26T00:00:00.000Z,64,0,2.0,54,0.0
2020-05-27T00:00:00.000Z,66,0,2.0,54,0.0
2020-05-28T00:00:00.000Z,68,0,2.0,56,0.0
2020-05-29T00:00:00.000Z,69,0,1.0,57,0.0
2020-05-30T00:00:00.000Z,71,0,2.0,59,0.0
2020-05-31T00:00:00.000Z,72,0,1.0,60,0.0
2020-06-01T00:00:00.000Z,73,0,1.0,61,0.0
2020-06-02T00:00:00.000Z,74,0,1.0,59,0.0
2020-06-03T00:00:00.000Z,74,0,0.0,59,0.0
2020-06-04T00:00:00.000Z,75,0,1.0,60,0.0
2020-06-05T00:00:00.000Z,80,0,5.0,65,0.0
2020-06-06T00:00:00.000Z,80,0,0.0,64,0.0
2020-06-07T00:00:00.000Z,80,0,0.0,64,0.0
2020-06-08T00:00:00.000Z,80,0,0.0,64,0.0
2020-06-09T00:00:00.000Z,80,0,0.0,63,0.0
2020-06-10T00:00:00.000Z,80,0,0.0,60,0.0
2020-06-11T00:00:00.000Z,80,0,0.0,54,0.0
