date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-19T00:00:00.000Z,3,0,3.0,2,0.0
2020-03-20T00:00:00.000Z,3,0,0.0,2,0.0
2020-03-21T00:00:00.000Z,7,0,4.0,6,0.0
2020-03-22T00:00:00.000Z,7,0,0.0,6,0.0
2020-03-23T00:00:00.000Z,7,0,0.0,6,0.0
2020-03-24T00:00:00.000Z,7,0,0.0,6,0.0
2020-03-25T00:00:00.000Z,8,0,1.0,7,0.0
2020-03-26T00:00:00.000Z,8,0,0.0,7,0.0
2020-03-27T00:00:00.000Z,8,0,0.0,7,0.0
2020-03-28T00:00:00.000Z,11,0,3.0,10,0.0
2020-03-29T00:00:00.000Z,11,0,0.0,10,0.0
2020-03-30T00:00:00.000Z,11,0,0.0,10,0.0
2020-03-31T00:00:00.000Z,12,0,1.0,11,0.0
2020-04-01T00:00:00.000Z,12,0,0.0,8,0.0
2020-04-02T00:00:00.000Z,25,0,13.0,21,0.0
2020-04-03T00:00:00.000Z,25,0,0.0,21,0.0
2020-04-04T00:00:00.000Z,25,0,0.0,21,0.0
2020-04-05T00:00:00.000Z,47,0,22.0,43,0.0
2020-04-06T00:00:00.000Z,56,2,9.0,52,2.0
2020-04-07T00:00:00.000Z,56,2,0.0,48,0.0
2020-04-08T00:00:00.000Z,80,2,24.0,67,0.0
2020-04-09T00:00:00.000Z,87,2,7.0,74,0.0
2020-04-10T00:00:00.000Z,119,2,32.0,105,0.0
2020-04-11T00:00:00.000Z,152,2,33.0,138,0.0
2020-04-12T00:00:00.000Z,194,2,42.0,180,0.0
2020-04-13T00:00:00.000Z,224,4,30.0,204,2.0
2020-04-14T00:00:00.000Z,292,4,68.0,272,0.0
2020-04-15T00:00:00.000Z,339,4,47.0,318,0.0
2020-04-16T00:00:00.000Z,404,4,65.0,383,0.0
2020-04-17T00:00:00.000Z,458,4,54.0,437,0.0
2020-04-18T00:00:00.000Z,517,4,59.0,491,0.0
2020-04-19T00:00:00.000Z,646,4,129.0,620,0.0
2020-04-20T00:00:00.000Z,759,5,113.0,733,1.0
2020-04-21T00:00:00.000Z,860,5,101.0,832,0.0
2020-04-22T00:00:00.000Z,929,6,69.0,880,1.0
2020-04-23T00:00:00.000Z,1002,7,73.0,942,1.0
2020-04-24T00:00:00.000Z,1096,8,94.0,1019,1.0
2020-04-25T00:00:00.000Z,1214,8,118.0,1122,0.0
2020-04-26T00:00:00.000Z,1367,8,153.0,1258,0.0
2020-04-27T00:00:00.000Z,1574,9,207.0,1465,1.0
2020-04-28T00:00:00.000Z,1663,9,89.0,1554,0.0
2020-04-29T00:00:00.000Z,1794,11,131.0,1617,2.0
2020-04-30T00:00:00.000Z,1944,12,150.0,1718,1.0
2020-05-01T00:00:00.000Z,2123,14,179.0,1834,2.0
2020-05-02T00:00:00.000Z,2443,14,320.0,2125,0.0
2020-05-03T00:00:00.000Z,2695,16,252.0,2349,2.0
2020-05-04T00:00:00.000Z,2852,16,157.0,2469,0.0
2020-05-05T00:00:00.000Z,3026,16,174.0,2628,0.0
2020-05-06T00:00:00.000Z,3298,16,272.0,2876,0.0
2020-05-07T00:00:00.000Z,3610,23,312.0,3117,7.0
2020-05-08T00:00:00.000Z,3886,23,276.0,3376,0.0
2020-05-09T00:00:00.000Z,4180,26,294.0,3531,3.0
2020-05-10T00:00:00.000Z,4442,29,262.0,3781,3.0
2020-05-11T00:00:00.000Z,4733,31,291.0,4039,2.0
2020-05-12T00:00:00.000Z,5087,32,354.0,4343,1.0
2020-05-13T00:00:00.000Z,5358,35,271.0,4594,3.0
2020-05-14T00:00:00.000Z,5596,37,238.0,4511,2.0
2020-05-15T00:00:00.000Z,5903,40,307.0,4683,3.0
2020-05-16T00:00:00.000Z,6132,42,229.0,4809,2.0
2020-05-17T00:00:00.000Z,6413,43,281.0,5040,1.0
2020-05-18T00:00:00.000Z,6692,43,279.0,5282,0.0
2020-05-19T00:00:00.000Z,6952,45,260.0,5413,2.0
2020-05-20T00:00:00.000Z,7209,49,257.0,5572,4.0
