,date,confirmed,cured,deaths
0,2020-03-22T00:00:00.000Z,1,0,0
1,2020-03-23T00:00:00.000Z,1,0,0
2,2020-03-24T00:00:00.000Z,1,0,0
3,2020-03-25T00:00:00.000Z,1,0,0
4,2020-03-26T00:00:00.000Z,1,0,0
5,2020-03-27T00:00:00.000Z,1,0,0
6,2020-03-28T00:00:00.000Z,1,0,0
7,2020-03-29T00:00:00.000Z,3,0,0
8,2020-03-30T00:00:00.000Z,3,0,0
9,2020-03-31T00:00:00.000Z,3,0,0
10,2020-04-01T00:00:00.000Z,3,0,0
11,2020-04-02T00:00:00.000Z,3,0,0
12,2020-04-03T00:00:00.000Z,3,0,0
13,2020-04-04T00:00:00.000Z,3,1,0
14,2020-04-05T00:00:00.000Z,3,1,0
15,2020-04-06T00:00:00.000Z,5,1,0
16,2020-04-07T00:00:00.000Z,5,1,0
17,2020-04-08T00:00:00.000Z,5,1,0
18,2020-04-09T00:00:00.000Z,12,2,0
19,2020-04-10T00:00:00.000Z,18,3,0
20,2020-04-11T00:00:00.000Z,18,4,0
21,2020-04-12T00:00:00.000Z,18,4,0
22,2020-04-13T00:00:00.000Z,26,4,0
23,2020-04-14T00:00:00.000Z,26,4,0
24,2020-04-15T00:00:00.000Z,33,4,1
25,2020-04-16T00:00:00.000Z,53,4,1
26,2020-04-17T00:00:00.000Z,74,4,1
27,2020-04-18T00:00:00.000Z,80,4,1
28,2020-04-19T00:00:00.000Z,98,4,1
29,2020-04-20T00:00:00.000Z,108,4,1
30,2020-04-21T00:00:00.000Z,114,4,2
31,2020-04-22T00:00:00.000Z,140,4,2
32,2020-04-23T00:00:00.000Z,157,6,2
33,2020-04-24T00:00:00.000Z,171,8,2
34,2020-04-25T00:00:00.000Z,186,14,2
35,2020-04-26T00:00:00.000Z,211,14,2
36,2020-04-27T00:00:00.000Z,244,14,3
37,2020-04-28T00:00:00.000Z,254,18,3
38,2020-04-29T00:00:00.000Z,266,22,3
39,2020-04-30T00:00:00.000Z,279,22,3
40,2020-05-01T00:00:00.000Z,297,26,3
41,2020-05-02T00:00:00.000Z,322,31,3
42,2020-05-03T00:00:00.000Z,348,39,3
43,2020-05-04T00:00:00.000Z,372,43,4
44,2020-05-05T00:00:00.000Z,399,56,5
45,2020-05-06T00:00:00.000Z,417,56,5
46,2020-05-07T00:00:00.000Z,438,58,6
47,2020-05-08T00:00:00.000Z,457,69,6
48,2020-05-09T00:00:00.000Z,469,81,6
49,2020-05-10T00:00:00.000Z,497,102,6
50,2020-05-11T00:00:00.000Z,514,108,6
51,2020-05-12T00:00:00.000Z,541,117,6
52,2020-05-13T00:00:00.000Z,555,132,6
53,2020-05-14T00:00:00.000Z,570,144,6
54,2020-05-15T00:00:00.000Z,584,158,7
55,2020-05-16T00:00:00.000Z,598,170,7
56,2020-05-17T00:00:00.000Z,631,182,8
57,2020-05-18T00:00:00.000Z,652,182,8
58,2020-05-19T00:00:00.000Z,685,190,8
59,2020-05-20T00:00:00.000Z,695,217,8
60,2020-05-21T00:00:00.000Z,727,238,8
61,2020-05-22T00:00:00.000Z,749,250,8
62,2020-05-23T00:00:00.000Z,784,261,8
63,2020-05-24T00:00:00.000Z,844,268,8
64,2020-05-25T00:00:00.000Z,914,279,7
65,2020-05-26T00:00:00.000Z,1003,300,7
66,2020-05-27T00:00:00.000Z,1049,319,7
67,2020-05-28T00:00:00.000Z,1094,349,7
68,2020-05-29T00:00:00.000Z,1167,361,7
69,2020-05-30T00:00:00.000Z,1230,388,8
70,2020-05-31T00:00:00.000Z,1281,388,8
71,2020-06-01T00:00:00.000Z,1353,388,8
72,2020-06-02T00:00:00.000Z,1430,391,8
73,2020-06-03T00:00:00.000Z,1493,416,8
74,2020-06-04T00:00:00.000Z,1546,426,8
75,2020-06-05T00:00:00.000Z,1588,429,9
76,2020-06-06T00:00:00.000Z,1634,437,9
77,2020-06-07T00:00:00.000Z,1676,438,9
78,2020-06-08T00:00:00.000Z,1734,438,10
79,2020-06-09T00:00:00.000Z,1779,446,11
80,2020-06-10T00:00:00.000Z,1823,458,11
81,2020-06-11T00:00:00.000Z,1867,467,11
82,2020-06-12T00:00:00.000Z,1913,472,12
83,2020-06-13T00:00:00.000Z,1963,482,12
84,2020-06-14T00:00:00.000Z,2011,483,12
85,2020-06-15T00:00:00.000Z,2063,483,16
86,2020-06-16T00:00:00.000Z,2121,494,18
87,2020-06-17T00:00:00.000Z,2183,519,18
88,2020-06-18T00:00:00.000Z,2245,533,20
89,2020-06-19T00:00:00.000Z,2303,566,20
90,2020-06-20T00:00:00.000Z,2362,588,20
91,2020-06-21T00:00:00.000Z,2417,589,20
92,2020-06-22T00:00:00.000Z,2478,590,20
93,2020-06-23T00:00:00.000Z,2535,631,20
94,2020-06-24T00:00:00.000Z,2591,672,20
95,2020-06-25T00:00:00.000Z,2653,672,20
96,2020-06-26T00:00:00.000Z,2698,710,20
97,2020-06-27T00:00:00.000Z,2742,756,25
98,2020-06-28T00:00:00.000Z,2792,756,25
99,2020-06-29T00:00:00.000Z,2839,756,25
100,2020-06-30T00:00:00.000Z,2884,796,25
101,2020-07-01T00:00:00.000Z,2931,837,26
102,2020-07-02T00:00:00.000Z,2978,847,26
