,date,confirmed,cured,deaths
0,2020-03-18T00:00:00.000Z,1,0,0
1,2020-03-19T00:00:00.000Z,2,0,0
2,2020-03-20T00:00:00.000Z,2,0,0
3,2020-03-21T00:00:00.000Z,4,0,0
4,2020-03-22T00:00:00.000Z,4,0,0
5,2020-03-23T00:00:00.000Z,4,0,0
6,2020-03-24T00:00:00.000Z,4,0,0
7,2020-03-25T00:00:00.000Z,4,0,0
8,2020-03-26T00:00:00.000Z,5,0,0
9,2020-03-27T00:00:00.000Z,5,0,0
10,2020-03-28T00:00:00.000Z,7,0,0
11,2020-03-29T00:00:00.000Z,8,0,0
12,2020-03-30T00:00:00.000Z,9,0,0
13,2020-03-31T00:00:00.000Z,9,2,0
14,2020-04-01T00:00:00.000Z,10,2,0
15,2020-04-02T00:00:00.000Z,10,2,0
16,2020-04-03T00:00:00.000Z,10,2,0
17,2020-04-04T00:00:00.000Z,10,2,0
18,2020-04-05T00:00:00.000Z,11,2,0
19,2020-04-06T00:00:00.000Z,11,2,0
20,2020-04-07T00:00:00.000Z,11,2,0
21,2020-04-08T00:00:00.000Z,13,2,0
22,2020-04-09T00:00:00.000Z,18,7,0
23,2020-04-10T00:00:00.000Z,21,8,0
24,2020-04-11T00:00:00.000Z,28,10,0
25,2020-04-12T00:00:00.000Z,38,10,0
26,2020-04-13T00:00:00.000Z,38,10,0
27,2020-04-14T00:00:00.000Z,46,10,0
28,2020-04-15T00:00:00.000Z,53,12,1
29,2020-04-16T00:00:00.000Z,64,14,1
30,2020-04-17T00:00:00.000Z,76,14,2
31,2020-04-18T00:00:00.000Z,86,16,2
32,2020-04-19T00:00:00.000Z,108,16,3
33,2020-04-20T00:00:00.000Z,132,16,3
34,2020-04-21T00:00:00.000Z,135,20,4
35,2020-04-22T00:00:00.000Z,151,20,4
36,2020-04-23T00:00:00.000Z,168,23,4
37,2020-04-24T00:00:00.000Z,209,24,4
38,2020-04-25T00:00:00.000Z,247,24,4
39,2020-04-26T00:00:00.000Z,305,39,4
40,2020-04-27T00:00:00.000Z,347,39,4
41,2020-04-28T00:00:00.000Z,407,53,4
42,2020-04-29T00:00:00.000Z,436,63,4
43,2020-04-30T00:00:00.000Z,471,78,4
44,2020-05-01T00:00:00.000Z,526,80,5
45,2020-05-02T00:00:00.000Z,569,105,7
46,2020-05-03T00:00:00.000Z,620,119,7
47,2020-05-04T00:00:00.000Z,681,150,9
48,2020-05-05T00:00:00.000Z,746,179,9
49,2020-05-06T00:00:00.000Z,809,184,11
50,2020-05-07T00:00:00.000Z,876,240,12
51,2020-05-08T00:00:00.000Z,949,262,12
52,2020-05-09T00:00:00.000Z,1025,306,14
53,2020-05-10T00:00:00.000Z,1100,307,15
54,2020-05-11T00:00:00.000Z,1171,314,15
55,2020-05-12T00:00:00.000Z,1226,338,16
56,2020-05-13T00:00:00.000Z,1300,404,16
57,2020-05-14T00:00:00.000Z,1376,455,16
58,2020-05-15T00:00:00.000Z,1447,526,18
59,2020-05-16T00:00:00.000Z,1511,610,20
60,2020-05-17T00:00:00.000Z,1581,638,20
61,2020-05-18T00:00:00.000Z,1652,666,20
62,2020-05-19T00:00:00.000Z,1728,692,22
63,2020-05-20T00:00:00.000Z,1805,730,22
64,2020-05-21T00:00:00.000Z,1881,773,23
65,2020-05-22T00:00:00.000Z,1960,826,25
66,2020-05-23T00:00:00.000Z,2043,882,27
67,2020-05-24T00:00:00.000Z,2124,891,29
68,2020-05-25T00:00:00.000Z,2213,891,29
69,2020-05-26T00:00:00.000Z,2300,892,30
70,2020-05-27T00:00:00.000Z,2397,902,31
71,2020-05-28T00:00:00.000Z,2493,955,31
72,2020-05-29T00:00:00.000Z,2596,1017,31
