date,total_cases,cured,total_deaths
2020-03-19,1,0,0
2020-03-20,1,0,0
2020-03-21,1,0,0
2020-03-22,1,0,0
2020-03-23,1,0,0
2020-03-24,1,0,0
2020-03-25,4,0,0
2020-03-26,4,0,0
2020-03-27,4,0,0
2020-03-28,6,0,1
2020-03-29,6,0,1
2020-03-30,7,0,1
2020-03-31,7,0,1
2020-04-01,7,0,1
2020-04-02,12,0,1
2020-04-03,12,0,1
2020-04-04,12,1,1
2020-04-05,13,1,1
2020-04-06,14,1,1
2020-04-07,14,1,1
2020-04-08,22,1,1
2020-04-09,22,4,1
2020-04-10,25,4,1
2020-04-11,25,4,1
2020-04-12,25,5,1
2020-04-13,45,5,1
2020-04-14,53,6,1
2020-04-15,54,6,1
2020-04-16,82,12,2
2020-04-17,120,13,2
2020-04-18,140,15,2
2020-04-19,184,16,2
2020-04-20,184,16,2
2020-04-21,226,20,2
2020-04-22,254,32,2
2020-04-23,277,32,2
2020-04-24,305,32,2
2020-04-25,361,55,2
2020-04-26,377,58,2
2020-04-27,391,58,2
2020-04-28,456,82,2
2020-04-29,493,108,3
2020-04-30,520,119,3
2020-05-01,569,179,3
2020-05-02,591,190,4
2020-05-03,619,217,4
2020-05-04,700,217,4
2020-05-05,728,217,4
2020-05-06,767,217,4
2020-05-07,798,217,4
2020-05-08,847,217,5
2020-05-09,895,272,5
2020-05-10,937,284,5
2020-05-11,986,331,5
2020-05-12,1039,345,5
2020-05-13,1089,390,5
2020-05-14,1178,415,5
2020-05-15,1208,528,5
2020-05-16,1243,564,5
2020-05-17,1278,602,5
2020-05-18,1312,612,5
2020-05-19,1350,701,5
2020-05-20,1392,760,5
2020-05-21,1437,787,5
2020-05-22,1482,849,5
2020-05-23,1524,880,5
2020-05-24,1566,927,5
2020-05-25,1610,950,5
2020-05-26,1664,1027,6
2020-05-27,1718,1097,6
2020-05-28,1772,1139,6
2020-05-29,1826,1196,6
2020-05-30,1871,1196,6
2020-05-31,1925,1196,6
2020-06-01,1979,1196,6
2020-06-02,2032,1196,7
2020-06-03,2085,1241,8
2020-06-04,2141,1276,8
2020-06-05,2204,1587,8
2020-06-06,2267,1628,8
2020-06-07,2331,1636,8
2020-06-08,2397,1642,8
2020-06-09,2461,1704,8
2020-06-10,2521,1757,10
2020-06-11,2580,1827,10
2020-06-12,2643,1872,11
2020-06-13,2705,1893,11
2020-06-14,2768,1924,11
2020-06-15,2830,1950,11
2020-06-16,2890,2050,11
2020-06-17,2948,2150,13
2020-06-18,3007,2222,13
2020-06-19,3067,2301,13
2020-06-20,3125,2373,14
2020-06-21,3181,2398,14
2020-06-22,3245,2412,14
2020-06-23,3310,2528,14
2020-06-24,3377,2581,15
2020-06-25,3439,2597,15
2020-06-26,3499,2622,17
2020-06-27,3562,2638,18
2020-06-28,3626,2644,18
2020-06-29,3700,2649,18
2020-06-30,3777,2672,19
2020-07-01,3853,2914,19
2020-07-02,3929,2939,20
2020-07-03,4007,3028,21
2020-07-04,4088,3039,22
2020-07-05,4170,3072,22
2020-07-06,4253,3102,22
