,date,confirmed,cured,deaths
0,2020-03-17T00:00:00.000Z,1,0,0
1,2020-03-18T00:00:00.000Z,1,0,0
2,2020-03-19T00:00:00.000Z,1,0,0
3,2020-03-20T00:00:00.000Z,1,0,0
4,2020-03-21T00:00:00.000Z,1,0,0
5,2020-03-22T00:00:00.000Z,1,0,0
6,2020-03-23T00:00:00.000Z,1,0,0
7,2020-03-24T00:00:00.000Z,1,0,0
8,2020-03-25T00:00:00.000Z,2,0,0
9,2020-03-26T00:00:00.000Z,2,0,0
10,2020-03-27T00:00:00.000Z,2,0,0
11,2020-03-28T00:00:00.000Z,2,0,0
12,2020-03-29T00:00:00.000Z,7,0,0
13,2020-03-30T00:00:00.000Z,7,0,0
14,2020-03-31T00:00:00.000Z,12,0,1
15,2020-04-01T00:00:00.000Z,16,0,1
16,2020-04-02T00:00:00.000Z,16,0,1
17,2020-04-03T00:00:00.000Z,27,0,1
18,2020-04-04T00:00:00.000Z,27,0,1
19,2020-04-05T00:00:00.000Z,27,1,1
20,2020-04-06T00:00:00.000Z,32,1,1
21,2020-04-07T00:00:00.000Z,51,1,1
22,2020-04-08T00:00:00.000Z,52,1,1
23,2020-04-09T00:00:00.000Z,52,1,1
24,2020-04-10T00:00:00.000Z,67,1,1
25,2020-04-11T00:00:00.000Z,67,1,1
26,2020-04-12T00:00:00.000Z,67,1,1
27,2020-04-13T00:00:00.000Z,84,1,1
28,2020-04-14T00:00:00.000Z,84,4,1
29,2020-04-15T00:00:00.000Z,100,4,2
30,2020-04-16T00:00:00.000Z,107,4,2
31,2020-04-17T00:00:00.000Z,119,4,2
32,2020-04-18T00:00:00.000Z,140,4,2
33,2020-04-19T00:00:00.000Z,140,4,5
34,2020-04-20T00:00:00.000Z,165,4,5
35,2020-04-21T00:00:00.000Z,180,6,5
36,2020-04-22T00:00:00.000Z,196,6,5
37,2020-04-23T00:00:00.000Z,211,15,5
38,2020-04-24T00:00:00.000Z,232,15,5
39,2020-04-25T00:00:00.000Z,255,48,6
40,2020-04-26T00:00:00.000Z,261,58,6
41,2020-04-27T00:00:00.000Z,283,76,6
42,2020-04-28T00:00:00.000Z,322,89,7
43,2020-04-29T00:00:00.000Z,364,96,7
44,2020-04-30T00:00:00.000Z,404,116,7
45,2020-05-01T00:00:00.000Z,448,132,7
46,2020-05-02T00:00:00.000Z,481,148,7
47,2020-05-03T00:00:00.000Z,512,170,7
48,2020-05-04T00:00:00.000Z,539,175,8
49,2020-05-05T00:00:00.000Z,569,193,8
50,2020-05-06T00:00:00.000Z,601,199,8
51,2020-05-07T00:00:00.000Z,635,217,8
52,2020-05-08T00:00:00.000Z,678,246,8
53,2020-05-09T00:00:00.000Z,723,301,8
54,2020-05-10T00:00:00.000Z,764,350,8
55,2020-05-11T00:00:00.000Z,802,402,10
56,2020-05-12T00:00:00.000Z,837,440,10
57,2020-05-13T00:00:00.000Z,879,497,10
58,2020-05-14T00:00:00.000Z,924,548,10
59,2020-05-15T00:00:00.000Z,985,658,10
60,2020-05-16T00:00:00.000Z,1041,736,10
61,2020-05-17T00:00:00.000Z,1101,777,11
62,2020-05-18T00:00:00.000Z,1172,788,11
63,2020-05-19T00:00:00.000Z,1245,861,12
64,2020-05-20T00:00:00.000Z,1317,944,12
65,2020-05-21T00:00:00.000Z,1400,1002,13
66,2020-05-22T00:00:00.000Z,1510,1076,13
67,2020-05-23T00:00:00.000Z,1612,1146,13
68,2020-05-24T00:00:00.000Z,1709,1239,13
69,2020-05-25T00:00:00.000Z,1803,1255,15
70,2020-05-26T00:00:00.000Z,1892,1365,15
71,2020-05-27T00:00:00.000Z,1980,1481,17
72,2020-05-28T00:00:00.000Z,2066,1581,17
73,2020-05-29T00:00:00.000Z,2155,1681,17
74,2020-05-30T00:00:00.000Z,2245,1761,19
75,2020-05-31T00:00:00.000Z,2332,1827,19
76,2020-06-01T00:00:00.000Z,2417,1855,19
77,2020-06-02T00:00:00.000Z,2502,1966,20
78,2020-06-03T00:00:00.000Z,2585,2048,22
79,2020-06-04T00:00:00.000Z,2669,2132,24
80,2020-06-05T00:00:00.000Z,2759,2260,26
81,2020-06-06T00:00:00.000Z,2845,2354,26
82,2020-06-07T00:00:00.000Z,2943,2406,26
83,2020-06-08T00:00:00.000Z,3053,2433,26
84,2020-06-09T00:00:00.000Z,3191,2531,28
85,2020-06-10T00:00:00.000Z,3317,2651,28
86,2020-06-11T00:00:00.000Z,3432,2728,28
87,2020-06-12T00:00:00.000Z,3535,2823,28
88,2020-06-13T00:00:00.000Z,3634,2850,30
89,2020-06-14T00:00:00.000Z,3729,2887,31
90,2020-06-15T00:00:00.000Z,3823,2935,31
