date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-15,1,0,1,1,0
2020-03-16,2,0,1,2,0
2020-03-17,2,0,0,2,0
2020-03-18,2,0,0,2,0
2020-03-19,3,0,1,3,0
2020-03-20,3,0,0,3,0
2020-03-21,3,0,0,3,0
2020-03-22,3,0,0,3,0
2020-03-23,3,0,0,3,0
2020-03-24,3,0,0,3,0
2020-03-25,5,0,2,5,0
2020-03-26,10,0,5,10,0
2020-03-27,10,0,0,10,0
2020-03-28,11,0,1,11,0
2020-03-29,11,0,0,11,0
2020-03-30,13,0,2,13,0
2020-03-31,13,1,0,13,1
2020-04-01,13,1,0,13,0
2020-04-02,20,2,7,19,1
2020-04-03,21,2,1,18,0
2020-04-04,21,2,0,18,0
2020-04-05,21,2,0,18,0
2020-04-06,21,2,0,18,0
2020-04-07,32,2,11,27,0
2020-04-08,32,2,0,26,0
2020-04-09,41,3,9,35,1
2020-04-10,45,3,4,39,0
2020-04-11,45,3,0,30,0
2020-04-12,60,3,15,45,0
2020-04-13,60,3,0,45,0
2020-04-14,87,3,27,71,0
2020-04-15,114,3,27,98,0
2020-04-16,132,3,18,113,0
2020-04-17,144,3,12,125,0
2020-04-18,170,3,26,149,0
2020-04-19,198,3,28,171,0
2020-04-20,215,3,17,185,0
2020-04-21,237,3,22,207,0
2020-04-22,266,3,29,229,0
2020-04-23,287,4,21,244,1
2020-04-24,318,4,31,270,0
2020-04-25,373,4,55,321,0
2020-04-26,434,4,61,382,0
2020-04-27,454,4,20,393,0
2020-04-28,471,4,17,404,0
2020-04-29,481,5,10,394,1
2020-04-30,500,7,19,409,2
2020-05-01,524,7,24,429,0
2020-05-02,556,9,32,395,2
2020-05-03,595,9,39,429,0
2020-05-04,630,9,35,423,0
2020-05-05,648,9,18,430,0
2020-05-06,673,9,25,455,0
2020-05-07,699,10,26,417,1
2020-05-08,719,10,20,386,0
2020-05-09,735,11,16,350,1
2020-05-10,743,11,8,352,0
2020-05-11,753,11,10,352,0
2020-05-12,781,12,28,368,1
2020-05-13,829,12,48,362,0
2020-05-14,871,12,42,367,0
2020-05-15,921,13,50,381,1
2020-05-16,973,13,52,384,0
2020-05-17,1024,13,51,435,0
2020-05-18,1073,13,49,484,0
2020-05-19,1125,13,52,525,0
2020-05-20,1178,13,53,578,0
2020-05-21,1226,13,48,607,0
2020-05-22,1277,13,51,600,0
2020-05-23,1324,14,47,618,1
2020-05-24,1367,14,43,611,0
2020-05-25,1410,14,43,618,0
2020-05-26,1451,16,41,625,2
2020-05-27,1495,19,44,603,3
2020-05-28,1539,19,44,596,0
2020-05-29,1586,20,47,582,1
2020-05-30,1656,20,70,614,0
2020-05-31,1713,20,57,660,0
2020-06-01,1782,20,69,719,0
2020-06-02,1839,22,57,692,2
2020-06-03,1911,22,72,690,0
2020-06-04,1962,26,51,696,4
2020-06-05,2011,27,49,690,1
2020-06-06,2067,28,56,707,1
2020-06-07,2135,28,68,765,0
2020-06-08,2202,28,67,808,0
2020-06-09,2267,28,65,793,0
2020-06-10,2360,30,93,827,2
2020-06-11,2434,32,74,800,2
2020-06-12,2506,38,72,817,6
2020-06-13,2580,38,74,875,0
2020-06-14,2687,38,107,938,0
2020-06-15,2755,39,68,992,1
2020-06-16,2805,49,50,993,10
2020-06-17,2872,51,67,978,2
2020-06-18,2937,54,65,1006,3
2020-06-19,3001,62,64,930,8
2020-06-20,3069,63,68,929,1
2020-06-21,3136,66,67,973,3
2020-06-22,3202,66,66,1029,0
2020-06-23,3266,66,64,941,0
2020-06-24,3355,72,89,907,6
2020-06-25,3416,76,61,883,4
2020-06-26,3474,78,58,880,2
2020-06-27,3529,78,55,868,0
2020-06-28,3581,78,52,910,0
2020-06-29,3637,78,56,958,0
2020-06-30,3691,78,54,990,0
2020-07-01,3743,78,52,1015,0
2020-07-02,3801,78,58,1001,0
2020-07-03,3857,80,56,929,2
2020-07-04,3911,80,54,980,0
2020-07-05,3964,80,53,1029,0
2020-07-06,4017,85,53,1072,5
2020-07-07,4069,86,52,1093,1
2020-07-08,4155,91,86,1075,5
2020-07-09,4225,91,70,1026,0
2020-07-10,4282,91,57,972,0
2020-07-11,4342,95,60,1016,4
2020-07-12,4403,96,61,1063,1
2020-07-13,4474,96,71,1108,0
2020-07-14,4543,97,69,1056,1
2020-07-15,4618,97,75,1000,0
2020-07-16,4705,100,87,986,3
2020-07-17,4803,103,98,995,3
2020-07-18,4893,107,90,976,4
2020-07-19,4982,107,89,1047,0
2020-07-20,5069,108,87,1113,1
2020-07-21,5142,109,73,1091,1
2020-07-22,5211,113,69,1138,4
2020-07-23,5283,123,72,1193,10
2020-07-24,5354,131,71,1253,8
2020-07-25,5429,137,75,1313,6
2020-07-26,5502,137,73,1372,0
2020-07-27,5578,139,76,1435,2
2020-07-28,5651,141,73,1493,2
2020-07-29,5722,150,71,1511,9
2020-07-30,5794,150,72,1568,0
2020-07-31,5864,166,70,1597,16
2020-08-01,5933,166,69,1624,0
2020-08-02,6018,166,85,1676,0
2020-08-03,6088,166,70,1716,0
2020-08-04,6159,167,71,1744,1
2020-08-05,6227,169,68,1769,2
2020-08-06,6296,173,69,1789,4
2020-08-07,6368,175,72,1803,2
2020-08-08,6436,175,68,1823,0
2020-08-09,6505,175,69,1858,0
2020-08-10,6572,175,67,1889,0
2020-08-11,6637,177,65,1915,2
2020-08-12,6705,179,68,1937,2
2020-08-13,6777,182,72,1967,3
2020-08-14,6847,182,70,1996,0
2020-08-15,6915,184,68,2015,2
2020-08-16,6982,186,67,2051,2
2020-08-17,7047,188,65,2059,2
2020-08-18,7111,190,64,2116,2
2020-08-19,7172,192,61,2134,2
2020-08-20,7234,194,62,2146,2
2020-08-21,7292,196,58,2163,2
2020-08-22,7349,197,57,2175,1
2020-08-23,7409,198,60,2204,1
2020-08-24,7468,199,59,2236,1
2020-08-25,7523,202,55,2249,3
2020-08-26,7580,203,57,2266,1
2020-08-27,7638,206,58,2283,3
2020-08-28,7697,209,59,2302,3
2020-08-29,7753,211,56,2314,2
2020-08-30,7811,213,58,2333,2
2020-08-31,7866,215,55,2388,2
2020-09-01,7923,215,57,2386,0
2020-09-02,7983,215,60,2403,0
2020-09-03,8042,215,59,2419,0
2020-09-04,8102,217,60,2437,2
2020-09-05,8160,220,58,2448,3
2020-09-06,8219,221,59,2495,1
2020-09-07,8275,221,56,2514,0
2020-09-08,8335,224,60,2518,3
2020-09-09,8394,227,59,2546,3
2020-09-10,8454,230,60,2555,3
2020-09-11,8511,232,57,2578,2
2020-09-12,8570,234,59,2626,2
2020-09-13,8627,236,57,2631,2
2020-09-14,8685,238,58,2658,2
2020-09-15,8746,240,61,2677,2
2020-09-16,8810,242,64,2698,2
2020-09-17,8877,244,67,2722,2
2020-09-18,8944,246,67,2745,2
2020-09-19,9012,248,68,2768,2
2020-09-20,9083,250,71,2797,2
2020-09-21,9153,253,70,2827,3
2020-09-22,9225,255,72,2854,2
2020-09-23,9299,258,74,2882,3
2020-09-24,9374,261,75,2911,3
2020-09-25,9448,264,74,2940,3
2020-09-26,9523,269,75,2967,5
2020-09-27,9596,272,73,3000,3
2020-09-28,9671,274,75,3032,2
2020-09-29,9747,277,76,3062,3
2020-09-30,9827,279,80,3094,2
2020-10-01,9908,282,81,3125,3
2020-10-02,9991,285,83,3155,3
2020-10-03,10077,288,86,3187,3
2020-10-04,10161,290,84,3228,2
2020-10-05,10248,292,87,3275,2
2020-10-06,10336,297,88,3308,5
2020-10-07,10430,301,94,3349,4
2020-10-08,10525,305,95,3392,4
2020-10-09,10621,309,96,3427,4
2020-10-10,10719,314,98,3455,5
2020-10-11,10818,317,99,3485,3
