date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-24,2,0,2,2,0
2020-03-25,2,0,0,2,0
2020-03-26,2,0,0,2,0
2020-03-27,2,0,0,2,0
2020-03-28,2,0,0,2,0
2020-03-29,2,0,0,2,0
2020-03-30,2,0,0,2,0
2020-03-31,4,0,2,3,0
2020-04-01,5,0,1,4,0
2020-04-02,5,0,0,3,0
2020-04-03,7,1,2,5,1
2020-04-04,7,1,0,5,0
2020-04-05,7,1,0,5,0
2020-04-06,8,1,1,6,0
2020-04-07,8,2,0,6,1
2020-04-08,15,2,7,13,0
2020-04-09,20,2,5,18,0
2020-04-10,20,2,0,18,0
2020-04-11,23,2,3,21,0
2020-04-12,24,2,1,22,0
2020-04-13,28,2,4,26,0
2020-04-14,32,2,4,29,0
2020-04-15,36,2,4,33,0
2020-04-16,40,2,4,37,0
2020-04-17,49,2,9,46,0
2020-04-18,67,2,18,63,0
2020-04-19,80,2,13,76,0
2020-04-20,97,2,17,93,0
2020-04-21,104,2,7,97,0
2020-04-22,178,2,74,167,0
2020-04-23,185,2,7,172,0
2020-04-24,220,2,35,197,0
2020-04-25,254,2,34,222,0
2020-04-26,278,3,24,245,1
2020-04-27,302,3,24,269,0
2020-04-28,347,3,45,314,0
2020-04-29,367,3,20,334,0
2020-04-30,403,3,36,370,0
2020-05-01,430,4,27,371,1
2020-05-02,455,4,25,394,0
2020-05-03,494,4,39,428,0
2020-05-04,547,4,53,474,0
2020-05-05,635,7,88,530,3
2020-05-06,684,8,49,572,1
2020-05-07,727,10,43,597,2
2020-05-08,763,10,36,613,0
2020-05-09,808,10,45,627,0
2020-05-10,856,10,48,663,0
2020-05-11,907,10,51,694,0
2020-05-12,955,12,48,715,2
2020-05-13,1008,12,53,740,0
2020-05-14,1057,12,49,750,0
2020-05-15,1110,12,53,770,0
2020-05-16,1197,12,87,808,0
2020-05-17,1268,12,71,869,0
2020-05-18,1339,14,71,929,2
2020-05-19,1402,14,63,943,0
2020-05-20,1446,14,44,959,0
2020-05-21,1495,14,49,981,0
2020-05-22,1542,14,47,991,0
2020-05-23,1595,15,53,1011,1
2020-05-24,1646,15,51,1036,0
2020-05-25,1695,15,49,1078,0
2020-05-26,1735,17,40,1029,2
2020-05-27,1779,17,44,981,0
2020-05-28,1836,17,57,951,0
2020-05-29,1893,18,57,948,1
2020-05-30,1943,19,50,896,1
2020-05-31,1995,19,52,920,0
2020-06-01,2049,19,54,971,0
2020-06-02,2103,19,54,943,0
2020-06-03,2155,19,52,932,0
2020-06-04,2211,21,56,921,2
2020-06-05,2262,22,51,906,1
2020-06-06,2313,22,51,911,0
2020-06-07,2375,23,62,931,1
2020-06-08,2442,23,67,978,0
2020-06-09,2500,24,58,971,1
2020-06-10,2552,25,52,938,1
2020-06-11,2609,25,57,995,0
2020-06-12,2702,26,93,1068,1
2020-06-13,2787,26,85,1125,0
2020-06-14,2886,26,99,1202,0
2020-06-15,2977,26,91,1257,0
2020-06-16,3065,28,88,1291,2
2020-06-17,3169,29,104,1321,1
2020-06-18,3270,30,101,1375,1
2020-06-19,3373,32,103,1408,2
2020-06-20,3464,33,91,1450,1
2020-06-21,3553,33,89,1476,0
2020-06-22,3643,36,90,1541,3
2020-06-23,3728,37,85,1577,1
2020-06-24,3811,39,83,1544,2
2020-06-25,3895,40,84,1531,1
2020-06-26,3980,41,85,1506,1
2020-06-27,4063,41,83,1427,0
2020-06-28,4144,41,81,1489,0
2020-06-29,4226,42,82,1538,1
2020-06-30,4306,44,80,1561,2
2020-07-01,4383,46,77,1509,2
2020-07-02,4458,48,75,1554,2
2020-07-03,4533,49,75,1560,1
2020-07-04,4602,50,69,1538,1
2020-07-05,4667,51,65,1590,1
2020-07-06,4732,52,65,1655,1
2020-07-07,4792,54,60,1657,2
2020-07-08,4849,55,57,1576,1
2020-07-09,4904,56,55,1492,1
2020-07-10,4959,57,55,1450,1
2020-07-11,5010,58,51,1362,1
2020-07-12,5064,59,54,1387,1
2020-07-13,5118,59,54,1431,0
2020-07-14,5174,59,56,1334,0
2020-07-15,5236,60,62,1273,1
2020-07-16,5305,60,69,1291,0
2020-07-17,5380,61,75,1326,1
2020-07-18,5460,62,80,1355,1
2020-07-19,5548,63,88,1390,1
2020-07-20,5640,63,92,1454,0
2020-07-21,5734,65,94,1478,2
2020-07-22,5838,66,104,1488,1
2020-07-23,5948,67,110,1514,1
2020-07-24,6060,67,112,1535,0
2020-07-25,6170,68,110,1533,1
2020-07-26,6281,70,111,1551,2
2020-07-27,6390,70,109,1569,0
2020-07-28,6500,74,110,1547,4
2020-07-29,6608,77,108,1508,3
2020-07-30,6712,79,104,1543,2
2020-07-31,6816,81,104,1572,2
2020-08-01,6918,82,102,1594,1
2020-08-02,7019,84,101,1631,2
2020-08-03,7117,87,98,1661,3
2020-08-04,7216,87,99,1646,0
2020-08-05,7316,87,100,1616,0
2020-08-06,7414,88,98,1605,1
2020-08-07,7510,90,96,1622,2
2020-08-08,7607,90,97,1669,0
2020-08-09,7703,90,96,1695,0
2020-08-10,7797,92,94,1706,2
2020-08-11,7890,94,93,1701,2
2020-08-12,7981,95,91,1682,1
2020-08-13,8073,96,92,1659,1
2020-08-14,8164,96,91,1690,0
2020-08-15,8257,96,93,1682,0
2020-08-16,8348,97,91,1687,1
2020-08-17,8438,98,90,1717,1
2020-08-18,8527,99,89,1685,1
2020-08-19,8616,99,89,1695,0
2020-08-20,8703,99,87,1723,0
2020-08-21,8789,99,86,1734,0
2020-08-22,8875,99,86,1765,0
2020-08-23,8959,100,84,1791,1
2020-08-24,9042,100,83,1820,0
2020-08-25,9123,101,81,1873,1
2020-08-26,9202,101,79,1789,0
2020-08-27,9284,101,82,1815,0
2020-08-28,9364,101,80,1800,0
2020-08-29,9442,103,78,1757,2
2020-08-30,9524,103,82,1767,0
2020-08-31,9603,103,79,1792,0
2020-09-01,9681,104,78,1721,1
2020-09-02,9759,105,78,1713,1
2020-09-03,9836,105,77,1699,0
2020-09-04,9910,107,74,1678,2
2020-09-05,9988,107,78,1677,0
2020-09-06,10064,107,76,1683,0
2020-09-07,10137,107,73,1704,0
2020-09-08,10212,108,75,1656,1
2020-09-09,10284,109,72,1654,1
2020-09-10,10354,109,70,1669,0
2020-09-11,10422,109,68,1656,0
2020-09-12,10493,109,71,1626,0
2020-09-13,10564,109,71,1646,0
2020-09-14,10633,109,69,1657,0
2020-09-15,10701,110,68,1615,1
2020-09-16,10771,111,70,1570,1
2020-09-17,10839,112,68,1563,1
2020-09-18,10910,112,71,1564,0
2020-09-19,10985,113,75,1566,1
2020-09-20,11055,113,70,1549,0
2020-09-21,11126,115,71,1567,2
2020-09-22,11194,115,68,1531,0
2020-09-23,11262,115,68,1533,0
2020-09-24,11332,115,70,1499,0
2020-09-25,11401,116,69,1515,1
2020-09-26,11472,116,71,1528,0
2020-09-27,11540,118,68,1550,2
2020-09-28,11609,118,69,1595,0
2020-09-29,11679,118,70,1556,0
2020-09-30,11752,118,73,1542,0
2020-10-01,11823,119,71,1584,1
2020-10-02,11898,119,75,1626,0
2020-10-03,11970,119,72,1637,0
2020-10-04,12044,119,74,1670,0
2020-10-05,12123,120,79,1721,1
2020-10-06,12204,120,81,1713,0
2020-10-07,12284,120,80,1732,0
2020-10-08,12367,122,83,1773,2
2020-10-09,12448,122,81,1802,0
2020-10-10,12532,122,84,1833,0
2020-10-11,12621,122,89,1863,0
