date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-25T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-26T00:00:00.000Z,2,0,1.0,2,0.0
2020-03-27T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-28T00:00:00.000Z,8,0,6.0,8,0.0
2020-03-29T00:00:00.000Z,8,0,0.0,8,0.0
2020-03-30T00:00:00.000Z,13,0,5.0,13,0.0
2020-03-31T00:00:00.000Z,19,0,6.0,19,0.0
2020-04-01T00:00:00.000Z,25,0,6.0,25,0.0
2020-04-02T00:00:00.000Z,30,0,5.0,30,0.0
2020-04-03T00:00:00.000Z,31,0,1.0,31,0.0
2020-04-04T00:00:00.000Z,35,0,4.0,35,0.0
2020-04-05T00:00:00.000Z,35,0,0.0,35,0.0
2020-04-06T00:00:00.000Z,43,0,8.0,43,0.0
2020-04-07T00:00:00.000Z,50,1,7.0,50,1.0
2020-04-08T00:00:00.000Z,54,1,4.0,54,0.0
2020-04-09T00:00:00.000Z,60,1,6.0,51,0.0
2020-04-10T00:00:00.000Z,61,1,1.0,49,0.0
2020-04-11T00:00:00.000Z,73,1,12.0,59,0.0
2020-04-12T00:00:00.000Z,77,1,4.0,62,0.0
2020-04-13T00:00:00.000Z,86,1,9.0,69,0.0
2020-04-14T00:00:00.000Z,92,1,6.0,70,0.0
2020-04-15T00:00:00.000Z,100,2,8.0,77,1.0
2020-04-16T00:00:00.000Z,103,2,3.0,79,0.0
2020-04-17T00:00:00.000Z,112,2,9.0,86,0.0
2020-04-18T00:00:00.000Z,115,2,3.0,81,0.0
2020-04-19T00:00:00.000Z,120,2,5.0,83,0.0
2020-04-20T00:00:00.000Z,125,2,5.0,87,0.0
2020-04-21T00:00:00.000Z,153,2,28.0,110,0.0
2020-04-22T00:00:00.000Z,163,2,10.0,114,0.0
2020-04-23T00:00:00.000Z,167,2,4.0,112,0.0
2020-04-24T00:00:00.000Z,180,2,13.0,118,0.0
2020-04-25T00:00:00.000Z,186,2,6.0,119,0.0
2020-04-26T00:00:00.000Z,209,2,23.0,140,0.0
2020-04-27T00:00:00.000Z,227,2,18.0,157,0.0
2020-04-28T00:00:00.000Z,245,3,18.0,168,1.0
2020-04-29T00:00:00.000Z,271,4,26.0,188,1.0
2020-04-30T00:00:00.000Z,297,4,26.0,209,0.0
2020-05-01T00:00:00.000Z,325,4,28.0,231,0.0
2020-05-02T00:00:00.000Z,355,4,30.0,257,0.0
2020-05-03T00:00:00.000Z,373,4,18.0,271,0.0
2020-05-04T00:00:00.000Z,407,4,34.0,302,0.0
2020-05-05T00:00:00.000Z,450,4,43.0,325,0.0
2020-05-06T00:00:00.000Z,499,4,49.0,366,0.0
2020-05-07T00:00:00.000Z,518,4,19.0,374,0.0
2020-05-08T00:00:00.000Z,548,4,30.0,386,0.0
2020-05-09T00:00:00.000Z,570,5,22.0,399,1.0
2020-05-10T00:00:00.000Z,620,5,50.0,443,0.0
2020-05-11T00:00:00.000Z,659,5,39.0,468,0.0
2020-05-12T00:00:00.000Z,687,5,28.0,486,0.0
2020-05-13T00:00:00.000Z,736,5,49.0,499,0.0
2020-05-14T00:00:00.000Z,824,6,88.0,568,1.0
2020-05-15T00:00:00.000Z,865,6,41.0,588,0.0
2020-05-16T00:00:00.000Z,892,6,27.0,590,0.0
2020-05-17T00:00:00.000Z,948,6,56.0,610,0.0
2020-05-18T00:00:00.000Z,973,6,25.0,612,0.0
2020-05-19T00:00:00.000Z,1015,6,42.0,626,0.0
2020-05-20T00:00:00.000Z,1015,6,0.0,612,0.0
2020-05-21T00:00:00.000Z,1090,6,75.0,646,0.0
2020-05-22T00:00:00.000Z,1124,6,34.0,644,0.0
2020-05-23T00:00:00.000Z,1143,6,19.0,611,0.0
2020-05-24T00:00:00.000Z,1209,7,66.0,651,1.0
2020-05-25T00:00:00.000Z,1254,7,45.0,683,0.0
2020-05-26T00:00:00.000Z,1313,8,59.0,695,1.0
2020-05-27T00:00:00.000Z,1364,9,51.0,720,1.0
2020-05-28T00:00:00.000Z,1411,10,47.0,717,1.0
2020-05-29T00:00:00.000Z,1438,10,27.0,697,0.0
2020-05-30T00:00:00.000Z,1467,10,29.0,673,0.0
2020-05-31T00:00:00.000Z,1467,10,0.0,671,0.0
