,date,confirmed,cured,deaths
0,2020-03-21T00:00:00.000Z,1,0,0
1,2020-03-22T00:00:00.000Z,1,0,0
2,2020-03-23T00:00:00.000Z,1,0,0
3,2020-03-24T00:00:00.000Z,7,0,0
4,2020-03-25T00:00:00.000Z,7,0,0
5,2020-03-26T00:00:00.000Z,7,0,0
6,2020-03-27T00:00:00.000Z,19,0,0
7,2020-03-28T00:00:00.000Z,15,0,0
8,2020-03-29T00:00:00.000Z,15,0,0
9,2020-03-30T00:00:00.000Z,15,0,0
10,2020-03-31T00:00:00.000Z,16,0,0
11,2020-04-01T00:00:00.000Z,16,0,0
12,2020-04-02T00:00:00.000Z,16,1,0
13,2020-04-03T00:00:00.000Z,18,1,0
14,2020-04-04T00:00:00.000Z,18,3,0
15,2020-04-05T00:00:00.000Z,20,3,0
16,2020-04-06T00:00:00.000Z,21,6,0
17,2020-04-07T00:00:00.000Z,22,6,0
18,2020-04-08T00:00:00.000Z,23,6,0
19,2020-04-09T00:00:00.000Z,26,7,0
20,2020-04-10T00:00:00.000Z,29,7,0
21,2020-04-11T00:00:00.000Z,29,7,0
22,2020-04-12T00:00:00.000Z,31,12,0
23,2020-04-13T00:00:00.000Z,32,12,0
24,2020-04-14T00:00:00.000Z,32,12,0
25,2020-04-15T00:00:00.000Z,34,12,0
26,2020-04-16T00:00:00.000Z,37,14,0
27,2020-04-17T00:00:00.000Z,40,14,0
28,2020-04-18T00:00:00.000Z,43,21,0
29,2020-04-19T00:00:00.000Z,45,22,0
30,2020-04-20T00:00:00.000Z,45,22,0
31,2020-04-21T00:00:00.000Z,46,22,0
32,2020-04-22T00:00:00.000Z,46,23,0
33,2020-04-23T00:00:00.000Z,51,23,0
34,2020-04-24T00:00:00.000Z,53,29,0
35,2020-04-25T00:00:00.000Z,57,29,0
36,2020-04-26T00:00:00.000Z,67,29,0
37,2020-04-27T00:00:00.000Z,69,29,0
38,2020-04-28T00:00:00.000Z,70,29,0
39,2020-04-29T00:00:00.000Z,79,34,0
40,2020-04-30T00:00:00.000Z,89,35,0
41,2020-05-01T00:00:00.000Z,92,35,0
42,2020-05-02T00:00:00.000Z,100,38,0
43,2020-05-03T00:00:00.000Z,104,38,0
44,2020-05-04T00:00:00.000Z,105,39,0
45,2020-05-05T00:00:00.000Z,128,40,0
46,2020-05-06T00:00:00.000Z,160,41,0
47,2020-05-07T00:00:00.000Z,160,44,1
48,2020-05-08T00:00:00.000Z,177,44,1
49,2020-05-09T00:00:00.000Z,177,57,2
50,2020-05-10T00:00:00.000Z,189,64,2
51,2020-05-11T00:00:00.000Z,202,64,2
52,2020-05-12T00:00:00.000Z,202,64,2
53,2020-05-13T00:00:00.000Z,209,81,2
54,2020-05-14T00:00:00.000Z,239,86,2
55,2020-05-15T00:00:00.000Z,245,89,2
56,2020-05-16T00:00:00.000Z,258,103,2
