date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-27,1,0,1,1,0
2020-03-28,1,0,0,1,0
2020-03-29,1,0,0,1,0
2020-03-30,4,0,3,4,0
2020-03-31,13,0,9,13,0
2020-04-01,15,0,2,15,0
2020-04-02,25,0,10,25,0
2020-04-03,25,0,0,25,0
2020-04-04,25,0,0,25,0
2020-04-05,25,0,0,25,0
2020-04-06,30,0,5,26,0
2020-04-07,43,0,13,39,0
2020-04-08,44,0,1,40,0
2020-04-09,57,0,13,53,0
2020-04-10,58,0,1,54,0
2020-04-11,84,0,26,80,0
2020-04-12,84,0,0,75,0
2020-04-13,84,0,0,75,0
2020-04-14,100,0,16,91,0
2020-04-15,105,3,5,96,3
2020-04-16,154,6,49,145,3
2020-04-17,213,9,59,204,3
2020-04-18,257,9,44,229,0
2020-04-19,292,9,35,264,0
2020-04-20,331,9,39,303,0
2020-04-21,371,11,40,328,2
2020-04-22,417,11,46,374,0
2020-04-23,454,11,37,411,0
2020-04-24,567,11,113,524,0
2020-04-25,724,11,157,681,0
2020-04-26,827,11,103,779,0
2020-04-27,994,11,167,946,0
2020-04-28,1147,11,153,1071,0
2020-04-29,1231,12,84,1143,1
2020-04-30,1389,12,158,1277,0
2020-05-01,1553,12,164,1439,0
2020-05-02,1662,12,109,1492,0
2020-05-03,1798,13,136,1615,1
2020-05-04,1958,13,160,1732,0
2020-05-05,2086,14,128,1761,1
2020-05-06,2267,15,181,1911,1
2020-05-07,2372,16,105,1981,1
2020-05-08,2468,17,96,1960,1
2020-05-09,2560,18,92,1881,1
2020-05-10,2653,18,93,1881,0
2020-05-11,2772,20,119,1804,2
2020-05-12,2888,23,116,1880,3
2020-05-13,2997,26,109,1890,3
2020-05-14,3095,26,98,1777,0
2020-05-15,3192,27,97,1702,1
2020-05-16,3280,27,88,1710,0
2020-05-17,3371,29,91,1666,2
2020-05-18,3460,29,89,1653,0
2020-05-19,3553,32,93,1550,3
2020-05-20,3643,36,90,1377,4
2020-05-21,3746,41,103,1257,5
2020-05-22,3855,65,109,973,24
2020-05-23,3982,70,127,980,5
2020-05-24,4095,84,113,828,14
2020-05-25,4205,97,110,852,13
2020-05-26,4294,118,89,485,21
2020-05-27,4455,130,161,294,12
2020-05-28,4579,151,124,177,21
2020-05-29,4704,201,125,292,50
2020-05-30,4830,226,126,408,25
2020-05-31,4955,235,125,528,9
2020-06-01,5096,260,141,654,25
2020-06-02,5228,271,132,771,11
2020-06-03,5341,287,113,864,16
2020-06-04,5463,287,122,966,0
2020-06-05,5587,288,124,1067,1
2020-06-06,5743,298,156,1206,10
2020-06-07,5858,303,115,1296,5
2020-06-08,5970,308,112,1383,5
2020-06-09,6077,309,107,1466,1
2020-06-10,6175,309,98,1539,0
2020-06-11,6272,309,97,1610,0
2020-06-12,6367,309,95,1679,0
2020-06-13,6463,313,96,1753,4
2020-06-14,6557,316,94,1826,3
2020-06-15,6652,319,95,1898,3
2020-06-16,6745,328,93,1965,9
2020-06-17,6837,335,92,2035,7
2020-06-18,6927,338,90,2103,3
2020-06-19,7015,341,88,2161,3
2020-06-20,7103,344,88,2198,3
2020-06-21,7188,348,85,2252,4
2020-06-22,7267,351,79,2311,3
2020-06-23,7340,357,73,2343,6
2020-06-24,7415,360,75,1950,3
2020-06-25,7488,364,73,2020,4
2020-06-26,7561,367,73,2070,3
2020-06-27,7636,369,75,2111,2
2020-06-28,7707,371,71,2092,2
2020-06-29,7775,373,68,2093,2
2020-06-30,7840,374,65,2065,1
2020-07-01,7905,380,65,2081,6
2020-07-02,7968,383,63,2066,3
2020-07-03,8025,386,57,2028,3
2020-07-04,8080,389,55,2013,3
2020-07-05,8132,391,52,2008,2
2020-07-06,8184,393,52,1997,2
2020-07-07,8232,397,48,1959,4
2020-07-08,8280,400,48,1926,3
2020-07-09,8327,404,47,1859,4
2020-07-10,8374,407,47,1803,3
2020-07-11,8422,410,48,1752,3
2020-07-12,8468,413,46,1707,3
2020-07-13,8514,415,46,1665,2
2020-07-14,8560,417,46,1629,2
2020-07-15,8602,419,42,1583,2
2020-07-16,8647,419,45,1497,0
2020-07-17,8691,422,44,1453,3
2020-07-18,8735,424,44,1364,2
2020-07-19,8778,426,43,1311,2
2020-07-20,8819,427,41,1265,1
2020-07-21,8860,428,41,1222,1
2020-07-22,8901,430,41,1174,2
2020-07-23,8941,431,40,1135,1
2020-07-24,8981,433,40,1124,2
2020-07-25,9021,436,40,1113,3
2020-07-26,9062,439,41,1091,3
2020-07-27,9103,442,41,1074,3
2020-07-28,9143,442,40,1092,0
2020-07-29,9183,444,40,1072,2
2020-07-30,9223,445,40,1049,1
