date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-30,1,0,1,1,0
2020-03-31,2,0,1,2,0
2020-04-01,2,0,0,2,0
2020-04-02,2,0,0,2,0
2020-04-03,7,0,5,7,0
2020-04-04,7,0,0,7,0
2020-04-05,7,0,0,7,0
2020-04-06,7,0,0,7,0
2020-04-07,11,0,4,11,0
2020-04-08,15,0,4,13,0
2020-04-09,23,0,8,18,0
2020-04-10,23,0,0,18,0
2020-04-11,32,0,9,27,0
2020-04-12,32,0,0,27,0
2020-04-13,32,0,0,27,0
2020-04-14,32,0,0,23,0
2020-04-15,35,2,3,26,2
2020-04-16,36,2,1,27,0
2020-04-17,53,3,17,44,1
2020-04-18,67,3,14,58,0
2020-04-19,74,3,7,65,0
2020-04-20,77,3,3,68,0
2020-04-21,77,3,0,68,0
2020-04-22,88,3,11,76,0
2020-04-23,94,3,6,80,0
2020-04-24,104,3,10,88,0
2020-04-25,122,3,18,103,0
2020-04-26,146,3,24,127,0
2020-04-27,158,3,12,139,0
2020-04-28,167,3,9,143,0
2020-04-29,183,3,16,146,0
2020-04-30,192,3,9,154,0
2020-05-01,231,3,39,192,0
2020-05-02,254,4,23,213,1
2020-05-03,283,5,29,230,1
2020-05-04,321,5,38,268,0
2020-05-05,322,5,1,269,0
2020-05-06,351,5,29,297,0
2020-05-07,379,5,28,310,0
2020-05-08,405,5,26,311,0
2020-05-09,455,5,50,353,0
2020-05-10,473,6,18,368,1
2020-05-11,494,6,21,365,0
2020-05-12,497,6,3,351,0
2020-05-13,532,6,35,364,0
2020-05-14,567,6,35,384,0
2020-05-15,618,6,51,423,0
2020-05-16,655,8,37,444,2
2020-05-17,693,8,38,465,0
2020-05-18,721,8,28,471,0
2020-05-19,721,8,0,463,0
2020-05-20,744,10,23,482,2
2020-05-21,776,10,32,493,0
2020-05-22,810,11,34,488,1
2020-05-23,856,11,46,512,0
2020-05-24,879,11,23,529,0
2020-05-25,903,11,24,549,0
2020-05-26,903,12,0,520,1
2020-05-27,944,12,41,543,0
2020-05-28,973,12,29,542,0
2020-05-29,999,14,26,549,2
2020-05-30,1019,14,20,542,0
2020-05-31,1054,15,35,570,1
2020-06-01,1074,15,20,564,0
2020-06-02,1085,15,11,567,0
2020-06-03,1108,16,23,552,1
2020-06-04,1127,16,19,550,0
2020-06-05,1136,16,9,527,0
2020-06-06,1149,16,13,535,0
2020-06-07,1168,16,19,544,0
2020-06-08,1179,16,11,548,0
2020-06-09,1180,16,1,483,0
2020-06-10,1203,16,23,469,0
2020-06-11,1215,16,12,464,0
2020-06-12,1233,18,18,457,2
2020-06-13,1247,18,14,443,0
2020-06-14,1263,18,16,442,0
2020-06-15,1272,18,9,432,0
2020-06-16,1272,18,0,404,0
2020-06-17,1288,18,16,398,0
2020-06-18,1292,18,4,388,0
2020-06-19,1300,18,8,380,0
2020-06-20,1314,18,14,382,0
2020-06-21,1327,18,13,387,0
2020-06-22,1339,18,12,397,0
2020-06-23,1340,18,1,384,0
2020-06-24,1362,21,22,366,3
2020-06-25,1392,21,30,378,0
2020-06-26,1410,21,18,379,0
2020-06-27,1442,22,32,401,1
2020-06-28,1462,22,20,421,0
2020-06-29,1481,23,19,440,1
2020-06-30,1483,23,2,429,0
2020-07-01,1523,23,40,456,0
2020-07-02,1717,23,194,642,0
2020-07-03,1839,24,122,757,1
2020-07-04,1878,25,39,781,1
2020-07-05,1915,25,37,805,0
2020-07-06,1947,26,32,829,1
2020-07-07,1947,26,0,804,0
2020-07-08,1987,26,40,811,0
2020-07-09,2028,26,41,820,0
2020-07-10,2073,27,45,848,1
2020-07-11,2107,27,34,872,0
2020-07-12,2149,27,42,906,0
2020-07-13,2182,27,33,927,0
2020-07-14,2182,27,0,888,0
2020-07-15,2220,27,38,908,0
2020-07-16,2275,27,55,945,0
2020-07-17,2315,30,40,976,3
2020-07-18,2346,33,31,928,3
2020-07-19,2363,34,17,933,1
2020-07-20,2371,34,8,901,0
2020-07-21,2371,34,0,876,0
2020-07-22,2405,34,34,893,0
2020-07-23,2410,34,5,824,0
2020-07-24,2439,36,29,810,2
2020-07-25,2476,37,37,807,1
2020-07-26,2495,37,19,823,0
2020-07-27,2510,37,15,751,0
2020-07-28,2512,37,2,727,0
2020-07-29,2561,37,49,741,0
2020-07-30,2589,38,28,706,1
2020-07-31,2621,38,32,676,0
2020-08-01,2640,38,19,660,0
2020-08-02,2659,38,19,657,0
2020-08-03,2705,38,46,691,0
2020-08-04,2725,40,20,661,2
2020-08-05,2788,40,63,716,0
2020-08-06,2839,41,51,739,1
2020-08-07,2897,42,58,754,1
2020-08-08,2952,42,55,799,0
2020-08-09,3005,42,53,844,0
2020-08-10,3047,42,42,882,0
2020-08-11,3052,42,5,866,0
2020-08-12,3121,42,69,899,0
2020-08-13,3173,42,52,935,0
2020-08-14,3237,42,64,932,0
2020-08-15,3289,42,52,964,0
2020-08-16,3360,42,71,1021,0
2020-08-17,3407,42,47,1052,0
2020-08-18,3413,43,6,1053,1
2020-08-19,3472,46,59,1070,3
2020-08-20,3530,48,58,1124,2
2020-08-21,3600,48,70,1175,0
2020-08-22,3669,48,69,1196,0
2020-08-23,3721,48,52,1238,0
2020-08-24,3775,48,54,1280,0
2020-08-25,3784,48,9,1250,0
2020-08-26,3856,50,72,1276,2
2020-08-27,3913,52,57,1321,2
2020-08-28,3981,55,68,1367,3
2020-08-29,4054,56,73,1403,1
2020-08-30,4137,56,83,1466,0
2020-08-31,4269,56,132,1598,0
2020-09-01,4326,56,57,1607,0
2020-09-02,4411,56,85,1667,0
2020-09-03,4490,56,79,1711,0
2020-09-04,4573,56,83,1771,0
2020-09-05,4655,56,82,1770,0
2020-09-06,4740,56,85,1843,0
2020-09-07,4823,56,83,1920,0
2020-09-08,4882,59,59,1925,3
2020-09-09,4966,61,84,1989,2
2020-09-10,5056,62,90,2012,1
2020-09-11,5159,65,103,2109,3
2020-09-12,5247,65,88,2107,0
2020-09-13,5315,65,68,2138,0
2020-09-14,5378,65,63,2193,0
2020-09-15,5451,65,73,2199,0
2020-09-16,5488,65,37,2223,0
2020-09-17,5551,65,63,2262,0
2020-09-18,5612,65,61,2307,0
2020-09-19,5681,65,69,2349,0
2020-09-20,5750,65,69,2413,0
2020-09-21,5823,65,73,2478,0
2020-09-22,5885,67,62,2511,2
2020-09-23,5954,69,69,2489,2
2020-09-24,6021,69,67,2469,0
2020-09-25,6090,69,69,2526,0
2020-09-26,6162,71,72,2513,2
2020-09-27,6232,71,70,2570,0
2020-09-28,6300,71,68,2622,0
2020-09-29,6359,71,59,2540,0
2020-09-30,6424,71,65,2592,0
2020-10-01,6503,73,79,2586,2
2020-10-02,6578,75,75,2595,2
2020-10-03,6657,75,79,2671,0
2020-10-04,6735,75,78,2728,0
2020-10-05,6811,75,76,2780,0
2020-10-06,6888,77,77,2816,2
2020-10-07,6965,77,77,2783,0
2020-10-08,7041,77,76,2797,0
2020-10-09,7119,77,78,2788,0
2020-10-10,7196,79,77,2785,2
2020-10-11,7279,79,83,2783,0
