date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-27T00:00:00.000Z,2,0,2.0,2,0.0
2020-03-28T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-29T00:00:00.000Z,3,0,1.0,3,0.0
2020-03-30T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-31T00:00:00.000Z,3,0,0.0,3,0.0
2020-04-01T00:00:00.000Z,4,0,1.0,4,0.0
2020-04-02T00:00:00.000Z,4,0,0.0,4,0.0
2020-04-03T00:00:00.000Z,4,0,0.0,4,0.0
2020-04-04T00:00:00.000Z,5,0,1.0,2,0.0
2020-04-05T00:00:00.000Z,5,0,0.0,2,0.0
2020-04-06T00:00:00.000Z,6,0,1.0,3,0.0
2020-04-07T00:00:00.000Z,6,0,0.0,3,0.0
2020-04-08T00:00:00.000Z,13,0,7.0,10,0.0
2020-04-09T00:00:00.000Z,17,0,4.0,14,0.0
2020-04-10T00:00:00.000Z,19,0,2.0,16,0.0
2020-04-11T00:00:00.000Z,19,0,0.0,15,0.0
2020-04-12T00:00:00.000Z,42,0,23.0,38,0.0
2020-04-13T00:00:00.000Z,58,0,16.0,54,0.0
2020-04-14T00:00:00.000Z,71,0,13.0,67,0.0
2020-04-15T00:00:00.000Z,71,0,0.0,66,0.0
2020-04-16T00:00:00.000Z,71,1,0.0,66,1.0
2020-04-17T00:00:00.000Z,136,1,65.0,131,0.0
2020-04-18T00:00:00.000Z,198,1,62.0,193,0.0
2020-04-19T00:00:00.000Z,258,1,60.0,253,0.0
2020-04-20T00:00:00.000Z,293,1,35.0,288,0.0
2020-04-21T00:00:00.000Z,327,1,34.0,316,0.0
2020-04-22T00:00:00.000Z,357,1,30.0,346,0.0
2020-04-23T00:00:00.000Z,385,1,28.0,372,0.0
2020-04-24T00:00:00.000Z,424,2,39.0,406,1.0
2020-04-25T00:00:00.000Z,469,2,45.0,433,0.0
2020-04-26T00:00:00.000Z,518,2,49.0,482,0.0
2020-04-27T00:00:00.000Z,560,2,42.0,524,0.0
2020-04-28T00:00:00.000Z,592,2,32.0,550,0.0
2020-04-29T00:00:00.000Z,659,3,67.0,610,1.0
2020-04-30T00:00:00.000Z,698,3,39.0,626,0.0
2020-05-01T00:00:00.000Z,728,3,30.0,642,0.0
2020-05-02T00:00:00.000Z,765,3,37.0,671,0.0
2020-05-03T00:00:00.000Z,808,3,43.0,711,0.0
2020-05-04T00:00:00.000Z,867,4,59.0,769,1.0
2020-05-05T00:00:00.000Z,923,5,56.0,802,1.0
2020-05-06T00:00:00.000Z,977,5,54.0,837,0.0
2020-05-07T00:00:00.000Z,1018,6,41.0,873,1.0
2020-05-08T00:00:00.000Z,1055,8,37.0,895,2.0
2020-05-09T00:00:00.000Z,1102,8,47.0,905,0.0
2020-05-10T00:00:00.000Z,1148,8,46.0,932,0.0
2020-05-11T00:00:00.000Z,1190,8,42.0,953,0.0
2020-05-12T00:00:00.000Z,1225,8,35.0,988,0.0
2020-05-13T00:00:00.000Z,1262,9,37.0,1010,1.0
2020-05-14T00:00:00.000Z,1296,9,34.0,984,0.0
2020-05-15T00:00:00.000Z,1323,9,27.0,973,0.0
2020-05-16T00:00:00.000Z,1348,9,25.0,991,0.0
2020-05-17T00:00:00.000Z,1376,9,28.0,964,0.0
2020-05-18T00:00:00.000Z,1409,9,33.0,991,0.0
2020-05-19T00:00:00.000Z,1443,9,34.0,1009,0.0
2020-05-20T00:00:00.000Z,1477,9,34.0,1014,0.0
2020-05-21T00:00:00.000Z,1512,9,35.0,1034,0.0
2020-05-22T00:00:00.000Z,1548,11,36.0,1055,2.0
2020-05-23T00:00:00.000Z,1580,12,32.0,1049,1.0
2020-05-24T00:00:00.000Z,1612,12,32.0,1070,0.0
2020-05-25T00:00:00.000Z,1646,12,34.0,1104,0.0
2020-05-26T00:00:00.000Z,1684,12,38.0,1131,0.0
2020-05-27T00:00:00.000Z,1727,12,43.0,1159,0.0
2020-05-28T00:00:00.000Z,1776,12,49.0,1140,0.0
2020-05-29T00:00:00.000Z,1820,12,44.0,1082,0.0
2020-05-30T00:00:00.000Z,1860,12,40.0,1083,0.0
2020-05-31T00:00:00.000Z,1895,12,35.0,1096,0.0
2020-06-01T00:00:00.000Z,1931,12,36.0,1104,0.0
2020-06-02T00:00:00.000Z,1970,13,39.0,1072,1.0
2020-06-03T00:00:00.000Z,2012,14,42.0,1058,1.0
2020-06-04T00:00:00.000Z,2051,14,39.0,1035,0.0
2020-06-05T00:00:00.000Z,2098,15,47.0,1034,1.0
2020-06-06T00:00:00.000Z,2138,18,40.0,1027,3.0
2020-06-07T00:00:00.000Z,2185,18,47.0,1062,0.0
2020-06-08T00:00:00.000Z,2230,18,45.0,1075,0.0
2020-06-09T00:00:00.000Z,2296,18,66.0,1105,0.0
2020-06-10T00:00:00.000Z,2360,18,64.0,1135,0.0
2020-06-11T00:00:00.000Z,2418,20,58.0,1121,2.0
2020-06-12T00:00:00.000Z,2480,20,62.0,1153,0.0
2020-06-13T00:00:00.000Z,2538,20,58.0,1187,0.0
2020-06-14T00:00:00.000Z,2596,21,58.0,1126,1.0
2020-06-15T00:00:00.000Z,2652,21,56.0,1181,0.0
2020-06-16T00:00:00.000Z,2707,22,55.0,1027,1.0
2020-06-17T00:00:00.000Z,2762,22,55.0,1065,0.0
2020-06-18T00:00:00.000Z,2818,22,56.0,1063,0.0
2020-06-19T00:00:00.000Z,2874,23,56.0,1062,1.0
2020-06-20T00:00:00.000Z,2931,23,57.0,1114,0.0
2020-06-21T00:00:00.000Z,2986,23,55.0,1128,0.0
2020-06-22T00:00:00.000Z,3040,23,54.0,1178,0.0
2020-06-23T00:00:00.000Z,3094,24,54.0,1179,1.0
2020-06-24T00:00:00.000Z,3143,24,49.0,1136,0.0
2020-06-25T00:00:00.000Z,3192,24,49.0,1163,0.0
2020-06-26T00:00:00.000Z,3240,25,48.0,1157,1.0
2020-06-27T00:00:00.000Z,3284,26,44.0,1178,1.0
2020-06-28T00:00:00.000Z,3324,26,40.0,1205,0.0
2020-06-29T00:00:00.000Z,3359,26,35.0,1201,0.0
2020-06-30T00:00:00.000Z,3394,26,35.0,1194,0.0
2020-07-01T00:00:00.000Z,3431,27,37.0,1181,1.0
2020-07-02T00:00:00.000Z,3467,27,36.0,1164,0.0
2020-07-03T00:00:00.000Z,3505,27,38.0,1135,0.0
2020-07-04T00:00:00.000Z,3542,27,37.0,1145,0.0
2020-07-05T00:00:00.000Z,3577,27,35.0,1169,0.0
2020-07-06T00:00:00.000Z,3611,27,34.0,1174,0.0
2020-07-07T00:00:00.000Z,3646,27,35.0,1151,0.0
2020-07-08T00:00:00.000Z,3680,27,34.0,1121,0.0
2020-07-09T00:00:00.000Z,3717,28,37.0,1112,1.0
2020-07-10T00:00:00.000Z,3755,28,38.0,1095,0.0
2020-07-11T00:00:00.000Z,3792,28,37.0,1084,0.0
2020-07-12T00:00:00.000Z,3829,29,37.0,1088,1.0
2020-07-13T00:00:00.000Z,3865,29,36.0,1110,0.0
2020-07-14T00:00:00.000Z,3901,29,36.0,1102,0.0
2020-07-15T00:00:00.000Z,3938,29,37.0,1091,0.0
2020-07-16T00:00:00.000Z,3976,30,38.0,1089,1.0
2020-07-17T00:00:00.000Z,4014,30,38.0,1088,0.0
2020-07-18T00:00:00.000Z,4051,32,37.0,1101,2.0
