date,total_cases,cured,total_deaths
2020-03-25,1,0,0
2020-03-26,1,0,0
2020-03-27,2,0,0
2020-03-28,2,0,0
2020-03-29,2,0,0
2020-03-30,2,0,0
2020-03-31,5,0,0
2020-04-01,5,0,0
2020-04-02,9,0,0
2020-04-03,9,0,0
2020-04-04,9,0,0
2020-04-05,9,0,0
2020-04-06,9,0,0
2020-04-07,17,0,0
2020-04-08,21,0,0
2020-04-09,24,1,0
2020-04-10,29,2,0
2020-04-11,38,4,0
2020-04-12,52,4,0
2020-04-13,78,5,0
2020-04-14,98,5,0
2020-04-15,104,8,0
2020-04-16,145,8,0
2020-04-17,168,10,0
2020-04-18,197,12,0
2020-04-19,232,13,0
2020-04-20,292,13,0
2020-04-21,346,13,0
2020-04-22,398,15,0
2020-04-23,469,18,0
2020-04-24,533,18,0
2020-04-25,584,18,0
2020-04-26,649,37,1
2020-04-27,714,40,2
2020-04-28,778,89,2
2020-04-29,864,89,3
2020-04-30,943,89,6
2020-05-01,1026,98,9
2020-05-02,1106,101,9
2020-05-03,1178,112,9
2020-05-04,1263,123,10
2020-05-05,1353,147,11
2020-05-06,1434,168,12
2020-05-07,1514,195,12
2020-05-08,1594,262,16
2020-05-09,1674,338,19
2020-05-10,1763,388,21
2020-05-11,1851,407,22
2020-05-12,1946,455,24
2020-05-13,2033,506,25
2020-05-14,2111,578,25
2020-05-15,2200,629,25
2020-05-16,2312,719,28
2020-05-17,2427,797,31
2020-05-18,2514,809,31
2020-05-19,2645,874,31
2020-05-20,2784,989,33
2020-05-21,2926,1071,33
2020-05-22,3064,1111,34
2020-05-23,3417,1200,34
2020-05-24,3569,1251,34
2020-05-25,3727,1281,34
2020-05-26,3930,1354,34
2020-05-27,4133,1441,34
2020-05-28,4287,1529,35
2020-05-29,4428,1590,36
2020-05-30,4580,1672,38
2020-05-31,4758,1717,38
2020-06-01,4942,1742,38
2020-06-02,5195,1834,40
2020-06-03,5373,1950,40
2020-06-04,5557,2049,43
2020-06-05,5753,2157,43
2020-06-06,5965,2245,46
2020-06-07,6166,2310,47
2020-06-08,6355,2343,48
2020-06-09,6542,2469,51
2020-06-10,6734,2550,54
2020-06-11,6954,2702,59
2020-06-12,7152,2831,64
2020-06-13,7314,2875,65
2020-06-14,7481,2931,67
2020-06-15,7641,2979,67
2020-06-16,7799,3159,71
2020-06-17,7951,3320,72
2020-06-18,8097,3526,76
2020-06-19,8236,3878,80
2020-06-20,8381,4018,85
2020-06-21,8534,4109,90
2020-06-22,8675,4198,90
2020-06-23,8815,4378,94
2020-06-24,8950,4651,97
2020-06-25,9074,4778,100
2020-06-26,9195,5082,105
2020-06-27,9311,5353,115
2020-06-28,9420,5482,117
2020-06-29,9517,5516,120
2020-06-30,9611,5744,125
2020-07-01,9706,6103,127
2020-07-02,9796,6173,130
2020-07-03,9888,6444,134
2020-07-04,9982,6720,137
2020-07-05,10075,6823,139
2020-07-06,10166,6869,141
2020-07-07,10256,7068,146
2020-07-08,10350,7383,149
2020-07-09,10441,7610,152
2020-07-10,10533,7760,156
2020-07-11,10628,7954,161
2020-07-12,10726,8073,163
2020-07-13,10823,8097,164
2020-07-14,10922,8291,167
2020-07-15,11019,8451,172
2020-07-16,11117,8619,173
2020-07-17,11214,8745,178
2020-07-18,11316,8874,183
2020-07-19,11419,8909,183
2020-07-20,11534,8926,183
2020-07-21,11657,9152,187
2020-07-22,11778,9288,192
2020-07-23,11898,9444,197
2020-07-24,12020,9580,201
2020-07-25,12144,9723,203
2020-07-26,12270,9738,203
2020-07-27,12405,9802,205
2020-07-28,12538,9980,210
2020-07-29,12674,10139,215
2020-07-30,12808,10285,219
2020-07-31,12941,10382,225
2020-08-01,13074,10515,230
2020-08-02,13205,10539,233
2020-08-03,13335,10572,236
2020-08-04,13464,10748,240
2020-08-05,13593,10861,245
2020-08-06,13723,11005,249
2020-08-07,13851,11198,255
2020-08-08,13980,11340,261
2020-08-09,14107,11379,261
2020-08-10,14235,11480,261
2020-08-11,14361,11640,268
2020-08-12,14488,11880,271
2020-08-13,14613,12002,274
2020-08-14,14739,12117,278
2020-08-15,14867,12301,284
2020-08-16,14996,12332,287
2020-08-17,15123,12384,288
2020-08-18,15251,12516,293
2020-08-19,15377,12805,298
2020-08-20,15504,13003,301
2020-08-21,15632,13159,301
2020-08-22,15761,13318,306
2020-08-23,15887,13365,308
2020-08-24,16018,13383,312
2020-08-25,16148,13693,318
2020-08-26,16278,13929,326
2020-08-27,16406,14101,332
2020-08-28,16538,14237,338
2020-08-29,16665,14352,344
2020-08-30,16799,14416,348
2020-08-31,16927,14461,351
2020-09-01,17060,14608,354
2020-09-02,17205,14690,359
2020-09-03,17344,14802,363
2020-09-04,17486,14897,369
2020-09-05,17630,14995,373
2020-09-06,17785,15022,373
2020-09-07,17936,15059,373
2020-09-08,18083,15144,378
2020-09-09,18236,15216,383
2020-09-10,18391,15305,389
2020-09-11,18549,15394,393
2020-09-12,18708,15495,397
2020-09-13,18870,15511,400
2020-09-14,19030,15551,403
2020-09-15,19195,15640,410
2020-09-16,19362,15747,416
2020-09-17,19533,15895,423
2020-09-18,19705,15954,430
2020-09-19,19885,16054,436
2020-09-20,20063,16127,441
2020-09-21,20240,16158,445
2020-09-22,20421,16297,451
2020-09-23,20604,16436,460
2020-09-24,20793,16580,468
2020-09-25,20980,16674,468
2020-09-26,21169,16824,477
2020-09-27,21357,16897,486
2020-09-28,21550,16938,486
2020-09-29,21740,17125,486
2020-09-30,21938,17322,495
2020-10-01,22143,17633,504
2020-10-02,22352,17749,514
2020-10-03,22571,17976,523
2020-10-04,22805,18105,532
2020-10-05,23049,18175,541
2020-10-06,23302,18426,551
2020-10-07,23557,18668,559
2020-10-08,23818,18917,559
2020-10-09,24083,19203,568
2020-10-10,24352,19512,578
2020-10-11,24624,19752,587
