date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-19T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-20T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-21T00:00:00.000Z,2,0,1.0,2,0.0
2020-03-22T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-23T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-24T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-25T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-26T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-27T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-28T00:00:00.000Z,3,0,1.0,3,0.0
2020-03-29T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-30T00:00:00.000Z,5,0,2.0,5,0.0
2020-03-31T00:00:00.000Z,3,0,-2.0,3,0.0
2020-04-01T00:00:00.000Z,5,0,2.0,4,0.0
2020-04-02T00:00:00.000Z,5,0,0.0,4,0.0
2020-04-03T00:00:00.000Z,6,0,1.0,5,0.0
2020-04-04T00:00:00.000Z,12,0,6.0,10,0.0
2020-04-05T00:00:00.000Z,12,0,0.0,10,0.0
2020-04-06T00:00:00.000Z,17,0,5.0,15,0.0
2020-04-07T00:00:00.000Z,17,0,0.0,15,0.0
2020-04-08T00:00:00.000Z,32,0,15.0,30,0.0
2020-04-09T00:00:00.000Z,32,0,0.0,29,0.0
2020-04-10T00:00:00.000Z,38,0,6.0,35,0.0
2020-04-11T00:00:00.000Z,55,0,17.0,51,0.0
2020-04-12T00:00:00.000Z,71,0,16.0,67,0.0
2020-04-13T00:00:00.000Z,89,0,18.0,85,0.0
2020-04-14T00:00:00.000Z,116,0,27.0,112,0.0
2020-04-15T00:00:00.000Z,116,0,0.0,112,0.0
2020-04-16T00:00:00.000Z,154,0,38.0,150,0.0
2020-04-17T00:00:00.000Z,184,0,30.0,180,0.0
2020-04-18T00:00:00.000Z,225,0,41.0,216,0.0
2020-04-19T00:00:00.000Z,267,0,42.0,258,0.0
2020-04-20T00:00:00.000Z,289,0,22.0,280,0.0
2020-04-21T00:00:00.000Z,316,0,27.0,307,0.0
2020-04-22T00:00:00.000Z,392,0,76.0,377,0.0
2020-04-23T00:00:00.000Z,429,0,37.0,397,0.0
2020-04-24T00:00:00.000Z,475,0,46.0,443,0.0
2020-04-25T00:00:00.000Z,539,0,64.0,501,0.0
2020-04-26T00:00:00.000Z,602,0,63.0,555,0.0
2020-04-27T00:00:00.000Z,687,3,85.0,640,3.0
2020-04-28T00:00:00.000Z,788,3,101.0,741,0.0
2020-04-29T00:00:00.000Z,840,3,52.0,793,0.0
2020-04-30T00:00:00.000Z,880,3,40.0,833,0.0
2020-05-01T00:00:00.000Z,923,5,43.0,859,2.0
2020-05-02T00:00:00.000Z,1021,5,98.0,957,0.0
2020-05-03T00:00:00.000Z,1076,5,55.0,990,0.0
2020-05-04T00:00:00.000Z,1137,5,61.0,1049,0.0
2020-05-05T00:00:00.000Z,1226,5,89.0,1137,0.0
2020-05-06T00:00:00.000Z,1310,5,84.0,1221,0.0
2020-05-07T00:00:00.000Z,1396,5,86.0,1290,0.0
2020-05-08T00:00:00.000Z,1475,5,79.0,1322,0.0
2020-05-09T00:00:00.000Z,1560,5,85.0,1362,0.0
2020-05-10T00:00:00.000Z,1648,5,88.0,1433,0.0
2020-05-11T00:00:00.000Z,1744,5,96.0,1520,0.0
2020-05-12T00:00:00.000Z,1842,7,98.0,1603,2.0
2020-05-13T00:00:00.000Z,1939,7,97.0,1645,0.0
2020-05-14T00:00:00.000Z,2028,7,89.0,1711,0.0
2020-05-15T00:00:00.000Z,2123,7,95.0,1771,0.0
2020-05-16T00:00:00.000Z,2214,7,91.0,1821,0.0
2020-05-17T00:00:00.000Z,2300,7,86.0,1904,0.0
2020-05-18T00:00:00.000Z,2394,7,94.0,1996,0.0
2020-05-19T00:00:00.000Z,2485,7,91.0,2063,0.0
2020-05-20T00:00:00.000Z,2577,7,92.0,2125,0.0
2020-05-21T00:00:00.000Z,2673,7,96.0,2192,0.0
2020-05-22T00:00:00.000Z,2767,7,94.0,2263,0.0
2020-05-23T00:00:00.000Z,2865,7,98.0,2317,0.0
2020-05-24T00:00:00.000Z,2953,7,88.0,2387,0.0
2020-05-25T00:00:00.000Z,3040,7,87.0,2402,0.0
2020-05-26T00:00:00.000Z,3125,7,85.0,2423,0.0
2020-05-27T00:00:00.000Z,3206,7,81.0,2417,0.0
2020-05-28T00:00:00.000Z,3283,7,77.0,2435,0.0
2020-05-29T00:00:00.000Z,3358,7,75.0,2464,0.0
2020-05-30T00:00:00.000Z,3432,7,74.0,2487,0.0
2020-05-31T00:00:00.000Z,3508,7,76.0,2552,0.0
2020-06-01T00:00:00.000Z,3581,7,73.0,2608,0.0
2020-06-02T00:00:00.000Z,3653,9,72.0,2578,2.0
2020-06-03T00:00:00.000Z,3728,9,75.0,2559,0.0
2020-06-04T00:00:00.000Z,3801,10,73.0,2572,1.0
2020-06-05T00:00:00.000Z,3872,10,71.0,2542,0.0
2020-06-06T00:00:00.000Z,3940,10,68.0,2507,0.0
2020-06-07T00:00:00.000Z,4013,10,73.0,2565,0.0
2020-06-08T00:00:00.000Z,4088,10,75.0,2630,0.0
2020-06-09T00:00:00.000Z,4164,10,76.0,2553,0.0
2020-06-10T00:00:00.000Z,4228,10,64.0,2481,0.0
2020-06-11T00:00:00.000Z,4287,11,59.0,2412,1.0
2020-06-12T00:00:00.000Z,4345,11,58.0,2338,0.0
2020-06-13T00:00:00.000Z,4401,12,56.0,2376,1.0
2020-06-14T00:00:00.000Z,4458,12,57.0,2412,0.0
2020-06-15T00:00:00.000Z,4507,12,49.0,2416,0.0
2020-06-16T00:00:00.000Z,4557,12,50.0,2241,0.0
2020-06-17T00:00:00.000Z,4606,14,49.0,2153,2.0
2020-06-18T00:00:00.000Z,4656,14,50.0,2037,0.0
2020-06-19T00:00:00.000Z,4708,15,52.0,1906,1.0
2020-06-20T00:00:00.000Z,4759,16,51.0,1823,1.0
2020-06-21T00:00:00.000Z,4808,17,49.0,1857,1.0
2020-06-22T00:00:00.000Z,4855,17,47.0,1896,0.0
2020-06-23T00:00:00.000Z,4900,17,45.0,1753,0.0
2020-06-24T00:00:00.000Z,4943,17,43.0,1662,0.0
2020-06-25T00:00:00.000Z,4984,17,41.0,1690,0.0
2020-06-26T00:00:00.000Z,5027,18,43.0,1677,1.0
2020-06-27T00:00:00.000Z,5069,18,42.0,1674,0.0
2020-06-28T00:00:00.000Z,5113,19,44.0,1717,1.0
2020-06-29T00:00:00.000Z,5154,19,41.0,1756,0.0
2020-06-30T00:00:00.000Z,5197,19,43.0,1691,0.0
2020-07-01T00:00:00.000Z,5237,19,40.0,1589,0.0
