,date,confirmed,cured,deaths
0,2020-03-28T00:00:00.000Z,4,0,0
1,2020-03-29T00:00:00.000Z,4,0,0
2,2020-03-30T00:00:00.000Z,4,0,0
3,2020-03-31T00:00:00.000Z,4,0,0
4,2020-04-01T00:00:00.000Z,5,0,0
5,2020-04-02T00:00:00.000Z,5,0,0
6,2020-04-03T00:00:00.000Z,5,0,0
7,2020-04-04T00:00:00.000Z,6,0,0
8,2020-04-05T00:00:00.000Z,6,0,0
9,2020-04-06T00:00:00.000Z,6,0,0
10,2020-04-07T00:00:00.000Z,6,4,0
11,2020-04-08T00:00:00.000Z,11,4,0
12,2020-04-09T00:00:00.000Z,11,4,0
13,2020-04-10T00:00:00.000Z,11,4,0
14,2020-04-11T00:00:00.000Z,11,4,0
15,2020-04-12T00:00:00.000Z,11,4,0
16,2020-04-13T00:00:00.000Z,11,6,0
17,2020-04-14T00:00:00.000Z,11,6,0
18,2020-04-15T00:00:00.000Z,12,6,0
19,2020-04-16T00:00:00.000Z,12,6,0
20,2020-04-17T00:00:00.000Z,19,6,0
21,2020-04-18T00:00:00.000Z,19,6,0
22,2020-04-19T00:00:00.000Z,19,8,0
23,2020-04-20T00:00:00.000Z,19,8,0
24,2020-04-21T00:00:00.000Z,19,8,0
25,2020-04-22T00:00:00.000Z,19,8,0
26,2020-04-23T00:00:00.000Z,19,8,0
27,2020-04-24T00:00:00.000Z,20,8,0
28,2020-04-25T00:00:00.000Z,20,13,0
29,2020-04-26T00:00:00.000Z,20,13,0
30,2020-04-27T00:00:00.000Z,21,15,0
31,2020-04-28T00:00:00.000Z,22,17,0
32,2020-04-29T00:00:00.000Z,22,19,0
33,2020-04-30T00:00:00.000Z,23,19,0
34,2020-05-01T00:00:00.000Z,24,19,0
35,2020-05-02T00:00:00.000Z,24,19,0
36,2020-05-03T00:00:00.000Z,26,19,0
37,2020-05-04T00:00:00.000Z,28,19,0
38,2020-05-05T00:00:00.000Z,29,20,0
39,2020-05-06T00:00:00.000Z,29,20,0
40,2020-05-07T00:00:00.000Z,31,20,0
41,2020-05-08T00:00:00.000Z,31,20,0
42,2020-05-09T00:00:00.000Z,37,20,0
43,2020-05-10T00:00:00.000Z,37,20,0
44,2020-05-11T00:00:00.000Z,38,20,0
45,2020-05-12T00:00:00.000Z,41,20,0
46,2020-05-13T00:00:00.000Z,42,22,0
47,2020-05-14T00:00:00.000Z,44,25,0
48,2020-05-15T00:00:00.000Z,45,27,0
49,2020-05-16T00:00:00.000Z,48,28,0
50,2020-05-17T00:00:00.000Z,50,28,0
51,2020-05-18T00:00:00.000Z,50,29,0
52,2020-05-19T00:00:00.000Z,56,29,0
53,2020-05-20T00:00:00.000Z,57,29,0
54,2020-05-21T00:00:00.000Z,59,33,0
55,2020-05-22T00:00:00.000Z,63,35,0
56,2020-05-23T00:00:00.000Z,66,36,0
57,2020-05-24T00:00:00.000Z,68,36,0
58,2020-05-25T00:00:00.000Z,69,37,0
59,2020-05-26T00:00:00.000Z,74,47,0
60,2020-05-27T00:00:00.000Z,76,47,0
61,2020-05-28T00:00:00.000Z,80,49,0
62,2020-05-29T00:00:00.000Z,94,53,0
63,2020-05-30T00:00:00.000Z,101,53,0
64,2020-05-31T00:00:00.000Z,115,53,0
65,2020-06-01T00:00:00.000Z,118,53,0
66,2020-06-02T00:00:00.000Z,133,54,0
67,2020-06-03T00:00:00.000Z,143,62,0
68,2020-06-04T00:00:00.000Z,147,62,0
69,2020-06-05T00:00:00.000Z,160,63,0
70,2020-06-06T00:00:00.000Z,170,63,0
71,2020-06-07T00:00:00.000Z,188,71,0
72,2020-06-08T00:00:00.000Z,204,71,0
73,2020-06-09T00:00:00.000Z,216,71,0
74,2020-06-10T00:00:00.000Z,250,71,0
75,2020-06-11T00:00:00.000Z,264,71,0
76,2020-06-12T00:00:00.000Z,305,71,0
77,2020-06-13T00:00:00.000Z,320,98,0
78,2020-06-14T00:00:00.000Z,330,98,0
79,2020-06-15T00:00:00.000Z,343,98,0
80,2020-06-16T00:00:00.000Z,362,98,0
81,2020-06-17T00:00:00.000Z,394,98,0
82,2020-06-18T00:00:00.000Z,423,100,0
83,2020-06-19T00:00:00.000Z,447,100,0
84,2020-06-20T00:00:00.000Z,495,102,0
85,2020-06-21T00:00:00.000Z,525,102,0
86,2020-06-22T00:00:00.000Z,566,103,0
87,2020-06-23T00:00:00.000Z,567,103,0
88,2020-06-24T00:00:00.000Z,628,115,0
89,2020-06-25T00:00:00.000Z,663,119,0
90,2020-06-26T00:00:00.000Z,702,120,0
91,2020-06-27T00:00:00.000Z,721,120,0
92,2020-06-28T00:00:00.000Z,742,245,0
93,2020-06-29T00:00:00.000Z,771,275,0
94,2020-06-30T00:00:00.000Z,800,332,0
95,2020-07-01T00:00:00.000Z,828,338,0
96,2020-07-02T00:00:00.000Z,853,339,0
97,2020-07-03T00:00:00.000Z,885,348,0
98,2020-07-04T00:00:00.000Z,918,357,0
99,2020-07-05T00:00:00.000Z,953,360,0
100,2020-07-06T00:00:00.000Z,993,364,0
101,2020-07-07T00:00:00.000Z,1035,385,0
102,2020-07-08T00:00:00.000Z,1103,436,0
103,2020-07-09T00:00:00.000Z,1172,451,0
104,2020-07-10T00:00:00.000Z,1240,472,0
105,2020-07-11T00:00:00.000Z,1307,510,0
106,2020-07-12T00:00:00.000Z,1376,513,0
107,2020-07-13T00:00:00.000Z,1443,521,0
108,2020-07-14T00:00:00.000Z,1507,542,0
109,2020-07-15T00:00:00.000Z,1568,564,0
110,2020-07-16T00:00:00.000Z,1628,568,0
111,2020-07-17T00:00:00.000Z,1687,572,0
112,2020-07-18T00:00:00.000Z,1747,584,0
113,2020-07-19T00:00:00.000Z,1806,584,0
114,2020-07-20T00:00:00.000Z,1863,599,0
115,2020-07-21T00:00:00.000Z,1926,627,0
116,2020-07-22T00:00:00.000Z,1994,651,0
117,2020-07-23T00:00:00.000Z,2061,685,0
118,2020-07-24T00:00:00.000Z,2126,701,0
119,2020-07-25T00:00:00.000Z,2185,771,0
120,2020-07-26T00:00:00.000Z,2235,788,0
121,2020-07-27T00:00:00.000Z,2294,822,0
122,2020-07-28T00:00:00.000Z,2362,893,0
123,2020-07-29T00:00:00.000Z,2431,932,0
124,2020-07-30T00:00:00.000Z,2498,970,0
125,2020-07-31T00:00:00.000Z,2559,1031,0
126,2020-08-01T00:00:00.000Z,2625,1098,0
127,2020-08-02T00:00:00.000Z,2685,1233,0
128,2020-08-03T00:00:00.000Z,2744,1238,0
129,2020-08-04T00:00:00.000Z,2811,1340,0
130,2020-08-05T00:00:00.000Z,2876,1418,0
131,2020-08-06T00:00:00.000Z,2944,1506,0
132,2020-08-07T00:00:00.000Z,3010,1548,0
133,2020-08-08T00:00:00.000Z,3075,1569,0
134,2020-08-09T00:00:00.000Z,3137,1579,0
135,2020-08-10T00:00:00.000Z,3204,1585,0
136,2020-08-11T00:00:00.000Z,3267,1670,0
137,2020-08-12T00:00:00.000Z,3326,1720,0
138,2020-08-13T00:00:00.000Z,3390,1778,0
139,2020-08-14T00:00:00.000Z,3458,1855,0
140,2020-08-15T00:00:00.000Z,3519,1913,0
141,2020-08-16T00:00:00.000Z,3578,1924,0
142,2020-08-17T00:00:00.000Z,3635,1934,0
143,2020-08-18T00:00:00.000Z,3695,2074,0
144,2020-08-19T00:00:00.000Z,3752,2113,0
145,2020-08-20T00:00:00.000Z,3811,2141,0
146,2020-08-21T00:00:00.000Z,3867,2180,0
147,2020-08-22T00:00:00.000Z,3925,2228,0
148,2020-08-23T00:00:00.000Z,3980,2235,0
149,2020-08-24T00:00:00.000Z,4037,2251,0
150,2020-08-25T00:00:00.000Z,4096,2315,0
151,2020-08-26T00:00:00.000Z,4152,2379,0
152,2020-08-27T00:00:00.000Z,4210,2485,0
153,2020-08-28T00:00:00.000Z,4265,2519,0
154,2020-08-29T00:00:00.000Z,4319,2581,0
155,2020-08-30T00:00:00.000Z,4371,2602,0
156,2020-08-31T00:00:00.000Z,4420,2617,0
157,2020-09-01T00:00:00.000Z,4473,2650,0
158,2020-09-02T00:00:00.000Z,4524,2693,0
159,2020-09-03T00:00:00.000Z,4572,2744,0
160,2020-09-04T00:00:00.000Z,4622,2795,0
161,2020-09-05T00:00:00.000Z,4671,2858,0
162,2020-09-06T00:00:00.000Z,4718,2870,0
163,2020-09-07T00:00:00.000Z,4762,2886,0
164,2020-09-08T00:00:00.000Z,4808,2991,0
165,2020-09-09T00:00:00.000Z,4851,3104,0
166,2020-09-10T00:00:00.000Z,4892,3171,0
167,2020-09-11T00:00:00.000Z,4931,3226,0
168,2020-09-12T00:00:00.000Z,4968,3290,0
169,2020-09-13T00:00:00.000Z,5008,3343,0
170,2020-09-14T00:00:00.000Z,5046,3363,0
171,2020-09-15T00:00:00.000Z,5081,3467,0
172,2020-09-16T00:00:00.000Z,5112,3519,0
173,2020-09-17T00:00:00.000Z,5145,3573,0
174,2020-09-18T00:00:00.000Z,5174,3642,0
175,2020-09-19T00:00:00.000Z,5206,3679,0
176,2020-09-20T00:00:00.000Z,5236,3681,0
177,2020-09-21T00:00:00.000Z,5264,3710,0
178,2020-09-22T00:00:00.000Z,5308,3769,0
179,2020-09-23T00:00:00.000Z,5347,3802,0
180,2020-09-24T00:00:00.000Z,5382,3838,0
181,2020-09-25T00:00:00.000Z,5416,3842,0
182,2020-09-26T00:00:00.000Z,5444,3865,0
183,2020-09-27T00:00:00.000Z,5476,3866,0
184,2020-09-28T00:00:00.000Z,5512,3884,0
185,2020-09-29T00:00:00.000Z,5550,3931,0
186,2020-09-30T00:00:00.000Z,5591,3954,0
187,2020-10-01T00:00:00.000Z,5639,3995,0
188,2020-10-02T00:00:00.000Z,5694,4059,0
189,2020-10-03T00:00:00.000Z,5760,4081,0
190,2020-10-04T00:00:00.000Z,5811,4089,0
191,2020-10-05T00:00:00.000Z,5864,4101,0
192,2020-10-06T00:00:00.000Z,5919,4196,0
193,2020-10-07T00:00:00.000Z,5971,4259,0
194,2020-10-08T00:00:00.000Z,6029,4366,0
195,2020-10-09T00:00:00.000Z,6085,4415,0
196,2020-10-10T00:00:00.000Z,6144,4439,0
197,2020-10-11T00:00:00.000Z,6205,4441,0
