date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-18T00:00:00.000Z,5,0,5.0,5,0.0
2020-03-19T00:00:00.000Z,5,0,0.0,5,0.0
2020-03-20T00:00:00.000Z,9,0,4.0,9,0.0
2020-03-21T00:00:00.000Z,9,0,0.0,9,0.0
2020-03-22T00:00:00.000Z,9,0,0.0,9,0.0
2020-03-23T00:00:00.000Z,9,0,0.0,9,0.0
2020-03-24T00:00:00.000Z,10,0,1.0,10,0.0
2020-03-25T00:00:00.000Z,10,0,0.0,10,0.0
2020-03-26T00:00:00.000Z,12,0,2.0,12,0.0
2020-03-27T00:00:00.000Z,14,0,2.0,14,0.0
2020-03-28T00:00:00.000Z,14,0,0.0,13,0.0
2020-03-29T00:00:00.000Z,14,0,0.0,13,0.0
2020-03-30T00:00:00.000Z,14,0,0.0,13,0.0
2020-03-31T00:00:00.000Z,15,0,1.0,14,0.0
2020-04-01T00:00:00.000Z,15,0,0.0,13,0.0
2020-04-02T00:00:00.000Z,17,0,2.0,10,0.0
2020-04-03T00:00:00.000Z,17,0,0.0,10,0.0
2020-04-04T00:00:00.000Z,17,0,0.0,10,0.0
2020-04-05T00:00:00.000Z,17,0,0.0,9,0.0
2020-04-06T00:00:00.000Z,17,0,0.0,8,0.0
2020-04-07T00:00:00.000Z,17,0,0.0,8,0.0
2020-04-08T00:00:00.000Z,18,0,1.0,9,0.0
2020-04-09T00:00:00.000Z,18,0,0.0,8,0.0
2020-04-10T00:00:00.000Z,20,0,2.0,9,0.0
2020-04-11T00:00:00.000Z,21,0,1.0,7,0.0
2020-04-12T00:00:00.000Z,24,0,3.0,10,0.0
2020-04-13T00:00:00.000Z,29,0,5.0,15,0.0
2020-04-14T00:00:00.000Z,40,0,11.0,26,0.0
2020-04-15T00:00:00.000Z,40,0,0.0,26,0.0
2020-04-16T00:00:00.000Z,50,0,10.0,36,0.0
2020-04-17T00:00:00.000Z,63,0,13.0,49,0.0
2020-04-18T00:00:00.000Z,64,0,1.0,49,0.0
2020-04-19T00:00:00.000Z,79,0,15.0,64,0.0
2020-04-20T00:00:00.000Z,95,0,16.0,80,0.0
2020-04-21T00:00:00.000Z,103,0,8.0,88,0.0
2020-04-22T00:00:00.000Z,115,0,12.0,100,0.0
2020-04-23T00:00:00.000Z,141,0,26.0,126,0.0
2020-04-24T00:00:00.000Z,185,0,44.0,166,0.0
2020-04-25T00:00:00.000Z,209,0,24.0,187,0.0
2020-04-26T00:00:00.000Z,229,2,20.0,203,2.0
2020-04-27T00:00:00.000Z,264,2,35.0,238,0.0
2020-04-28T00:00:00.000Z,272,5,8.0,245,3.0
2020-04-29T00:00:00.000Z,327,5,55.0,294,0.0
2020-04-30T00:00:00.000Z,367,5,40.0,331,0.0
2020-05-01T00:00:00.000Z,392,5,25.0,340,0.0
2020-05-02T00:00:00.000Z,433,5,41.0,380,0.0
2020-05-03T00:00:00.000Z,518,5,85.0,460,0.0
2020-05-04T00:00:00.000Z,578,5,60.0,519,0.0
2020-05-05T00:00:00.000Z,595,6,17.0,531,1.0
2020-05-06T00:00:00.000Z,676,6,81.0,604,0.0
