,date,confirmed,cured,deaths
0,2020-03-19T00:00:00.000Z,1,0,0
1,2020-03-20T00:00:00.000Z,1,0,0
2,2020-03-21T00:00:00.000Z,1,0,0
3,2020-03-22T00:00:00.000Z,1,0,0
4,2020-03-23T00:00:00.000Z,1,0,0
5,2020-03-24T00:00:00.000Z,1,0,0
6,2020-03-25T00:00:00.000Z,1,0,0
7,2020-03-26T00:00:00.000Z,1,0,0
8,2020-03-27T00:00:00.000Z,1,0,0
9,2020-03-28T00:00:00.000Z,2,0,0
10,2020-03-29T00:00:00.000Z,2,0,0
11,2020-03-30T00:00:00.000Z,4,0,0
12,2020-03-31T00:00:00.000Z,4,0,0
13,2020-04-01T00:00:00.000Z,15,1,0
14,2020-04-02T00:00:00.000Z,15,1,0
15,2020-04-03T00:00:00.000Z,19,1,0
16,2020-04-04T00:00:00.000Z,19,1,0
17,2020-04-05T00:00:00.000Z,19,1,0
18,2020-04-06T00:00:00.000Z,19,1,0
19,2020-04-07T00:00:00.000Z,25,1,0
20,2020-04-08T00:00:00.000Z,26,1,0
21,2020-04-09T00:00:00.000Z,30,1,0
22,2020-04-10T00:00:00.000Z,34,2,0
23,2020-04-11T00:00:00.000Z,35,2,0
24,2020-04-12T00:00:00.000Z,42,2,0
25,2020-04-13T00:00:00.000Z,44,4,0
26,2020-04-14T00:00:00.000Z,49,6,0
27,2020-04-15T00:00:00.000Z,56,8,0
28,2020-04-16T00:00:00.000Z,70,8,0
29,2020-04-17T00:00:00.000Z,87,13,0
30,2020-04-18T00:00:00.000Z,98,13,0
31,2020-04-19T00:00:00.000Z,114,13,0
32,2020-04-20T00:00:00.000Z,142,13,0
33,2020-04-21T00:00:00.000Z,168,13,0
34,2020-04-22T00:00:00.000Z,190,19,0
35,2020-04-23T00:00:00.000Z,229,19,0
36,2020-04-24T00:00:00.000Z,245,30,0
37,2020-04-25T00:00:00.000Z,265,34,2
38,2020-04-26T00:00:00.000Z,305,38,2
39,2020-04-27T00:00:00.000Z,327,39,2
40,2020-04-28T00:00:00.000Z,359,39,2
41,2020-04-29T00:00:00.000Z,392,49,2
42,2020-04-30T00:00:00.000Z,438,49,2
43,2020-05-01T00:00:00.000Z,487,52,2
44,2020-05-02T00:00:00.000Z,535,73,3
45,2020-05-03T00:00:00.000Z,585,95,3
46,2020-05-04T00:00:00.000Z,659,99,3
47,2020-05-05T00:00:00.000Z,737,106,3
48,2020-05-06T00:00:00.000Z,835,133,3
49,2020-05-07T00:00:00.000Z,876,135,4
50,2020-05-08T00:00:00.000Z,950,157,4
51,2020-05-09T00:00:00.000Z,1007,196,4
52,2020-05-10T00:00:00.000Z,1076,233,4
53,2020-05-11T00:00:00.000Z,1168,237,5
54,2020-05-12T00:00:00.000Z,1232,242,5
55,2020-05-13T00:00:00.000Z,1317,244,6
56,2020-05-14T00:00:00.000Z,1413,277,6
57,2020-05-15T00:00:00.000Z,1526,321,7
58,2020-05-16T00:00:00.000Z,1633,359,7
59,2020-05-17T00:00:00.000Z,1754,386,8
60,2020-05-18T00:00:00.000Z,1871,421,8
61,2020-05-19T00:00:00.000Z,1980,438,11
62,2020-05-20T00:00:00.000Z,2072,486,12
63,2020-05-21T00:00:00.000Z,2139,568,15
64,2020-05-22T00:00:00.000Z,2223,639,16
65,2020-05-23T00:00:00.000Z,2321,699,18
66,2020-05-24T00:00:00.000Z,2418,761,20
67,2020-05-25T00:00:00.000Z,2516,785,22
68,2020-05-26T00:00:00.000Z,2581,812,25
69,2020-05-27T00:00:00.000Z,2649,861,30
70,2020-05-28T00:00:00.000Z,2746,942,32
71,2020-05-29T00:00:00.000Z,2840,1033,34
72,2020-05-30T00:00:00.000Z,2936,1118,34
73,2020-05-31T00:00:00.000Z,3078,1153,34
74,2020-06-01T00:00:00.000Z,3174,1158,34
75,2020-06-02T00:00:00.000Z,3269,1206,34
76,2020-06-03T00:00:00.000Z,3363,1288,34
77,2020-06-04T00:00:00.000Z,3457,1361,35
78,2020-06-05T00:00:00.000Z,3553,1404,35
79,2020-06-06T00:00:00.000Z,3651,1462,36
80,2020-06-07T00:00:00.000Z,3763,1547,36
81,2020-06-08T00:00:00.000Z,3900,1573,37
82,2020-06-09T00:00:00.000Z,4015,1596,37
83,2020-06-10T00:00:00.000Z,4132,1699,37
84,2020-06-11T00:00:00.000Z,4246,1811,37
85,2020-06-12T00:00:00.000Z,4362,1980,37
86,2020-06-13T00:00:00.000Z,4480,2014,38
87,2020-06-14T00:00:00.000Z,4606,2052,38
88,2020-06-15T00:00:00.000Z,4734,2071,38
89,2020-06-16T00:00:00.000Z,4857,2204,39
90,2020-06-17T00:00:00.000Z,4982,2317,39
91,2020-06-18T00:00:00.000Z,5101,2396,40
92,2020-06-19T00:00:00.000Z,5217,2507,40
93,2020-06-20T00:00:00.000Z,5335,2595,41
94,2020-06-21T00:00:00.000Z,5450,2618,41
95,2020-06-22T00:00:00.000Z,5562,2640,41
96,2020-06-23T00:00:00.000Z,5671,2789,42
97,2020-06-24T00:00:00.000Z,5782,2895,42
98,2020-06-25T00:00:00.000Z,5892,2922,42
99,2020-06-26T00:00:00.000Z,6003,3034,42
100,2020-06-27T00:00:00.000Z,6115,3158,42
101,2020-06-28T00:00:00.000Z,6225,3194,43
102,2020-06-29T00:00:00.000Z,6334,3206,43
103,2020-06-30T00:00:00.000Z,6444,3344,43
104,2020-07-01T00:00:00.000Z,6546,3550,44
105,2020-07-02T00:00:00.000Z,6645,3569,44
106,2020-07-03T00:00:00.000Z,6746,3680,45
107,2020-07-04T00:00:00.000Z,6844,3748,45
108,2020-07-05T00:00:00.000Z,6941,3759,45
109,2020-07-06T00:00:00.000Z,7040,3773,45
110,2020-07-07T00:00:00.000Z,7135,3881,46
111,2020-07-08T00:00:00.000Z,7231,3988,47
112,2020-07-09T00:00:00.000Z,7325,4044,47
113,2020-07-10T00:00:00.000Z,7417,4116,47
114,2020-07-11T00:00:00.000Z,7508,4220,47
115,2020-07-12T00:00:00.000Z,7600,4231,47
116,2020-07-13T00:00:00.000Z,7689,4241,47
117,2020-07-14T00:00:00.000Z,7782,4363,47
118,2020-07-15T00:00:00.000Z,7874,4463,48
119,2020-07-16T00:00:00.000Z,7969,4535,49
120,2020-07-17T00:00:00.000Z,8063,4620,50
121,2020-07-18T00:00:00.000Z,8159,4699,51
122,2020-07-19T00:00:00.000Z,8256,4721,51
123,2020-07-20T00:00:00.000Z,8349,4746,51
124,2020-07-21T00:00:00.000Z,8443,4834,53
125,2020-07-22T00:00:00.000Z,8536,4956,54
126,2020-07-23T00:00:00.000Z,8631,5057,54
127,2020-07-24T00:00:00.000Z,8725,5159,55
128,2020-07-25T00:00:00.000Z,8823,5220,55
129,2020-07-26T00:00:00.000Z,8920,5250,55
130,2020-07-27T00:00:00.000Z,9015,5270,55
131,2020-07-28T00:00:00.000Z,9111,5369,56
132,2020-07-29T00:00:00.000Z,9209,5469,57
133,2020-07-30T00:00:00.000Z,9308,5547,58
134,2020-07-31T00:00:00.000Z,9406,5642,59
135,2020-08-01T00:00:00.000Z,9502,5764,59
136,2020-08-02T00:00:00.000Z,9597,5813,60
137,2020-08-03T00:00:00.000Z,9691,5848,60
138,2020-08-04T00:00:00.000Z,9784,5933,61
139,2020-08-05T00:00:00.000Z,9878,6040,61
140,2020-08-06T00:00:00.000Z,9968,6120,62
141,2020-08-07T00:00:00.000Z,10062,6192,62
142,2020-08-08T00:00:00.000Z,10157,6278,63
143,2020-08-09T00:00:00.000Z,10253,6298,63
144,2020-08-10T00:00:00.000Z,10348,6339,63
145,2020-08-11T00:00:00.000Z,10442,6401,63
146,2020-08-12T00:00:00.000Z,10538,6521,64
147,2020-08-13T00:00:00.000Z,10633,6614,64
148,2020-08-14T00:00:00.000Z,10727,6695,65
149,2020-08-15T00:00:00.000Z,10824,6755,66
150,2020-08-16T00:00:00.000Z,10922,6774,66
151,2020-08-17T00:00:00.000Z,11018,6791,66
152,2020-08-18T00:00:00.000Z,11116,6949,67
153,2020-08-19T00:00:00.000Z,11211,7083,67
154,2020-08-20T00:00:00.000Z,11308,7196,67
155,2020-08-21T00:00:00.000Z,11399,7305,68
156,2020-08-22T00:00:00.000Z,11494,7415,68
157,2020-08-23T00:00:00.000Z,11587,7467,68
158,2020-08-24T00:00:00.000Z,11686,7498,68
159,2020-08-25T00:00:00.000Z,11782,7583,69
160,2020-08-26T00:00:00.000Z,11877,7660,69
161,2020-08-27T00:00:00.000Z,11974,7768,69
162,2020-08-28T00:00:00.000Z,12067,7851,71
163,2020-08-29T00:00:00.000Z,12163,7927,71
164,2020-08-30T00:00:00.000Z,12251,7954,73
165,2020-08-31T00:00:00.000Z,12345,7965,75
166,2020-09-01T00:00:00.000Z,12438,8038,76
167,2020-09-02T00:00:00.000Z,12550,8116,76
168,2020-09-03T00:00:00.000Z,12658,8187,77
169,2020-09-04T00:00:00.000Z,12760,8242,79
170,2020-09-05T00:00:00.000Z,12863,8344,80
171,2020-09-06T00:00:00.000Z,12967,8368,80
172,2020-09-07T00:00:00.000Z,13068,8386,82
