date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-28T00:00:00.000Z,5,0,5.0,5,0.0
2020-03-29T00:00:00.000Z,5,0,0.0,5,0.0
2020-03-30T00:00:00.000Z,5,0,0.0,5,0.0
2020-03-31T00:00:00.000Z,5,0,0.0,5,0.0
2020-04-01T00:00:00.000Z,5,0,0.0,5,0.0
2020-04-02T00:00:00.000Z,5,0,0.0,5,0.0
2020-04-03T00:00:00.000Z,5,0,0.0,5,0.0
2020-04-04T00:00:00.000Z,5,0,0.0,5,0.0
2020-04-05T00:00:00.000Z,5,0,0.0,5,0.0
2020-04-06T00:00:00.000Z,5,0,0.0,5,0.0
2020-04-07T00:00:00.000Z,5,0,0.0,5,0.0
2020-04-08T00:00:00.000Z,5,0,0.0,3,0.0
2020-04-09T00:00:00.000Z,5,0,0.0,3,0.0
2020-04-10T00:00:00.000Z,6,0,1.0,2,0.0
2020-04-11T00:00:00.000Z,6,0,0.0,2,0.0
2020-04-12T00:00:00.000Z,6,0,0.0,2,0.0
2020-04-13T00:00:00.000Z,6,0,0.0,2,0.0
2020-04-14T00:00:00.000Z,7,0,1.0,3,0.0
2020-04-15T00:00:00.000Z,8,0,1.0,4,0.0
2020-04-16T00:00:00.000Z,8,0,0.0,4,0.0
2020-04-17T00:00:00.000Z,12,0,4.0,8,0.0
2020-04-18T00:00:00.000Z,12,0,0.0,8,0.0
2020-04-19T00:00:00.000Z,16,0,4.0,11,0.0
2020-04-20T00:00:00.000Z,18,0,2.0,13,0.0
2020-04-21T00:00:00.000Z,18,0,0.0,13,0.0
2020-04-22T00:00:00.000Z,19,0,1.0,14,0.0
2020-04-23T00:00:00.000Z,25,0,6.0,20,0.0
2020-04-24T00:00:00.000Z,25,0,0.0,20,0.0
2020-04-25T00:00:00.000Z,26,0,1.0,20,0.0
2020-04-26T00:00:00.000Z,31,0,5.0,25,0.0
2020-04-27T00:00:00.000Z,34,0,3.0,27,0.0
2020-04-28T00:00:00.000Z,37,0,3.0,30,0.0
