date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-17,1,0,1,1,0
2020-03-18,1,0,0,1,0
2020-03-19,6,0,5,6,0
2020-03-20,6,0,0,6,0
2020-03-21,9,0,3,9,0
2020-03-22,9,0,0,9,0
2020-03-23,9,0,0,9,0
2020-03-24,13,0,4,13,0
2020-03-25,13,0,0,13,0
2020-03-26,20,0,7,17,0
2020-03-27,20,0,0,17,0
2020-03-28,24,0,4,21,0
2020-03-29,24,0,0,23,0
2020-03-30,24,0,0,23,0
2020-03-31,33,0,9,30,0
2020-04-01,33,0,0,25,0
2020-04-02,38,0,5,26,0
2020-04-03,39,0,1,26,0
2020-04-04,40,0,1,27,0
2020-04-05,40,0,0,27,0
2020-04-06,44,0,4,22,0
2020-04-07,51,0,7,29,0
2020-04-08,56,0,5,31,0
2020-04-09,59,0,3,34,0
2020-04-10,61,0,2,29,0
2020-04-11,74,0,13,42,0
2020-04-12,78,0,4,43,0
2020-04-13,85,0,7,50,0
2020-04-14,93,0,8,56,0
2020-04-15,105,0,12,68,0
2020-04-16,111,0,6,67,0
2020-04-17,115,0,4,68,0
2020-04-18,126,1,11,77,1
2020-04-19,141,1,15,92,0
2020-04-20,149,1,8,97,0
2020-04-21,233,1,84,178,0
2020-04-22,243,1,10,183,0
2020-04-23,271,1,28,206,0
2020-04-24,304,1,33,233,0
2020-04-25,337,1,33,255,0
2020-04-26,395,1,58,308,0
2020-04-27,454,1,59,366,0
2020-04-28,539,1,85,451,0
2020-04-29,629,1,90,533,0
2020-04-30,703,1,74,601,0
2020-05-01,935,1,232,785,0
2020-05-02,1016,1,81,866,0
2020-05-03,1091,1,75,941,0
2020-05-04,1144,1,53,978,0
2020-05-05,1277,1,133,1111,0
2020-05-06,1353,3,76,1160,2
2020-05-07,1429,3,76,1217,0
2020-05-08,1584,3,155,1347,0
2020-05-09,1705,3,121,1436,0
2020-05-10,1844,3,139,1574,0
2020-05-11,1952,3,108,1669,0
2020-05-12,2163,3,211,1781,0
2020-05-13,2298,3,135,1871,0
2020-05-14,2362,4,64,1861,1
2020-05-15,2466,5,104,1920,1
2020-05-16,2571,6,105,1970,1
2020-05-17,2731,6,160,2121,0
2020-05-18,2861,6,130,2231,0
2020-05-19,2999,7,138,2182,1
2020-05-20,3134,8,135,2244,1
