date,total_cases,cured,total_deaths
2020-03-17,1,0,0
2020-03-18,1,0,0
2020-03-19,3,0,0
2020-03-20,3,0,0
2020-03-21,3,0,0
2020-03-22,3,0,0
2020-03-23,3,0,0
2020-03-24,3,0,0
2020-03-25,3,0,0
2020-03-26,3,0,0
2020-03-27,3,0,0
2020-03-28,3,0,0
2020-03-29,3,3,0
2020-03-30,3,2,0
2020-03-31,3,2,0
2020-04-01,6,2,0
2020-04-02,6,2,0
2020-04-03,6,2,0
2020-04-04,7,2,0
2020-04-05,7,2,0
2020-04-06,15,2,0
2020-04-07,15,3,0
2020-04-08,21,3,0
2020-04-09,21,3,0
2020-04-10,33,3,0
2020-04-11,33,6,0
2020-04-12,48,6,0
2020-04-13,48,6,0
2020-04-14,83,6,0
2020-04-15,83,6,0
2020-04-16,133,6,0
2020-04-17,133,8,0
2020-04-18,187,8,0
2020-04-19,187,8,0
2020-04-20,209,8,0
2020-04-21,222,14,0
2020-04-22,240,14,0
2020-04-23,263,25,0
2020-04-24,298,37,1
2020-04-25,343,47,1
2020-04-26,399,47,1
2020-04-27,460,48,1
2020-04-28,493,50,1
2020-04-29,537,77,1
2020-04-30,612,93,2
2020-05-01,675,106,2
2020-05-02,729,110,2
2020-05-03,789,113,2
2020-05-04,842,114,2
2020-05-05,909,125,2
2020-05-06,971,134,2
2020-05-07,1046,156,2
2020-05-08,1131,189,2
2020-05-09,1221,250,2
2020-05-10,1312,279,2
2020-05-11,1403,293,2
2020-05-12,1483,314,2
2020-05-13,1568,358,3
2020-05-14,1654,435,3
2020-05-15,1737,471,3
2020-05-16,1819,503,4
2020-05-17,1902,523,4
2020-05-18,1984,544,4
2020-05-19,2069,574,4
2020-05-20,2154,635,5
2020-05-21,2238,682,5
2020-05-22,2321,761,5
2020-05-23,2400,794,5
2020-05-24,2475,838,6
2020-05-25,2547,845,6
2020-05-26,2622,886,6
2020-05-27,2699,921,6
2020-05-28,2772,990,7
2020-05-29,2845,1030,7
2020-05-30,2916,1088,7
2020-05-31,2983,1133,7
2020-06-01,3047,1176,7
2020-06-02,3110,1221,8
2020-06-03,3175,1272,8
2020-06-04,3242,1405,8
2020-06-05,3307,1443,8
2020-06-06,3371,1474,8
2020-06-07,3439,1517,8
2020-06-08,3504,1534,8
2020-06-09,3569,1611,8
2020-06-10,3636,1677,8
2020-06-11,3704,1753,8
2020-06-12,3770,1788,10
2020-06-13,3834,1823,10
2020-06-14,3897,1847,10
2020-06-15,3962,1874,10
2020-06-16,4026,1964,12
2020-06-17,4088,2037,12
2020-06-18,4152,2103,18
2020-06-19,4210,2197,18
2020-06-20,4265,2246,18
2020-06-21,4318,2287,18
2020-06-22,4368,2306,18
2020-06-23,4413,2396,18
2020-06-24,4457,2492,18
2020-06-25,4503,2513,18
2020-06-26,4548,2558,18
2020-06-27,4592,2627,19
2020-06-28,4637,2710,19
2020-06-29,4681,2775,19
2020-06-30,4727,2880,19
2020-07-01,4772,2930,19
2020-07-02,4816,2961,19
2020-07-03,4859,3031,19
2020-07-04,4901,3162,19
2020-07-05,4944,3200,19
2020-07-06,4988,3229,19
2020-07-07,5030,3359,19
2020-07-08,5073,3418,19
2020-07-09,5114,3545,19
2020-07-10,5157,3604,19
2020-07-11,5199,3681,19
2020-07-12,5239,3698,19
2020-07-13,5280,3714,19
2020-07-14,5320,3827,21
2020-07-15,5361,3987,28
2020-07-16,5401,4076,28
2020-07-17,5443,4160,30
2020-07-18,5484,4216,30
2020-07-19,5524,4248,30
2020-07-20,5566,4257,30
2020-07-21,5607,4382,30
2020-07-22,5649,4459,30
2020-07-23,5689,4505,30
2020-07-24,5728,4556,30
2020-07-25,5766,4593,30
2020-07-26,5805,4602,30
2020-07-27,5842,4609,30
2020-07-28,5878,4712,30
2020-07-29,5926,4768,30
2020-07-30,5959,4790,30
2020-07-31,5990,4862,30
2020-08-01,6019,4890,30
2020-08-02,6047,4890,30
2020-08-03,6075,4933,30
2020-08-04,6103,4967,30
2020-08-05,6130,4988,36
2020-08-06,6157,5018,36
2020-08-07,6184,5052,36
2020-08-08,6210,5098,37
2020-08-09,6236,5107,37
2020-08-10,6261,5113,37
2020-08-11,6286,5142,37
2020-08-12,6311,5238,43
2020-08-13,6336,5275,44
2020-08-14,6360,5299,44
2020-08-15,6384,5320,44
2020-08-16,6408,5322,44
2020-08-17,6432,5326,44
2020-08-18,6455,5375,44
2020-08-19,6477,5414,44
2020-08-20,6499,5435,44
2020-08-21,6521,5512,44
