date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-24,7,0,7,7,0
2020-03-25,7,0,0,7,0
2020-03-26,10,0,3,10,0
2020-03-27,11,0,1,10,0
2020-03-28,14,0,3,13,0
2020-03-29,14,0,0,13,0
2020-03-30,14,0,0,13,0
2020-03-31,19,0,5,17,0
2020-04-01,19,0,0,17,0
2020-04-02,19,0,0,17,0
2020-04-03,25,0,6,19,0
2020-04-04,25,0,0,19,0
2020-04-05,25,0,0,19,0
2020-04-06,41,0,16,35,0
2020-04-07,41,0,0,33,0
2020-04-08,41,0,0,31,0
2020-04-09,50,0,9,40,0
2020-04-10,50,0,0,39,0
2020-04-11,73,0,23,62,0
2020-04-12,73,0,0,59,0
2020-04-13,84,0,11,70,0
2020-04-14,107,0,23,93,0
2020-04-15,107,0,0,93,0
2020-04-16,128,0,21,114,0
2020-04-17,144,0,16,126,0
2020-04-18,160,0,16,135,0
2020-04-19,191,0,31,166,0
2020-04-20,230,0,39,205,0
2020-04-21,280,0,50,250,0
2020-04-22,355,0,75,322,0
2020-04-23,412,0,57,379,0
2020-04-24,426,0,14,389,0
2020-04-25,491,0,65,443,0
2020-04-26,562,0,71,511,0
2020-04-27,632,0,70,578,0
2020-04-28,697,0,65,625,0
2020-04-29,752,1,55,674,1
2020-04-30,823,1,71,740,0
2020-05-01,894,1,71,806,0
2020-05-02,960,2,66,860,1
2020-05-03,1031,2,71,916,0
2020-05-04,1117,3,86,987,1
2020-05-05,1208,3,91,1059,0
2020-05-06,1310,3,102,1142,0
2020-05-07,1415,4,105,1231,1
2020-05-08,1498,4,83,1270,0
2020-05-09,1586,5,88,1246,1
2020-05-10,1671,5,85,1311,0
2020-05-11,1761,5,90,1301,0
2020-05-12,1832,6,71,1192,1
2020-05-13,1919,6,87,1179,0
2020-05-14,1980,6,61,1090,0
2020-05-15,2064,6,84,1058,0
2020-05-16,2148,7,84,1040,1
2020-05-17,2232,7,84,1059,0
2020-05-18,2312,7,80,1117,0
2020-05-19,2400,8,88,1099,1
2020-05-20,2475,8,75,1023,0
2020-05-21,2546,8,71,1094,0
2020-05-22,2621,8,75,923,0
2020-05-23,2697,9,76,872,1
2020-05-24,2787,9,90,880,0
2020-05-25,2849,9,62,890,0
2020-05-26,2912,9,63,820,0
2020-05-27,2966,9,54,740,0
2020-05-28,3026,10,60,676,1
2020-05-29,3079,10,53,597,0
2020-05-30,3142,10,63,557,0
2020-05-31,3194,10,52,578,0
2020-06-01,3244,10,50,554,0
2020-06-02,3297,10,53,483,0
2020-06-03,3351,10,54,360,0
2020-06-04,3402,10,51,272,0
2020-06-05,3452,10,50,217,0
2020-06-06,3504,10,52,54,0
2020-06-07,3558,10,54,81,0
2020-06-08,3611,10,53,68,0
2020-06-09,3665,10,54,102,0
2020-06-10,3720,10,55,134,0
2020-06-11,3774,10,54,167,0
2020-06-12,3823,10,49,212,0
2020-06-13,3868,10,45,254,0
2020-06-14,3914,10,46,297,0
2020-06-15,3958,10,44,337,0
2020-06-16,4001,10,43,377,0
2020-06-17,4040,10,39,412,0
2020-06-18,4078,10,38,446,0
2020-06-19,4114,11,36,479,1
2020-06-20,4152,11,38,512,0
2020-06-21,4192,11,40,547,0
2020-06-22,4231,11,39,584,0
2020-06-23,4271,11,40,619,0
2020-06-24,4310,11,39,654,0
2020-06-25,4350,11,40,689,0
2020-06-26,4390,11,40,706,0
2020-06-27,4431,11,41,741,0
2020-06-28,4472,11,41,779,0
2020-06-29,4514,11,42,819,0
2020-06-30,4555,11,41,852,0
2020-07-01,4595,12,40,885,1
2020-07-02,4634,12,39,914,0
2020-07-03,4673,13,39,930,1
2020-07-04,4711,13,38,953,0
2020-07-05,4749,13,38,985,0
2020-07-06,4787,13,38,1015,0
2020-07-07,4823,14,36,1037,1
2020-07-08,4858,14,35,1060,0
2020-07-09,4893,15,35,1085,1
2020-07-10,4929,15,36,1096,0
2020-07-11,4964,15,35,1052,0
2020-07-12,4997,15,33,1081,0
2020-07-13,5029,15,32,1113,0
2020-07-14,5061,16,32,1113,1
2020-07-15,5093,16,32,1114,0
2020-07-16,5126,17,33,1085,1
2020-07-17,5157,18,31,1084,1
2020-07-18,5186,19,29,1051,1
2020-07-19,5215,19,29,1075,0
2020-07-20,5248,19,33,1091,0
2020-07-21,5278,21,30,1073,2
2020-07-22,5309,21,31,1054,0
2020-07-23,5341,21,32,1014,0
2020-07-24,5372,21,31,1004,0
2020-07-25,5404,21,32,994,0
2020-07-26,5436,21,32,1026,0
2020-07-27,5469,22,33,1057,1
2020-07-28,5501,22,32,1065,0
2020-07-29,5534,22,33,1062,0
2020-07-30,5569,22,35,1070,0
2020-07-31,5602,22,33,1043,0
2020-08-01,5633,22,31,1072,0
2020-08-02,5664,22,31,1099,0
2020-08-03,5694,23,30,1126,1
2020-08-04,5723,24,29,1126,1
2020-08-05,5751,25,28,1130,1
2020-08-06,5781,27,30,1110,2
2020-08-07,5810,27,29,1101,0
2020-08-08,5841,27,31,1098,0
2020-08-09,5872,27,31,1122,0
2020-08-10,5902,27,30,1152,0
2020-08-11,5930,27,28,1152,0
2020-08-12,5959,28,29,1139,1
2020-08-13,5988,28,29,1132,0
2020-08-14,6018,28,30,1131,0
2020-08-15,6046,29,28,1096,1
2020-08-16,6075,29,29,1121,0
2020-08-17,6103,29,28,1145,0
2020-08-18,6133,29,30,1150,0
2020-08-19,6161,31,28,1148,2
2020-08-20,6191,31,30,1129,0
2020-08-21,6220,31,29,1136,0
2020-08-22,6250,32,30,1122,1
2020-08-23,6279,32,29,1151,0
2020-08-24,6308,32,29,1180,0
2020-08-25,6338,32,30,1174,0
2020-08-26,6367,32,29,1160,0
2020-08-27,6396,32,29,1161,0
2020-08-28,6424,33,28,1166,1
2020-08-29,6453,34,29,1156,1
2020-08-30,6481,34,28,1184,0
2020-08-31,6509,34,28,1212,0
