date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-04-03T00:00:00.000Z,1,0,1.0,1,0.0
2020-04-04T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-05T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-06T00:00:00.000Z,1,0,0.0,1,0.0
2020-04-07T00:00:00.000Z,7,0,6.0,7,0.0
2020-04-08T00:00:00.000Z,25,0,18.0,25,0.0
2020-04-09T00:00:00.000Z,25,0,0.0,25,0.0
2020-04-10T00:00:00.000Z,29,0,4.0,29,0.0
2020-04-11T00:00:00.000Z,29,0,0.0,29,0.0
2020-04-12T00:00:00.000Z,29,1,0.0,29,1.0
2020-04-13T00:00:00.000Z,34,1,5.0,34,0.0
2020-04-14T00:00:00.000Z,34,1,0.0,34,0.0
2020-04-15T00:00:00.000Z,90,1,56.0,89,0.0
2020-04-16T00:00:00.000Z,153,2,63.0,152,1.0
2020-04-17T00:00:00.000Z,191,2,38.0,190,0.0
2020-04-18T00:00:00.000Z,227,4,36.0,205,2.0
2020-04-19T00:00:00.000Z,269,5,42.0,247,1.0
2020-04-20T00:00:00.000Z,308,5,39.0,286,0.0
2020-04-21T00:00:00.000Z,354,9,46.0,324,4.0
2020-04-22T00:00:00.000Z,397,12,43.0,359,3.0
2020-04-23T00:00:00.000Z,436,13,39.0,386,1.0
2020-04-24T00:00:00.000Z,474,13,38.0,418,0.0
2020-04-25T00:00:00.000Z,515,13,41.0,448,0.0
2020-04-26T00:00:00.000Z,552,13,37.0,477,0.0
2020-04-27T00:00:00.000Z,590,17,38.0,500,4.0
2020-04-28T00:00:00.000Z,633,18,43.0,536,1.0
2020-04-29T00:00:00.000Z,679,19,46.0,577,1.0
2020-04-30T00:00:00.000Z,722,20,43.0,617,1.0
2020-05-01T00:00:00.000Z,769,22,47.0,640,2.0
2020-05-02T00:00:00.000Z,814,23,45.0,662,1.0
2020-05-03T00:00:00.000Z,865,25,51.0,707,2.0
2020-05-04T00:00:00.000Z,918,26,53.0,732,1.0
2020-05-05T00:00:00.000Z,966,26,48.0,776,0.0
2020-05-06T00:00:00.000Z,1018,27,52.0,820,1.0
2020-05-07T00:00:00.000Z,1067,28,49.0,819,1.0
