date,total_cases,cured,total_deaths
2020-04-01,2,0,0
2020-04-02,4,0,0
2020-04-03,4,0,0
2020-04-04,5,0,0
2020-04-05,5,0,0
2020-04-06,8,0,0
2020-04-07,9,0,0
2020-04-08,15,0,1
2020-04-09,22,0,1
2020-04-10,27,1,1
2020-04-11,27,1,1
2020-04-12,34,1,1
2020-04-13,34,1,2
2020-04-14,52,1,2
2020-04-15,52,1,2
2020-04-16,52,3,2
2020-04-17,65,3,2
2020-04-18,94,5,2
2020-04-19,120,7,2
2020-04-20,145,8,2
2020-04-21,177,8,2
2020-04-22,211,8,2
2020-04-23,242,18,2
2020-04-24,275,18,2
2020-04-25,305,35,2
2020-04-26,348,35,2
2020-04-27,401,57,2
2020-04-28,549,57,2
2020-04-29,670,72,2
2020-04-30,763,72,3
2020-05-01,836,84,4
2020-05-02,921,86,4
2020-05-03,990,86,6
2020-05-04,1069,86,6
2020-05-05,1160,158,7
2020-05-06,1253,158,7
2020-05-07,1342,241,9
2020-05-08,1436,262,10
2020-05-09,1505,296,10
2020-05-10,1575,296,10
2020-05-11,1647,296,10
2020-05-12,1723,305,12
2020-05-13,1801,436,13
2020-05-14,1871,797,13
2020-05-15,1943,903,13
2020-05-16,2016,1018,15
2020-05-17,2090,1041,15
2020-05-18,2165,1050,15
2020-05-19,2242,1105,15
2020-05-20,2314,1164,18
2020-05-21,2387,1205,22
2020-05-22,2456,1371,22
2020-05-23,2523,1416,23
2020-05-24,2585,1498,27
2020-05-25,2645,1499,27
2020-05-26,2702,1570,32
2020-05-27,2755,1625,32
2020-05-28,2807,1660,37
2020-05-29,2858,1758,43
2020-05-30,2907,1918,46
2020-05-31,2957,1952,46
2020-06-01,3005,1968,50
2020-06-02,3055,2070,56
2020-06-03,3104,2231,57
2020-06-04,3151,2536,57
2020-06-05,3197,2702,57
2020-06-06,3241,3033,57
2020-06-07,3283,3066,57
2020-06-08,3324,3100,57
2020-06-09,3364,3121,57
2020-06-10,3403,3142,57
2020-06-11,3440,3165,58
2020-06-12,3477,3186,58
2020-06-13,3513,3190,66
2020-06-14,3547,3212,66
2020-06-15,3581,3222,66
2020-06-16,3613,3247,66
2020-06-17,3645,3267,66
2020-06-18,3676,3290,66
2020-06-19,3706,3312,66
2020-06-20,3737,3334,66
2020-06-21,3768,3354,66
2020-06-22,3798,3370,66
2020-06-23,3826,3386,66
2020-06-24,3854,3412,66
2020-06-25,3883,3435,66
2020-06-26,3910,3455,67
2020-06-27,3935,3485,67
2020-06-28,3960,3496,67
2020-06-29,3984,3505,67
2020-06-30,4006,3525,67
2020-07-01,4028,3542,67
2020-07-02,4049,3550,67
2020-07-03,4070,3559,67
2020-07-04,4092,3567,67
2020-07-05,4114,3576,67
2020-07-06,4135,3584,67
2020-07-07,4155,3601,67
2020-07-08,4175,3611,67
2020-07-09,4193,3618,67
2020-07-10,4209,3647,67
2020-07-11,4224,3670,67
2020-07-12,4240,3688,67
2020-07-13,4256,3700,67
2020-07-14,4271,3718,67
2020-07-15,4287,3740,67
2020-07-16,4303,3741,67
2020-07-17,4320,3743,67
2020-07-18,4337,3746,67
2020-07-19,4353,3746,67
2020-07-20,4369,3746,67
2020-07-21,4384,3749,67
2020-07-22,4399,3756,67
2020-07-23,4415,3759,67
2020-07-24,4431,3784,67
2020-07-25,4448,3913,67
2020-07-26,4465,3921,67
2020-07-27,4483,3924,67
2020-07-28,4501,3955,67
2020-07-29,4517,3990,67
2020-07-30,4531,4021,67
2020-07-31,4544,4098,67
2020-08-01,4557,4106,67
2020-08-02,4568,4106,67
2020-08-03,4578,4106,67
2020-08-04,4587,4115,67
2020-08-05,4596,4119,67
2020-08-06,4604,4128,67
2020-08-07,4611,4137,67
2020-08-08,4618,4153,67
2020-08-09,4624,4153,67
2020-08-10,4630,4167,67
2020-08-11,4635,4192,67
2020-08-12,4642,4235,67
2020-08-13,4650,4237,67
2020-08-14,4659,4253,67
2020-08-15,4669,4268,67
2020-08-16,4679,4268,67
2020-08-17,4690,4268,67
2020-08-18,4700,4292,67
2020-08-19,4712,4302,67
2020-08-20,4725,4305,67
2020-08-21,4740,4312,67
2020-08-22,4755,4322,67
2020-08-23,4771,4322,67
2020-08-24,4787,4322,67
2020-08-25,4804,4336,67
2020-08-26,4821,4351,67
2020-08-27,4840,4351,67
2020-08-28,4860,4365,67
2020-08-29,4880,4384,67
2020-08-30,4901,4384,67
2020-08-31,4922,4384,67
2020-09-01,4943,4419,67
2020-09-02,4966,4453,67
2020-09-03,4989,4461,67
2020-09-04,5013,4473,67
2020-09-05,5037,4489,67
2020-09-06,5062,4498,67
2020-09-07,5087,4498,67
2020-09-08,5111,4498,67
2020-09-09,5137,4508,67
2020-09-10,5163,4516,68
2020-09-11,5191,4535,68
2020-09-12,5220,4543,68
2020-09-13,5250,4547,68
2020-09-14,5280,4547,68
2020-09-15,5311,4558,68
2020-09-16,5343,4573,68
2020-09-17,5375,4580,68
2020-09-18,5408,4599,68
2020-09-19,5440,4607,68
2020-09-20,5474,4609,68
2020-09-21,5508,4609,68
2020-09-22,5541,4640,68
2020-09-23,5575,4648,68
2020-09-24,5609,4656,68
2020-09-25,5644,4658,68
2020-09-26,5679,4683,69
