date,total_cases,cured,total_deaths
2020-03-18,1,0,0
2020-03-19,1,0,0
2020-03-20,1,0,0
2020-03-21,1,0,0
2020-03-22,1,0,0
2020-03-23,1,0,0
2020-03-24,1,0,0
2020-03-25,1,0,0
2020-03-26,2,0,0
2020-03-27,2,0,0
2020-03-28,2,0,0
2020-03-29,3,1,0
2020-03-30,3,1,0
2020-03-31,3,1,0
2020-04-01,3,1,0
2020-04-02,3,1,0
2020-04-03,3,1,0
2020-04-04,3,1,0
2020-04-05,3,1,0
2020-04-06,3,1,0
2020-04-07,3,1,0
2020-04-08,4,1,0
2020-04-09,4,1,0
2020-04-10,4,1,0
2020-04-11,4,3,0
2020-04-12,4,3,0
2020-04-13,8,3,0
2020-04-14,15,4,0
2020-04-15,15,4,0
2020-04-16,21,4,0
2020-04-17,21,4,0
2020-04-18,24,4,0
2020-04-19,29,4,0
2020-04-20,33,4,0
2020-04-21,37,4,0
2020-04-22,43,4,0
2020-04-23,52,4,0
2020-04-24,59,4,0
2020-04-25,66,4,0
2020-04-26,67,4,0
2020-04-27,76,11,0
2020-04-28,81,11,0
2020-04-29,87,19,0
2020-04-30,89,21,0
2020-05-01,97,24,1
2020-05-02,102,24,1
2020-05-03,119,27,1
2020-05-04,128,27,1
2020-05-05,147,41,2
2020-05-06,160,41,2
2020-05-07,162,41,2
2020-05-08,176,48,2
2020-05-09,191,51,2
2020-05-10,210,56,2
2020-05-11,279,56,3
2020-05-12,294,58,3
2020-05-13,311,67,4
2020-05-14,320,69,4
2020-05-15,329,80,4
2020-05-16,343,88,4
2020-05-17,363,88,4
2020-05-18,381,90,4
2020-05-19,397,95,4
2020-05-20,409,103,4
2020-05-21,429,109,4
2020-05-22,450,119,4
2020-05-23,479,122,4
2020-05-24,507,166,9
2020-05-25,536,166,9
2020-05-26,564,203,10
2020-05-27,595,223,10
2020-05-28,622,237,10
2020-05-29,645,279,11
2020-05-30,667,307,11
2020-05-31,688,323,11
2020-06-01,716,326,11
2020-06-02,739,340,11
2020-06-03,765,359,11
2020-06-04,797,381,11
2020-06-05,832,386,11
2020-06-06,868,426,11
2020-06-07,922,440,11
2020-06-08,971,474,11
2020-06-09,1018,499,11
2020-06-10,1066,524,11
2020-06-11,1116,552,11
2020-06-12,1167,564,11
2020-06-13,1215,576,11
2020-06-14,1268,599,11
2020-06-15,1314,608,11
2020-06-16,1370,648,11
2020-06-17,1426,684,11
2020-06-18,1515,715,11
2020-06-19,1598,750,14
2020-06-20,1667,779,14
2020-06-21,1725,787,14
2020-06-22,1785,791,14
2020-06-23,1846,810,14
2020-06-24,1909,849,14
2020-06-25,1968,862,14
2020-06-26,2031,885,14
2020-06-27,2089,922,14
2020-06-28,2144,960,14
2020-06-29,2197,963,14
2020-06-30,2254,1079,14
2020-07-01,2307,1134,14
2020-07-02,2364,1189,17
2020-07-03,2417,1243,17
2020-07-04,2480,1295,20
2020-07-05,2557,1350,20
2020-07-06,2608,1403,20
2020-07-07,2661,1457,21
2020-07-08,2717,1512,21
2020-07-09,2771,1571,21
2020-07-10,2846,1613,22
2020-07-11,2915,1641,23
2020-07-12,2974,1673,23
2020-07-13,3041,1707,24
2020-07-14,3112,1739,24
2020-07-15,3173,1771,25
2020-07-16,3262,1807,25
2020-07-17,3314,1836,25
2020-07-18,3375,1882,26
2020-07-19,3435,1925,26
2020-07-20,3493,1968,26
2020-07-21,3608,2034,27
2020-07-22,3661,2092,28
2020-07-23,3717,2156,28
2020-07-24,3766,2219,29
2020-07-25,3821,2283,29
2020-07-26,3872,2348,30
2020-07-27,3926,2413,30
2020-07-28,3979,2484,31
2020-07-29,4040,2544,33
2020-07-30,4091,2593,34
2020-07-31,4150,2651,36
2020-08-01,4210,2724,37
2020-08-02,4261,2781,38
2020-08-03,4310,2843,38
2020-08-04,4358,2901,40
2020-08-05,4411,2969,40
2020-08-06,4471,3032,42
2020-08-07,4525,3098,43
2020-08-08,4576,3161,43
2020-08-09,4626,3218,45
2020-08-10,4682,3275,45
2020-08-11,4738,3329,48
2020-08-12,4792,3363,48
2020-08-13,4840,3424,49
2020-08-14,4885,3533,51
2020-08-15,4936,3611,51
2020-08-16,4979,3673,52
2020-08-17,5024,3740,54
2020-08-18,5068,3790,54
2020-08-19,5110,3884,54
2020-08-20,5150,3955,57
2020-08-21,5191,4003,57
2020-08-22,5242,4105,59
2020-08-23,5287,4203,59
2020-08-24,5331,4233,59
2020-08-25,5371,4261,62
2020-08-26,5409,4353,62
2020-08-27,5452,4432,64
2020-08-28,5494,4545,65
2020-08-29,5536,4608,66
2020-08-30,5596,4681,67
2020-08-31,5706,4696,69
2020-09-01,5748,4711,69
2020-09-02,5795,4777,69
2020-09-03,5839,4802,69
2020-09-04,5890,4863,71
2020-09-05,5942,4899,71
2020-09-06,5994,4943,72
2020-09-07,6039,4963,72
2020-09-08,6094,4981,72
2020-09-09,6147,5032,74
2020-09-10,6203,5084,74
2020-09-11,6264,5109,75
2020-09-12,6319,5132,75
2020-09-13,6369,5200,76
2020-09-14,6421,5231,76
2020-09-15,6479,5251,77
2020-09-16,6530,5314,77
2020-09-17,6583,5339,77
2020-09-18,6645,5411,78
2020-09-19,6713,5462,78
2020-09-20,6775,5554,79
2020-09-21,6834,5578,79
2020-09-22,6895,5598,79
2020-09-23,6960,5694,81
2020-09-24,7025,5781,81
2020-09-25,7098,5880,82
2020-09-26,7174,5956,82
2020-09-27,7249,6039,84
2020-09-28,7320,6082,84
2020-09-29,7401,6127,85
2020-09-30,7490,6210,85
2020-10-01,7579,6275,87
2020-10-02,7670,6350,87
2020-10-03,7768,6406,87
2020-10-04,7876,6476,88
2020-10-05,7982,6496,88
2020-10-06,8103,6511,88
2020-10-07,8213,6583,88
2020-10-08,8323,6660,90
2020-10-09,8454,6751,90
2020-10-10,8593,6839,90
2020-10-11,8741,6960,92
