,date,confirmed,cured,deaths
0,2020-03-15T00:00:00.000Z,1,1,0
1,2020-03-16T00:00:00.000Z,1,1,0
2,2020-03-17T00:00:00.000Z,1,1,0
3,2020-03-18T00:00:00.000Z,1,1,0
4,2020-03-19T00:00:00.000Z,1,1,0
5,2020-03-20T00:00:00.000Z,1,1,0
6,2020-03-21T00:00:00.000Z,1,1,0
7,2020-03-22T00:00:00.000Z,1,1,0
8,2020-03-23T00:00:00.000Z,1,1,0
9,2020-03-24T00:00:00.000Z,1,1,0
10,2020-03-25T00:00:00.000Z,1,1,0
11,2020-03-26T00:00:00.000Z,1,1,0
12,2020-03-27T00:00:00.000Z,1,1,0
13,2020-03-28T00:00:00.000Z,1,1,0
14,2020-03-29T00:00:00.000Z,1,1,0
15,2020-03-30T00:00:00.000Z,1,1,0
16,2020-03-31T00:00:00.000Z,1,1,0
17,2020-04-01T00:00:00.000Z,1,1,0
18,2020-04-02T00:00:00.000Z,1,1,0
19,2020-04-03T00:00:00.000Z,1,1,0
20,2020-04-04T00:00:00.000Z,1,1,0
21,2020-04-05T00:00:00.000Z,2,1,0
22,2020-04-06T00:00:00.000Z,1,1,0
23,2020-04-07T00:00:00.000Z,3,1,0
24,2020-04-08T00:00:00.000Z,4,1,0
25,2020-04-09T00:00:00.000Z,4,1,0
26,2020-04-10T00:00:00.000Z,4,1,0
27,2020-04-11T00:00:00.000Z,8,1,0
28,2020-04-12T00:00:00.000Z,8,1,0
29,2020-04-13T00:00:00.000Z,14,1,0
30,2020-04-14T00:00:00.000Z,14,1,0
31,2020-04-15T00:00:00.000Z,28,1,0
32,2020-04-16T00:00:00.000Z,30,1,0
33,2020-04-17T00:00:00.000Z,38,1,0
34,2020-04-18T00:00:00.000Z,39,4,0
35,2020-04-19T00:00:00.000Z,48,4,0
36,2020-04-20T00:00:00.000Z,48,4,0
37,2020-04-21T00:00:00.000Z,50,4,0
38,2020-04-22T00:00:00.000Z,61,5,0
39,2020-04-23T00:00:00.000Z,64,5,0
40,2020-04-24T00:00:00.000Z,73,7,0
41,2020-04-25T00:00:00.000Z,83,13,0
42,2020-04-26T00:00:00.000Z,90,13,0
43,2020-04-27T00:00:00.000Z,96,14,0
44,2020-04-28T00:00:00.000Z,103,14,0
45,2020-04-29T00:00:00.000Z,109,25,0
46,2020-04-30T00:00:00.000Z,114,26,0
47,2020-05-01T00:00:00.000Z,134,39,0
48,2020-05-02T00:00:00.000Z,155,49,0
49,2020-05-03T00:00:00.000Z,167,53,0
50,2020-05-04T00:00:00.000Z,198,67,0
51,2020-05-05T00:00:00.000Z,215,78,0
52,2020-05-06T00:00:00.000Z,238,83,0
53,2020-05-07T00:00:00.000Z,254,88,0
54,2020-05-08T00:00:00.000Z,262,92,0
55,2020-05-09T00:00:00.000Z,272,104,0
56,2020-05-10T00:00:00.000Z,305,111,0
57,2020-05-11T00:00:00.000Z,344,115,0
58,2020-05-12T00:00:00.000Z,364,132,1
59,2020-05-13T00:00:00.000Z,386,140,1
60,2020-05-14T00:00:00.000Z,432,157,1
61,2020-05-15T00:00:00.000Z,454,178,2
62,2020-05-16T00:00:00.000Z,486,195,3
63,2020-05-17T00:00:00.000Z,510,212,4
64,2020-05-18T00:00:00.000Z,550,225,5
65,2020-05-19T00:00:00.000Z,595,254,6
66,2020-05-20T00:00:00.000Z,615,268,7
67,2020-05-21T00:00:00.000Z,646,301,7
68,2020-05-22T00:00:00.000Z,684,341,10
69,2020-05-23T00:00:00.000Z,727,371,12
70,2020-05-24T00:00:00.000Z,758,381,12
71,2020-05-25T00:00:00.000Z,817,385,12
72,2020-05-26T00:00:00.000Z,879,417,14
73,2020-05-27T00:00:00.000Z,938,447,17
74,2020-05-28T00:00:00.000Z,991,470,17
75,2020-05-29T00:00:00.000Z,1019,470,18
76,2020-05-30T00:00:00.000Z,1095,513,19
77,2020-05-31T00:00:00.000Z,1097,538,20
78,2020-06-01T00:00:00.000Z,1136,548,20
79,2020-06-02T00:00:00.000Z,1165,576,21
80,2020-06-03T00:00:00.000Z,1218,633,22
81,2020-06-04T00:00:00.000Z,1257,708,24
82,2020-06-05T00:00:00.000Z,1321,750,26
83,2020-06-06T00:00:00.000Z,1398,807,27
84,2020-06-07T00:00:00.000Z,1471,837,27
85,2020-06-08T00:00:00.000Z,1551,862,29
86,2020-06-09T00:00:00.000Z,1634,942,31
87,2020-06-10T00:00:00.000Z,1704,951,32
88,2020-06-11T00:00:00.000Z,1765,996,38
89,2020-06-12T00:00:00.000Z,1841,1076,40
90,2020-06-13T00:00:00.000Z,1907,1109,40
91,2020-06-14T00:00:00.000Z,1996,1123,40
92,2020-06-15T00:00:00.000Z,2081,1130,40
93,2020-06-16T00:00:00.000Z,2174,1178,40
94,2020-06-17T00:00:00.000Z,2263,1242,40
95,2020-06-18T00:00:00.000Z,2325,1307,40
96,2020-06-19T00:00:00.000Z,2391,1352,40
97,2020-06-20T00:00:00.000Z,2458,1430,40
98,2020-06-21T00:00:00.000Z,2527,1440,40
99,2020-06-22T00:00:00.000Z,2596,1467,40
100,2020-06-23T00:00:00.000Z,2667,1556,40
101,2020-06-24T00:00:00.000Z,2738,1608,40
102,2020-06-25T00:00:00.000Z,2793,1656,41
103,2020-06-26T00:00:00.000Z,2854,1723,41
104,2020-06-27T00:00:00.000Z,2916,1826,41
105,2020-06-28T00:00:00.000Z,2975,1847,41
106,2020-06-29T00:00:00.000Z,3038,1854,41
107,2020-06-30T00:00:00.000Z,3100,2000,42
108,2020-07-01T00:00:00.000Z,3161,2107,42
109,2020-07-02T00:00:00.000Z,3212,2152,42
110,2020-07-03T00:00:00.000Z,3260,2184,42
111,2020-07-04T00:00:00.000Z,3309,2275,43
112,2020-07-05T00:00:00.000Z,3355,2307,43
113,2020-07-06T00:00:00.000Z,3399,2329,44
114,2020-07-07T00:00:00.000Z,3441,2422,44
115,2020-07-08T00:00:00.000Z,3480,2503,44
116,2020-07-09T00:00:00.000Z,3516,2595,44
117,2020-07-10T00:00:00.000Z,3555,2642,44
118,2020-07-11T00:00:00.000Z,3595,2703,44
119,2020-07-12T00:00:00.000Z,3638,2707,45
120,2020-07-13T00:00:00.000Z,3683,2750,45
121,2020-07-14T00:00:00.000Z,3728,2845,46
122,2020-07-15T00:00:00.000Z,3767,2887,46
123,2020-07-16T00:00:00.000Z,3802,2958,47
124,2020-07-17T00:00:00.000Z,3835,2996,47
125,2020-07-18T00:00:00.000Z,3867,3108,47
126,2020-07-19T00:00:00.000Z,3897,3137,47
127,2020-07-20T00:00:00.000Z,3927,3155,47
128,2020-07-21T00:00:00.000Z,3952,3266,47
129,2020-07-22T00:00:00.000Z,3971,3327,47
130,2020-07-23T00:00:00.000Z,3988,3396,47
131,2020-07-24T00:00:00.000Z,4002,3437,47
132,2020-07-25T00:00:00.000Z,4015,3498,47
133,2020-07-26T00:00:00.000Z,4026,3511,47
134,2020-07-27T00:00:00.000Z,4038,3516,47
135,2020-07-28T00:00:00.000Z,4050,3603,47
136,2020-07-29T00:00:00.000Z,4059,3645,47
137,2020-07-30T00:00:00.000Z,4070,3674,47
138,2020-07-31T00:00:00.000Z,4081,3699,47
139,2020-08-01T00:00:00.000Z,4094,3749,47
140,2020-08-02T00:00:00.000Z,4106,3751,47
141,2020-08-03T00:00:00.000Z,4118,3751,47
142,2020-08-04T00:00:00.000Z,4131,3768,47
143,2020-08-05T00:00:00.000Z,4142,3797,47
144,2020-08-06T00:00:00.000Z,4153,3830,47
145,2020-08-07T00:00:00.000Z,4165,3832,48
146,2020-08-08T00:00:00.000Z,4178,3836,49
147,2020-08-09T00:00:00.000Z,4194,3859,49
148,2020-08-10T00:00:00.000Z,4210,3860,49
149,2020-08-11T00:00:00.000Z,4224,3909,49
150,2020-08-12T00:00:00.000Z,4242,3943,49
151,2020-08-13T00:00:00.000Z,4260,3956,49
152,2020-08-14T00:00:00.000Z,4274,3979,50
153,2020-08-15T00:00:00.000Z,4287,4000,50
154,2020-08-16T00:00:00.000Z,4301,4000,51
155,2020-08-17T00:00:00.000Z,4313,4000,51
156,2020-08-18T00:00:00.000Z,4323,4021,51
157,2020-08-19T00:00:00.000Z,4338,4031,51
158,2020-08-20T00:00:00.000Z,4354,4039,51
159,2020-08-21T00:00:00.000Z,4370,4065,52
160,2020-08-22T00:00:00.000Z,4388,4069,52
161,2020-08-23T00:00:00.000Z,4408,4069,53
162,2020-08-24T00:00:00.000Z,4427,4071,54
163,2020-08-25T00:00:00.000Z,4446,4093,54
164,2020-08-26T00:00:00.000Z,4470,4100,55
165,2020-08-27T00:00:00.000Z,4493,4150,55
166,2020-08-28T00:00:00.000Z,4517,4178,56
167,2020-08-29T00:00:00.000Z,4541,4207,56
168,2020-08-30T00:00:00.000Z,4570,4207,56
169,2020-08-31T00:00:00.000Z,4600,4232,57
170,2020-09-01T00:00:00.000Z,4632,4265,57
