date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-19,3,0,3,3,0
2020-03-20,3,0,0,3,0
2020-03-21,5,0,2,5,0
2020-03-22,5,0,0,5,0
2020-03-23,5,0,0,5,0
2020-03-24,5,0,0,5,0
2020-03-25,7,0,2,7,0
2020-03-26,7,0,0,7,0
2020-03-27,8,0,1,8,0
2020-03-28,11,0,3,11,0
2020-03-29,11,0,0,11,0
2020-03-30,12,0,1,12,0
2020-03-31,12,0,0,9,0
2020-04-01,17,0,5,14,0
2020-04-02,17,0,0,14,0
2020-04-03,17,0,0,14,0
2020-04-04,19,0,2,16,0
2020-04-05,29,0,10,26,0
2020-04-06,39,0,10,35,0
2020-04-07,49,0,10,44,0
2020-04-08,54,0,5,49,0
2020-04-09,66,0,12,60,0
2020-04-10,71,0,5,64,0
2020-04-11,71,0,0,62,0
2020-04-12,74,0,3,65,0
2020-04-13,85,0,11,72,0
2020-04-14,85,0,0,72,0
2020-04-15,130,0,45,113,0
2020-04-16,174,0,44,155,0
2020-04-17,199,0,25,175,0
2020-04-18,229,0,30,204,0
2020-04-19,287,0,58,248,0
2020-04-20,309,0,22,268,0
2020-04-21,384,1,75,338,1
2020-04-22,436,2,52,387,1
2020-04-23,461,3,25,408,1
2020-04-24,505,3,44,452,0
2020-04-25,578,4,73,521,1
2020-04-26,644,5,66,585,1
2020-04-27,713,5,69,654,0
2020-04-28,783,5,70,724,0
2020-04-29,873,6,90,794,1
2020-04-30,965,7,92,869,1
2020-05-01,1047,7,82,926,0
2020-05-02,1135,7,88,997,0
2020-05-03,1218,8,83,1075,1
2020-05-04,1293,8,75,1138,0
2020-05-05,1368,9,75,1211,1
2020-05-06,1445,9,77,1258,0
2020-05-07,1530,10,85,1312,1
2020-05-08,1620,11,90,1357,1
2020-05-09,1706,12,86,1440,1
2020-05-10,1795,12,89,1504,0
2020-05-11,1881,12,86,1557,0
2020-05-12,1971,14,90,1638,2
2020-05-13,2060,14,89,1667,0
2020-05-14,2158,16,98,1676,2
2020-05-15,2263,18,105,1707,2
2020-05-16,2364,19,101,1721,1
2020-05-17,2461,19,97,1791,0
2020-05-18,2545,19,84,1856,0
2020-05-19,2637,19,92,1795,0
2020-05-20,2735,20,98,1815,1
2020-05-21,2824,20,89,1798,0
2020-05-22,2915,20,91,1811,0
2020-05-23,3005,20,90,1816,0
2020-05-24,3102,20,97,1902,0
2020-05-25,3213,20,111,2005,0
2020-05-26,3318,20,105,2009,0
2020-05-27,3422,24,104,1965,4
2020-05-28,3532,30,110,1968,6
2020-05-29,3644,33,112,1971,3
2020-05-30,3751,36,107,1972,3
