date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-04-10,9,0,9,9,0
2020-04-11,9,0,0,9,0
2020-04-12,9,0,0,9,0
2020-04-13,6,0,-3,6,0
2020-04-14,6,0,0,6,0
2020-04-15,6,0,0,6,0
2020-04-16,8,0,2,8,0
2020-04-17,9,0,1,9,0
2020-04-18,9,0,0,9,0
2020-04-19,13,0,4,13,0
2020-04-20,13,0,0,13,0
2020-04-21,13,0,0,13,0
2020-04-22,13,0,0,13,0
2020-04-23,14,0,1,14,0
2020-04-24,15,0,1,15,0
2020-04-25,24,0,9,24,0
2020-04-26,27,0,3,27,0
2020-04-27,30,0,3,30,0
2020-04-28,31,0,1,23,0
2020-04-29,31,0,0,6,0
2020-04-30,33,0,2,4,0
2020-05-01,39,0,6,10,0
2020-05-02,40,0,1,11,0
2020-05-03,43,0,3,14,0
2020-05-04,47,0,4,18,0
2020-05-05,51,0,4,22,0
2020-05-06,51,0,0,22,0
2020-05-07,55,0,4,26,0
2020-05-08,56,0,1,27,0
2020-05-09,60,0,4,31,0
2020-05-10,81,0,21,52,0
2020-05-11,93,0,12,64,0
2020-05-12,144,0,51,114,0
2020-05-13,157,1,13,114,1
2020-05-14,196,1,39,153,0
2020-05-15,222,1,26,178,0
2020-05-16,252,1,30,208,0
2020-05-17,269,1,17,225,0
2020-05-18,299,1,30,255,0
2020-05-19,351,1,52,303,0
2020-05-20,407,1,56,358,0
2020-05-21,451,1,44,401,0
2020-05-22,530,1,79,474,0
2020-05-23,576,1,46,519,0
2020-05-24,628,1,52,571,0
2020-05-25,706,1,78,649,0
2020-05-26,760,1,54,703,0
2020-05-27,818,1,58,738,0
2020-05-28,876,2,58,793,1
2020-05-29,942,2,66,856,0
2020-05-30,997,2,55,906,0
2020-05-31,1055,2,58,964,0
2020-06-01,1115,2,60,1022,0
2020-06-02,1161,2,46,987,0
2020-06-03,1221,2,60,994,0
2020-06-04,1297,2,76,1070,0
2020-06-05,1391,2,94,1159,0
2020-06-06,1489,2,98,1239,0
2020-06-07,1607,2,118,1340,0
2020-06-08,1738,2,131,1465,0
2020-06-09,1835,2,97,1498,0
2020-06-10,1914,2,79,1555,0
2020-06-11,2027,2,113,1659,0
2020-06-12,2203,2,176,1830,0
2020-06-13,2304,2,101,1926,0
2020-06-14,2494,2,190,2108,0
2020-06-15,2566,2,72,2173,0
2020-06-16,2651,2,85,2242,0
2020-06-17,2761,3,110,2314,1
2020-06-18,2883,3,122,2386,0
2020-06-19,2998,3,115,2472,0
2020-06-20,3138,3,140,2585,0
2020-06-21,3285,3,147,2706,0
2020-06-22,3435,3,150,2856,0
2020-06-23,3575,3,140,2972,0
2020-06-24,3713,3,138,3058,0
2020-06-25,3853,3,140,3079,0
2020-06-26,3983,3,130,3084,0
2020-06-27,4111,3,128,3114,0
2020-06-28,4235,3,124,3233,0
2020-06-29,4361,3,126,3266,0
2020-06-30,4486,3,125,3337,0
2020-07-01,4605,3,119,3388,0
2020-07-02,4717,3,112,3394,0
2020-07-03,4827,3,110,3446,0
2020-07-04,4927,4,100,3264,1
2020-07-05,5008,4,81,3287,0
2020-07-06,5083,13,75,3287,9
2020-07-07,5156,19,73,3241,6
2020-07-08,5226,25,70,3253,6
2020-07-09,5280,25,54,3273,0
2020-07-10,5325,31,45,3302,6
2020-07-11,5365,32,40,3337,1
2020-07-12,5404,32,39,3370,0
2020-07-13,5444,32,40,3405,0
2020-07-14,5490,40,46,3316,8
2020-07-15,5537,42,47,3171,2
2020-07-16,5582,45,45,3053,3
2020-07-17,5614,45,32,3015,0
2020-07-18,5652,45,38,2962,0
2020-07-19,5692,45,40,2852,0
2020-07-20,5732,45,40,2828,0
2020-07-21,5777,45,45,2739,0
2020-07-22,5812,46,35,2673,1
2020-07-23,5847,46,35,2611,0
2020-07-24,5883,46,36,2478,0
2020-07-25,5924,47,41,2375,1
2020-07-26,5956,47,32,2348,0
2020-07-27,5988,49,32,2312,2
2020-07-28,6018,50,30,2204,1
2020-07-29,6048,55,30,2141,5
2020-07-30,6080,55,32,2070,0
2020-07-31,6109,57,29,1979,2
2020-08-01,6137,57,28,1929,0
2020-08-02,6159,57,22,1919,0
2020-08-03,6189,58,30,1904,1
2020-08-04,6216,59,27,1789,1
2020-08-05,6241,60,25,1674,1
2020-08-06,6258,60,17,1643,0
2020-08-07,6284,60,26,1532,0
2020-08-08,6308,60,24,1348,0
2020-08-09,6333,60,25,1335,0
2020-08-10,6352,60,19,1288,0
2020-08-11,6375,60,23,1031,0
2020-08-12,6396,60,21,984,0
2020-08-13,6421,60,25,903,0
2020-08-14,6443,60,22,857,0
2020-08-15,6463,60,20,832,0
2020-08-16,6482,60,19,833,0
2020-08-17,6501,60,19,836,0
2020-08-18,6520,60,19,751,0
2020-08-19,6549,60,29,757,0
2020-08-20,6567,60,18,738,0
2020-08-21,6589,60,22,710,0
2020-08-22,6614,60,25,692,0
2020-08-23,6634,60,20,703,0
2020-08-24,6658,60,24,726,0
2020-08-25,6681,60,23,666,0
2020-08-26,6706,60,25,640,0
2020-08-27,6730,60,24,637,0
2020-08-28,6747,60,17,640,0
2020-08-29,6770,60,23,635,0
2020-08-30,6796,65,26,661,5
2020-08-31,6824,65,28,657,0
2020-09-01,6841,65,17,634,0
2020-09-02,6862,65,21,631,0
2020-09-03,6890,65,28,637,0
2020-09-04,6913,65,23,647,0
2020-09-05,6934,65,21,658,0
2020-09-06,6956,65,22,642,0
2020-09-07,6983,65,27,669,0
2020-09-08,7007,65,24,646,0
2020-09-09,7032,67,25,643,2
2020-09-10,7049,67,17,627,0
2020-09-11,7073,67,24,637,0
2020-09-12,7099,67,26,630,0
2020-09-13,7130,67,31,657,0
2020-09-14,7156,67,26,673,0
2020-09-15,7187,67,31,681,0
2020-09-16,7222,67,35,693,0
2020-09-17,7255,67,33,714,0
2020-09-18,7291,71,36,710,4
2020-09-19,7321,71,30,712,0
2020-09-20,7357,71,36,741,0
2020-09-21,7395,71,38,773,0
