date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-17,2,0,2,2,0
2020-03-18,2,0,0,2,0
2020-03-19,3,0,1,3,0
2020-03-20,3,0,0,3,0
2020-03-21,3,0,0,3,0
2020-03-22,3,0,0,3,0
2020-03-23,3,0,0,3,0
2020-03-24,3,0,0,3,0
2020-03-25,3,0,0,3,0
2020-03-26,3,0,0,3,0
2020-03-27,3,0,0,3,0
2020-03-28,3,0,0,1,0
2020-03-29,3,0,0,1,0
2020-03-30,4,0,1,2,0
2020-03-31,4,0,0,2,0
2020-04-01,5,0,1,3,0
2020-04-02,5,0,0,3,0
2020-04-03,6,0,1,3,0
2020-04-04,6,0,0,3,0
2020-04-05,6,0,0,4,0
2020-04-06,8,0,2,6,0
2020-04-07,8,0,0,6,0
2020-04-08,12,0,4,10,0
2020-04-09,19,0,7,17,0
2020-04-10,24,0,5,21,0
2020-04-11,31,0,7,28,0
2020-04-12,31,0,0,28,0
2020-04-13,75,0,44,72,0
2020-04-14,75,0,0,72,0
2020-04-15,117,0,42,108,0
2020-04-16,151,0,34,142,0
2020-04-17,188,0,37,179,0
2020-04-18,237,0,49,228,0
2020-04-19,270,0,33,258,0
2020-04-20,296,0,26,284,0
2020-04-21,329,0,33,314,0
2020-04-22,356,0,27,341,0
2020-04-23,383,0,27,368,0
2020-04-24,412,0,29,397,0
2020-04-25,441,0,29,417,0
2020-04-26,464,1,23,440,1
2020-04-27,498,1,34,474,0
2020-04-28,507,1,9,472,0
2020-04-29,518,1,11,479,0
2020-04-30,535,3,17,484,2
2020-05-01,564,3,29,490,0
2020-05-02,610,3,46,536,0
2020-05-03,661,3,51,587,0
2020-05-04,680,6,19,565,3
2020-05-05,709,8,29,526,2
2020-05-06,753,8,44,556,0
2020-05-07,769,8,16,543,0
2020-05-08,784,8,15,521,0
2020-05-09,822,10,38,506,2
2020-05-10,867,10,45,551,0
2020-05-11,898,10,31,554,0
2020-05-12,932,10,34,559,0
2020-05-13,942,10,10,525,0
2020-05-14,962,10,20,522,0
2020-05-15,1006,10,44,559,0
2020-05-16,1059,10,53,584,0
2020-05-17,1085,10,26,585,0
2020-05-18,1112,10,27,603,0
2020-05-19,1131,11,19,511,1
2020-05-20,1164,11,33,515,0
2020-05-21,1203,11,39,470,0
2020-05-22,1242,14,39,486,3
2020-05-23,1273,15,31,425,1
2020-05-24,1310,17,37,462,2
2020-05-25,1363,17,53,514,0
2020-05-26,1378,17,15,479,0
2020-05-27,1424,19,46,499,2
2020-05-28,1476,22,52,493,3
2020-05-29,1517,22,41,493,0
2020-05-30,1560,22,43,481,0
2020-05-31,1604,22,44,521,0
2020-06-01,1650,22,46,563,0
2020-06-02,1695,28,45,548,6
2020-06-03,1731,33,36,502,5
2020-06-04,1804,37,73,510,4
2020-06-05,1875,39,71,537,2
2020-06-06,1962,41,87,547,2
2020-06-07,2055,41,93,633,0
2020-06-08,2147,41,92,718,0
2020-06-09,2231,44,84,753,3
2020-06-10,2314,49,83,819,5
2020-06-11,2397,49,83,824,0
2020-06-12,2488,50,91,877,1
2020-06-13,2569,50,81,950,0
2020-06-14,2650,50,81,1005,0
2020-06-15,2728,50,78,1083,0
2020-06-16,2800,51,72,1095,1
2020-06-17,2869,52,69,1127,1
2020-06-18,2934,53,65,1115,1
2020-06-19,3001,55,67,1153,2
2020-06-20,3068,57,67,1113,2
2020-06-21,3134,57,66,1179,0
