date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-15,1,0,1,0,0
2020-03-16,2,0,1,1,0
2020-03-17,2,0,0,1,0
2020-03-18,2,0,0,1,0
2020-03-19,2,0,0,1,0
2020-03-20,3,0,1,2,0
2020-03-21,3,0,0,2,0
2020-03-22,3,0,0,2,0
2020-03-23,3,0,0,2,0
2020-03-24,3,0,0,2,0
2020-03-25,3,0,0,2,0
2020-03-26,3,0,0,2,0
2020-03-27,3,0,0,2,0
2020-03-28,3,0,0,2,0
2020-03-29,4,0,1,3,0
2020-03-30,4,0,0,3,0
2020-03-31,6,0,2,4,0
2020-04-01,6,0,0,4,0
2020-04-02,6,0,0,4,0
2020-04-03,11,0,5,9,0
2020-04-04,11,0,0,9,0
2020-04-05,11,0,0,9,0
2020-04-06,11,0,0,9,0
2020-04-07,18,0,7,14,0
2020-04-08,18,0,0,14,0
2020-04-09,19,0,1,15,0
2020-04-10,22,0,3,18,0
2020-04-11,30,1,8,22,1
2020-04-12,39,1,9,31,0
2020-04-13,53,1,14,44,0
2020-04-14,67,1,14,58,0
2020-04-15,85,1,18,75,0
2020-04-16,112,1,27,102,0
2020-04-17,146,2,34,136,1
2020-04-18,185,2,39,175,0
2020-04-19,227,2,42,207,0
2020-04-20,254,2,27,234,0
2020-04-21,290,2,36,262,0
2020-04-22,319,2,29,291,0
2020-04-23,341,2,22,307,0
2020-04-24,357,2,16,317,0
2020-04-25,374,3,17,324,1
2020-04-26,386,3,12,328,0
2020-04-27,399,3,13,338,0
2020-04-28,404,3,5,343,0
2020-04-29,420,3,16,332,0
2020-04-30,435,3,15,340,0
2020-05-01,442,3,7,333,0
2020-05-02,458,3,16,318,0
2020-05-03,495,3,37,334,0
2020-05-04,561,3,66,377,0
2020-05-05,589,4,28,403,1
2020-05-06,658,4,69,443,0
2020-05-07,683,5,25,458,1
2020-05-08,707,5,24,436,0
2020-05-09,730,5,23,446,0
2020-05-10,803,5,73,510,0
2020-05-11,832,5,29,532,0
2020-05-12,902,6,70,593,1
2020-05-13,977,6,75,662,0
2020-05-14,1018,6,41,695,0
2020-05-15,1057,6,39,700,0
2020-05-16,1102,7,45,723,1
2020-05-17,1135,7,33,687,0
2020-05-18,1181,7,46,733,0
2020-05-19,1227,7,46,765,0
2020-05-20,1267,7,40,779,0
2020-05-21,1278,7,11,727,0
2020-05-22,1331,7,53,761,0
2020-05-23,1366,7,35,775,0
2020-05-24,1411,7,45,786,0
2020-05-25,1448,7,37,805,0
2020-05-26,1490,7,42,841,0
2020-05-27,1532,7,42,838,0
2020-05-28,1562,7,30,805,0
2020-05-29,1580,7,18,797,0
2020-05-30,1608,8,28,796,1
2020-05-31,1638,8,30,826,0
2020-06-01,1661,8,23,843,0
2020-06-02,1702,8,41,833,0
2020-06-03,1749,8,47,827,0
2020-06-04,1798,9,49,836,1
2020-06-05,1834,10,36,831,1
2020-06-06,1873,11,39,826,1
2020-06-07,1908,12,35,851,1
2020-06-08,1947,12,39,880,0
2020-06-09,1981,12,34,897,0
2020-06-10,2013,12,32,869,0
2020-06-11,2047,12,34,871,0
2020-06-12,2069,13,22,847,1
2020-06-13,2119,13,50,885,0
2020-06-14,2196,14,77,945,1
2020-06-15,2269,14,73,1008,0
2020-06-16,2330,15,61,989,1
2020-06-17,2382,15,52,985,0
2020-06-18,2433,15,51,1006,0
2020-06-19,2480,15,47,1006,0
2020-06-20,2529,16,49,1026,1
2020-06-21,2574,16,45,1054,0
2020-06-22,2621,16,47,1089,0
2020-06-23,2667,16,46,1087,0
2020-06-24,2717,16,50,1096,0
2020-06-25,2766,16,49,1120,0
2020-06-26,2827,16,61,1143,0
2020-06-27,2886,16,59,1155,0
2020-06-28,2953,17,67,1207,1
2020-06-29,3018,17,65,1262,0
2020-06-30,3087,17,69,1275,0
2020-07-01,3155,18,68,1262,1
2020-07-02,3231,18,76,1289,0
2020-07-03,3316,18,85,1303,0
2020-07-04,3397,18,81,1324,0
2020-07-05,3480,18,83,1369,0
2020-07-06,3560,18,80,1419,0
2020-07-07,3638,18,78,1436,0
2020-07-08,3713,18,75,1462,0
2020-07-09,3785,18,72,1466,0
2020-07-10,3870,18,85,1496,0
2020-07-11,3952,19,82,1520,1
2020-07-12,4035,19,83,1557,0
2020-07-13,4120,20,85,1617,1
2020-07-14,4204,20,84,1602,0
2020-07-15,4286,21,82,1599,1
2020-07-16,4367,22,81,1599,1
2020-07-17,4451,22,84,1584,0
2020-07-18,4560,22,109,1592,0
2020-07-19,4667,22,107,1644,0
2020-07-20,4779,22,112,1726,0
2020-07-21,4885,22,106,1811,0
2020-07-22,4987,22,102,1620,0
2020-07-23,5090,23,103,1555,1
2020-07-24,5190,24,100,1503,1
2020-07-25,5291,24,101,1440,0
2020-07-26,5389,25,98,1479,1
2020-07-27,5484,25,95,1541,0
2020-07-28,5576,25,92,1453,0
2020-07-29,5666,25,90,1401,0
2020-07-30,5755,25,89,1383,0
2020-07-31,5844,25,89,1242,0
2020-08-01,5929,25,85,1113,0
2020-08-02,6019,25,90,1155,0
2020-08-03,6107,25,88,1200,0
2020-08-04,6189,25,82,1038,0
2020-08-05,6271,26,82,971,1
2020-08-06,6351,26,80,888,0
2020-08-07,6430,28,79,830,2
2020-08-08,6507,28,77,804,0
2020-08-09,6581,28,74,821,0
2020-08-10,6655,28,74,851,0
2020-08-11,6726,28,71,691,0
2020-08-12,6790,28,64,548,0
2020-08-13,6855,28,65,520,0
2020-08-14,6910,28,55,381,0
2020-08-15,6966,28,56,327,0
2020-08-16,7020,28,54,350,0
2020-08-17,7073,28,53,363,0
2020-08-18,7128,28,55,391,0
2020-08-19,7177,28,49,415,0
2020-08-20,7228,28,51,443,0
2020-08-21,7278,28,50,464,0
2020-08-22,7330,29,52,490,1
2020-08-23,7380,29,50,525,0
2020-08-24,7428,29,48,568,0
2020-08-25,7479,29,51,604,0
2020-08-26,7528,30,49,635,1
2020-08-27,7575,30,47,661,0
2020-08-28,7623,30,48,684,0
2020-08-29,7673,30,50,706,0
2020-08-30,7724,30,51,726,0
2020-08-31,7771,30,47,767,0
2020-09-01,7820,31,49,804,1
2020-09-02,7865,31,45,831,0
2020-09-03,7914,31,49,854,0
2020-09-04,7961,31,47,870,0
2020-09-05,8012,31,51,896,0
2020-09-06,8062,31,50,937,0
2020-09-07,8111,31,49,983,0
2020-09-08,8158,31,47,1006,0
2020-09-09,8206,31,48,1033,0
2020-09-10,8257,31,51,1053,0
2020-09-11,8310,31,53,1079,0
2020-09-12,8360,31,50,1101,0
2020-09-13,8415,31,55,1148,0
2020-09-14,8469,31,54,1199,0
2020-09-15,8520,32,51,1220,1
2020-09-16,8574,32,54,1247,0
2020-09-17,8631,32,57,1279,0
2020-09-18,8690,35,59,1312,3
2020-09-19,8754,36,64,1352,1
2020-09-20,8816,36,62,1408,0
2020-09-21,8881,36,65,1470,0
2020-09-22,8942,36,61,1504,0
2020-09-23,9005,36,63,1542,0
2020-09-24,9072,36,67,1580,0
2020-09-25,9142,36,70,1622,0
2020-09-26,9211,36,69,1667,0
2020-09-27,9282,37,71,1730,1
2020-09-28,9356,37,74,1795,0
2020-09-29,9428,38,72,1840,1
2020-09-30,9506,38,78,1890,0
2020-10-01,9587,38,81,1941,0
2020-10-02,9674,39,87,1998,1
2020-10-03,9765,40,91,2060,1
2020-10-04,9858,40,93,2144,0
2020-10-05,9955,40,97,2230,0
2020-10-06,10057,41,102,2302,1
2020-10-07,10162,42,105,2376,1
2020-10-08,10271,42,109,2453,0
2020-10-09,10383,43,112,2534,1
2020-10-10,10499,45,116,2620,2
2020-10-11,10617,45,118,2729,0
