date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-21,1,0,1,1,0
2020-03-22,1,0,0,1,0
2020-03-23,1,0,0,1,0
2020-03-24,1,0,0,1,0
2020-03-25,1,0,0,1,0
2020-03-26,1,0,0,1,0
2020-03-27,1,0,0,1,0
2020-03-28,1,0,0,1,0
2020-03-29,1,0,0,1,0
2020-03-30,1,0,0,1,0
2020-03-31,1,0,0,1,0
2020-04-01,1,0,0,1,0
2020-04-02,1,0,0,1,0
2020-04-03,1,0,0,0,0
2020-04-04,1,0,0,0,0
2020-04-05,1,0,0,0,0
2020-04-06,2,0,1,1,0
2020-04-07,4,0,2,3,0
2020-04-08,4,0,0,3,0
2020-04-09,6,0,2,5,0
2020-04-10,40,0,34,38,0
2020-04-11,62,0,22,60,0
2020-04-12,70,0,8,68,0
2020-04-13,86,0,16,84,0
2020-04-14,86,1,0,84,1
2020-04-15,104,1,18,102,0
2020-04-16,123,1,19,121,0
2020-04-17,138,2,15,136,1
2020-04-18,157,2,19,155,0
2020-04-19,168,2,11,165,0
2020-04-20,187,2,19,184,0
2020-04-21,196,2,9,191,0
2020-04-22,228,2,32,223,0
2020-04-23,253,2,25,248,0
2020-04-24,280,3,27,275,1
2020-04-25,307,3,27,302,0
2020-04-26,331,3,24,326,0
2020-04-27,360,4,29,355,1
2020-04-28,379,4,19,364,0
2020-04-29,406,4,27,384,0
2020-04-30,429,4,23,381,0
2020-05-01,461,4,32,396,0
2020-05-02,499,4,38,421,0
2020-05-03,528,4,29,445,0
2020-05-04,528,4,0,444,0
2020-05-05,573,4,45,484,0
2020-05-06,573,4,0,484,0
2020-05-07,605,4,32,493,0
2020-05-08,681,4,76,561,0
2020-05-09,765,4,84,621,0
2020-05-10,848,4,83,703,0
2020-05-11,886,4,38,734,0
2020-05-12,886,4,0,734,0
2020-05-13,932,5,46,750,1
2020-05-14,1012,5,80,790,0
2020-05-15,1081,5,69,835,0
2020-05-16,1159,5,78,896,0
2020-05-17,1260,5,101,984,0
2020-05-18,1366,5,106,1086,0
2020-05-19,1462,5,96,1092,0
2020-05-20,1526,6,64,1154,1
2020-05-21,1596,6,70,1193,0
2020-05-22,1666,6,70,1230,0
2020-05-23,1764,6,98,1302,0
2020-05-24,1861,6,97,1363,0
2020-05-25,1959,6,98,1453,0
2020-05-26,2051,7,92,1500,1
2020-05-27,2121,7,70,1535,0
2020-05-28,2196,7,75,1582,0
2020-05-29,2271,8,75,1637,1
2020-05-30,2369,8,98,1669,0
2020-05-31,2466,8,97,1753,0
2020-06-01,2567,8,101,1854,0
2020-06-02,2672,10,105,1929,2
2020-06-03,2770,12,98,1938,2
2020-06-04,2870,12,100,2009,0
2020-06-05,2965,12,95,2068,0
2020-06-06,3074,13,109,2137,1
2020-06-07,3168,14,94,2214,1
2020-06-08,3265,16,97,2311,2
2020-06-09,3359,16,94,2346,0
2020-06-10,3450,18,91,2355,2
2020-06-11,3538,18,88,2337,0
2020-06-12,3633,18,95,2378,0
2020-06-13,3783,18,150,2516,0
2020-06-14,3902,20,119,2615,2
2020-06-15,4048,21,146,2761,1
2020-06-16,4195,24,147,2786,3
2020-06-17,4344,24,149,2821,0
2020-06-18,4467,25,123,2841,1
2020-06-19,4589,30,122,2806,5
2020-06-20,4700,34,111,2762,4
2020-06-21,4810,34,110,2758,0
2020-06-22,4920,35,110,2808,1
2020-06-23,5026,35,106,2620,0
2020-06-24,5133,35,107,2527,0
2020-06-25,5242,35,109,2583,0
2020-06-26,5352,35,110,2642,0
2020-06-27,5461,36,109,2621,1
2020-06-28,5567,36,106,2676,0
2020-06-29,5674,36,107,2765,0
2020-06-30,5780,39,106,2777,3
2020-07-01,5888,43,108,2733,4
2020-07-02,5993,43,105,2785,0
2020-07-03,6096,43,103,2765,0
2020-07-04,6203,48,107,2762,5
2020-07-05,6308,48,105,2807,0
2020-07-06,6415,48,107,2874,0
2020-07-07,6520,49,105,2840,1
2020-07-08,6628,49,108,2830,0
2020-07-09,6733,52,105,2768,3
2020-07-10,6836,52,103,2711,0
2020-07-11,6944,52,108,2692,0
2020-07-12,7051,53,107,2797,1
2020-07-13,7162,53,111,2896,0
2020-07-14,7272,54,110,2877,1
2020-07-15,7382,54,110,2787,0
2020-07-16,7493,56,111,2772,2
2020-07-17,7596,59,103,2761,3
2020-07-18,7706,59,110,2760,0
2020-07-19,7818,59,112,2872,0
2020-07-20,7927,59,109,2946,0
2020-07-21,8037,60,110,2890,1
2020-07-22,8137,63,100,2845,3
2020-07-23,8247,65,110,2724,2
2020-07-24,8357,65,110,2577,0
2020-07-25,8461,65,104,2547,0
2020-07-26,8569,65,108,2644,0
2020-07-27,8671,66,102,2738,1
2020-07-28,8781,72,110,2744,6
2020-07-29,8885,72,104,2713,0
2020-07-30,8995,73,110,2722,1
2020-07-31,9095,73,100,2660,0
2020-08-01,9205,73,110,2640,0
2020-08-02,9307,73,102,2715,0
2020-08-03,9417,73,110,2805,0
2020-08-04,9526,73,109,2838,0
2020-08-05,9626,73,100,2821,0
2020-08-06,9735,73,109,2871,0
2020-08-07,9835,73,100,2797,0
2020-08-08,9935,73,100,2824,0
2020-08-09,10045,73,110,2893,0
2020-08-10,10140,73,95,2965,0
2020-08-11,10255,73,115,2985,0
2020-08-12,10346,73,91,2962,0
2020-08-13,10440,73,94,2983,0
2020-08-14,10526,73,86,2943,0
2020-08-15,10646,73,120,2974,0
2020-08-16,10737,73,91,3042,0
2020-08-17,10839,73,102,3129,0
2020-08-18,10934,73,95,3127,0
2020-08-19,11025,73,91,3145,0
2020-08-20,11124,76,99,3069,3
2020-08-21,11215,80,91,2922,4
2020-08-22,11302,87,87,2864,7
2020-08-23,11386,87,84,2826,0
2020-08-24,11473,91,87,2913,4
2020-08-25,11558,91,85,2840,0
2020-08-26,11638,91,80,2772,0
2020-08-27,11718,91,80,2748,0
2020-08-28,11807,91,89,2707,0
2020-08-29,11892,93,85,2427,2
2020-08-30,11981,93,89,2472,0
2020-08-31,12072,101,91,2563,8
2020-09-01,12164,101,92,2332,0
2020-09-02,12259,110,95,2307,9
2020-09-03,12353,111,94,2104,1
2020-09-04,12451,111,98,1991,0
2020-09-05,12550,111,99,1966,0
2020-09-06,12648,111,98,1993,0
2020-09-07,12745,111,97,2090,0
2020-09-08,12844,111,99,2001,0
2020-09-09,12949,120,105,1966,9
2020-09-10,13057,125,108,1918,5
2020-09-11,13166,125,109,1868,0
2020-09-12,13276,130,110,1878,5
2020-09-13,13404,130,128,2004,0
2020-09-14,13533,130,129,2123,0
2020-09-15,13661,134,128,2143,4
2020-09-16,13788,140,127,2130,6
2020-09-17,13913,140,125,2118,0
2020-09-18,14033,140,120,2001,0
2020-09-19,14154,140,121,2018,0
2020-09-20,14279,140,125,2123,0
2020-09-21,14403,147,124,2194,7
2020-09-22,14528,147,125,2066,0
2020-09-23,14651,147,123,2096,0
2020-09-24,14771,155,120,2058,8
2020-09-25,14892,155,121,2131,0
2020-09-26,15011,155,119,2069,0
2020-09-27,15128,162,117,2164,7
2020-09-28,15246,165,118,2261,3
2020-09-29,15365,165,119,2236,0
2020-09-30,15487,171,122,2294,6
2020-10-01,15612,171,125,2344,0
2020-10-02,15740,171,128,2397,0
2020-10-03,15869,172,129,2444,1
2020-10-04,16010,172,141,2519,0
2020-10-05,16155,173,145,2601,1
2020-10-06,16304,173,149,2650,0
2020-10-07,16452,173,148,2751,0
2020-10-08,16600,173,148,2812,0
2020-10-09,16750,173,150,2868,0
2020-10-10,16902,175,152,2929,2
2020-10-11,17062,180,160,3059,5
