date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-30,2,0,2,2,0
2020-03-31,2,0,0,2,0
2020-04-01,9,0,7,9,0
2020-04-02,12,0,3,12,0
2020-04-03,12,0,0,12,0
2020-04-04,13,0,1,13,0
2020-04-05,13,0,0,13,0
2020-04-06,23,0,10,23,0
2020-04-07,23,0,0,23,0
2020-04-08,27,0,4,27,0
2020-04-09,35,0,8,35,0
2020-04-10,38,0,3,38,0
2020-04-11,39,0,1,39,0
2020-04-12,42,0,3,42,0
2020-04-13,43,0,1,43,0
2020-04-14,50,0,7,50,0
2020-04-15,52,0,2,52,0
2020-04-16,67,0,15,59,0
2020-04-17,77,0,10,68,0
2020-04-18,86,0,9,73,0
2020-04-19,93,0,7,80,0
2020-04-20,100,0,7,87,0
2020-04-21,107,0,7,94,0
2020-04-22,114,0,7,91,0
2020-04-23,120,0,6,97,0
2020-04-24,129,0,9,103,0
2020-04-25,138,0,9,109,0
2020-04-26,145,0,7,112,0
2020-04-27,155,0,10,122,0
2020-04-28,160,0,5,119,0
2020-04-29,166,0,6,121,0
2020-04-30,173,0,7,128,0
2020-05-01,184,0,11,134,0
2020-05-02,199,0,15,134,0
2020-05-03,219,0,20,151,0
2020-05-04,223,0,4,148,0
2020-05-05,230,0,7,153,0
2020-05-06,236,1,6,154,1
2020-05-07,241,1,5,157,0
2020-05-08,253,1,12,165,0
2020-05-09,267,1,14,177,0
2020-05-10,286,1,19,188,0
2020-05-11,298,1,12,194,0
2020-05-12,317,1,19,211,0
2020-05-13,334,1,17,221,0
2020-05-14,346,2,12,181,1
2020-05-15,361,2,15,189,0
2020-05-16,398,3,37,222,1
2020-05-17,431,3,33,251,0
2020-05-18,454,3,23,259,0
2020-05-19,477,3,23,281,0
2020-05-20,502,3,25,298,0
2020-05-21,528,3,26,306,0
2020-05-22,562,3,34,331,0
2020-05-23,603,4,41,359,1
2020-05-24,643,4,40,392,0
2020-05-25,665,4,22,404,0
2020-05-26,699,4,34,432,0
2020-05-27,774,5,75,498,1
2020-05-28,833,5,59,530,0
2020-05-29,860,7,27,540,2
2020-05-30,882,7,22,550,0
2020-05-31,929,7,47,581,0
2020-06-01,952,7,23,595,0
2020-06-02,979,7,27,599,0
2020-06-03,998,11,19,559,4
2020-06-04,1018,11,20,552,0
2020-06-05,1035,11,17,546,0
2020-06-06,1056,11,21,548,0
2020-06-07,1084,11,28,552,0
2020-06-08,1111,11,27,569,0
2020-06-09,1137,11,26,570,0
2020-06-10,1159,13,22,542,2
2020-06-11,1189,13,30,528,0
2020-06-12,1221,13,32,528,0
2020-06-13,1254,13,33,506,0
2020-06-14,1284,13,30,524,0
2020-06-15,1302,13,18,521,0
2020-06-16,1317,14,15,518,1
2020-06-17,1335,14,18,510,0
2020-06-18,1359,15,24,496,1
2020-06-19,1386,16,27,456,1
2020-06-20,1408,16,22,442,0
2020-06-21,1428,16,20,431,0
2020-06-22,1445,16,17,425,0
2020-06-23,1466,17,21,424,1
2020-06-24,1487,17,21,409,0
2020-06-25,1508,17,21,421,0
2020-06-26,1526,17,18,416,0
2020-06-27,1546,17,20,409,0
2020-06-28,1565,17,19,419,0
2020-06-29,1586,17,21,432,0
2020-06-30,1607,17,21,426,0
2020-07-01,1628,17,21,408,0
2020-07-02,1646,17,18,422,0
2020-07-03,1666,17,20,418,0
2020-07-04,1688,17,22,418,0
2020-07-05,1709,17,21,408,0
2020-07-06,1730,17,21,417,0
2020-07-07,1749,17,19,383,0
2020-07-08,1770,17,21,361,0
2020-07-09,1790,17,20,363,0
2020-07-10,1818,19,28,371,2
2020-07-11,1856,19,38,379,0
2020-07-12,1888,19,32,404,0
2020-07-13,1915,19,27,429,0
2020-07-14,1944,19,29,422,0
2020-07-15,1972,19,28,437,0
2020-07-16,2002,19,30,454,0
2020-07-17,2032,19,30,455,0
2020-07-18,2061,19,29,447,0
2020-07-19,2088,19,27,467,0
2020-07-20,2114,19,26,485,0
2020-07-21,2140,19,26,171,0
2020-07-22,2165,19,25,196,0
2020-07-23,2192,19,27,223,0
2020-07-24,2218,20,26,249,1
2020-07-25,2245,20,27,276,0
2020-07-26,2271,20,26,302,0
2020-07-27,2297,21,26,328,1
2020-07-28,2324,21,27,355,0
2020-07-29,2351,24,27,382,3
2020-07-30,2378,24,27,409,0
2020-07-31,2406,25,28,437,1
2020-08-01,2434,25,28,453,0
2020-08-02,2461,25,27,477,0
2020-08-03,2488,25,27,496,0
2020-08-04,2516,26,28,512,1
