date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-19T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-20T00:00:00.000Z,7,0,6.0,7,0.0
2020-03-21T00:00:00.000Z,7,0,0.0,7,0.0
2020-03-22T00:00:00.000Z,7,0,0.0,7,0.0
2020-03-23T00:00:00.000Z,7,0,0.0,7,0.0
2020-03-24T00:00:00.000Z,7,0,0.0,7,0.0
2020-03-25T00:00:00.000Z,10,0,3.0,10,0.0
2020-03-26T00:00:00.000Z,14,0,4.0,14,0.0
2020-03-27T00:00:00.000Z,14,0,0.0,14,0.0
2020-03-28T00:00:00.000Z,14,0,0.0,14,0.0
2020-03-29T00:00:00.000Z,15,0,1.0,15,0.0
2020-03-30T00:00:00.000Z,15,0,0.0,15,0.0
2020-03-31T00:00:00.000Z,15,0,0.0,15,0.0
2020-04-01T00:00:00.000Z,15,0,0.0,14,0.0
2020-04-02T00:00:00.000Z,15,0,0.0,11,0.0
2020-04-03T00:00:00.000Z,15,0,0.0,11,0.0
2020-04-04T00:00:00.000Z,15,0,0.0,11,0.0
2020-04-05T00:00:00.000Z,15,0,0.0,11,0.0
2020-04-06T00:00:00.000Z,15,0,0.0,11,0.0
2020-04-07T00:00:00.000Z,15,0,0.0,8,0.0
2020-04-08T00:00:00.000Z,16,0,1.0,9,0.0
2020-04-09T00:00:00.000Z,16,0,0.0,8,0.0
2020-04-10T00:00:00.000Z,16,0,0.0,6,0.0
2020-04-11T00:00:00.000Z,19,0,3.0,6,0.0
2020-04-12T00:00:00.000Z,22,0,3.0,9,0.0
2020-04-13T00:00:00.000Z,25,0,3.0,12,0.0
2020-04-14T00:00:00.000Z,26,0,1.0,13,0.0
2020-04-15T00:00:00.000Z,33,0,7.0,18,0.0
2020-04-16T00:00:00.000Z,35,0,2.0,20,0.0
2020-04-17T00:00:00.000Z,47,0,12.0,32,0.0
2020-04-18T00:00:00.000Z,47,0,0.0,31,0.0
2020-04-19T00:00:00.000Z,88,0,41.0,72,0.0
2020-04-20T00:00:00.000Z,107,0,19.0,91,0.0
2020-04-21T00:00:00.000Z,111,0,4.0,95,0.0
2020-04-22T00:00:00.000Z,126,0,15.0,110,0.0
2020-04-23T00:00:00.000Z,130,0,4.0,113,0.0
2020-04-24T00:00:00.000Z,137,0,7.0,119,0.0
2020-04-25T00:00:00.000Z,145,0,8.0,127,0.0
2020-04-26T00:00:00.000Z,157,1,12.0,139,1.0
2020-04-27T00:00:00.000Z,159,1,2.0,141,0.0
2020-04-28T00:00:00.000Z,170,1,11.0,148,0.0
2020-04-29T00:00:00.000Z,183,2,13.0,158,1.0
2020-04-30T00:00:00.000Z,212,3,29.0,179,1.0
2020-05-01T00:00:00.000Z,229,3,17.0,196,0.0
2020-05-02T00:00:00.000Z,263,3,34.0,228,0.0
2020-05-03T00:00:00.000Z,282,4,19.0,243,1.0
2020-05-04T00:00:00.000Z,311,4,29.0,268,0.0
2020-05-05T00:00:00.000Z,331,4,20.0,287,0.0
2020-05-06T00:00:00.000Z,348,4,17.0,302,0.0
2020-05-07T00:00:00.000Z,385,4,37.0,319,0.0
2020-05-08T00:00:00.000Z,437,4,52.0,371,0.0
2020-05-09T00:00:00.000Z,477,4,40.0,394,0.0
2020-05-10T00:00:00.000Z,510,4,33.0,404,0.0
2020-05-11T00:00:00.000Z,551,4,41.0,431,0.0
