date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-04-02,2,0,2,2,0
2020-04-03,12,0,10,12,0
2020-04-04,12,0,0,12,0
2020-04-05,12,0,0,12,0
2020-04-06,12,0,0,12,0
2020-04-07,30,0,18,30,0
2020-04-08,41,0,11,41,0
2020-04-09,41,0,0,41,0
2020-04-10,41,1,0,41,1
2020-04-11,50,1,9,50,0
2020-04-12,62,1,12,62,0
2020-04-13,66,1,4,66,0
2020-04-14,66,1,0,66,0
2020-04-15,73,1,7,73,0
2020-04-16,95,1,22,95,0
2020-04-17,101,1,6,96,0
2020-04-18,106,1,5,99,0
2020-04-19,116,1,10,109,0
2020-04-20,140,1,24,133,0
2020-04-21,146,1,6,139,0
2020-04-22,149,1,3,127,0
2020-04-23,243,1,94,221,0
2020-04-24,266,1,23,231,0
2020-04-25,303,1,37,268,0
2020-04-26,348,1,45,313,0
2020-04-27,375,1,27,340,0
2020-04-28,387,1,12,348,0
2020-04-29,409,1,22,308,0
2020-04-30,463,1,54,358,0
2020-05-01,514,1,51,398,0
2020-05-02,557,1,43,439,0
2020-05-03,608,3,51,479,2
2020-05-04,712,3,104,583,0
2020-05-05,820,3,108,689,0
2020-05-06,925,3,105,788,0
2020-05-07,1018,3,93,874,0
2020-05-08,1054,3,36,896,0
2020-05-09,1105,3,51,947,0
2020-05-10,1177,3,72,1011,0
2020-05-11,1239,3,62,1061,0
2020-05-12,1311,3,72,1132,0
2020-05-13,1360,3,49,1166,0
2020-05-14,1433,3,73,1235,0
2020-05-15,1548,3,115,1328,0
2020-05-16,1598,3,50,1364,0
2020-05-17,1689,3,91,1454,0
2020-05-18,1748,3,59,1502,0
2020-05-19,1806,3,58,1555,0
2020-05-20,1838,5,32,1557,2
2020-05-21,1902,5,64,1578,0
2020-05-22,1989,5,87,1591,0
2020-05-23,2025,5,36,1339,0
2020-05-24,2054,6,29,1334,1
2020-05-25,2092,6,38,1368,0
2020-05-26,2151,6,59,1393,0
2020-05-27,2202,6,51,1414,0
2020-05-28,2249,7,47,1393,1
2020-05-29,2280,9,31,1382,2
2020-05-30,2310,9,30,1357,0
2020-05-31,2375,9,65,1400,0
2020-06-01,2415,10,40,1431,1
2020-06-02,2466,10,51,1303,0
2020-06-03,2479,11,13,1272,1
2020-06-04,2534,11,55,1227,0
2020-06-05,2579,11,45,1239,0
2020-06-06,2621,11,42,1245,0
2020-06-07,2694,11,73,1265,0
2020-06-08,2777,11,83,1302,0
2020-06-09,2833,13,56,1358,2
2020-06-10,2887,13,54,1405,0
2020-06-11,2964,13,77,1479,0
2020-06-12,3086,15,122,1599,2
2020-06-13,3211,15,125,1720,0
2020-06-14,3325,16,114,1829,1
2020-06-15,3412,17,87,1913,1
2020-06-16,3505,18,93,1946,1
2020-06-17,3586,21,81,1943,3
2020-06-18,3713,21,127,2018,0
2020-06-19,3834,22,121,2101,1
2020-06-20,3966,25,132,2175,3
2020-06-21,4131,25,165,2313,0
2020-06-22,4271,27,140,2409,2
2020-06-23,4416,30,145,2512,3
2020-06-24,4553,33,137,2586,3
2020-06-25,4709,34,156,2703,1
2020-06-26,4858,34,149,2800,0
2020-06-27,5005,34,147,2852,0
2020-06-28,5159,37,154,2911,3
2020-06-29,5332,37,173,3050,0
2020-06-30,5580,37,248,3202,0
2020-07-01,5783,39,203,3349,2
2020-07-02,5980,40,197,3518,1
2020-07-03,6171,42,191,3658,2
2020-07-04,6368,43,197,3771,1
2020-07-05,6555,44,187,3920,1
2020-07-06,6752,45,197,4098,1
2020-07-07,6941,47,189,4252,2
2020-07-08,7143,47,202,4386,0
2020-07-09,7339,51,196,4499,4
2020-07-10,7547,52,208,4617,1
2020-07-11,7742,56,195,4774,4
2020-07-12,7954,56,212,4926,0
2020-07-13,8159,56,205,5106,0
2020-07-14,8370,57,211,5094,1
2020-07-15,8572,57,202,5037,0
2020-07-16,8759,59,187,5054,2
2020-07-17,8965,59,206,4987,0
2020-07-18,9147,60,182,5050,1
2020-07-19,9323,60,176,5169,0
2020-07-20,9478,60,155,5102,0
2020-07-21,9656,64,178,5067,4
