,date,confirmed,cured,deaths
0,2020-03-15T00:00:00.000Z,2,0,0
1,2020-03-16T00:00:00.000Z,2,0,0
2,2020-03-17T00:00:00.000Z,2,0,0
3,2020-03-18T00:00:00.000Z,2,0,0
4,2020-03-19T00:00:00.000Z,2,0,0
5,2020-03-20T00:00:00.000Z,2,0,0
6,2020-03-21T00:00:00.000Z,2,0,0
7,2020-03-22T00:00:00.000Z,2,0,0
8,2020-03-23T00:00:00.000Z,2,0,0
9,2020-03-24T00:00:00.000Z,2,1,0
10,2020-03-25T00:00:00.000Z,2,1,0
11,2020-03-26T00:00:00.000Z,3,1,0
12,2020-03-27T00:00:00.000Z,3,1,0
13,2020-03-28T00:00:00.000Z,3,2,0
14,2020-03-29T00:00:00.000Z,3,2,0
15,2020-03-30T00:00:00.000Z,3,2,0
16,2020-03-31T00:00:00.000Z,3,2,0
17,2020-04-01T00:00:00.000Z,3,2,0
18,2020-04-02T00:00:00.000Z,3,2,0
19,2020-04-03T00:00:00.000Z,3,2,0
20,2020-04-04T00:00:00.000Z,3,2,0
21,2020-04-05T00:00:00.000Z,3,2,0
22,2020-04-06T00:00:00.000Z,5,2,0
23,2020-04-07T00:00:00.000Z,5,2,0
24,2020-04-08T00:00:00.000Z,7,2,0
25,2020-04-09T00:00:00.000Z,7,3,0
26,2020-04-10T00:00:00.000Z,11,3,0
27,2020-04-11T00:00:00.000Z,12,3,0
28,2020-04-12T00:00:00.000Z,12,3,0
29,2020-04-13T00:00:00.000Z,14,3,0
30,2020-04-14T00:00:00.000Z,14,3,0
31,2020-04-15T00:00:00.000Z,15,4,0
32,2020-04-16T00:00:00.000Z,18,5,0
33,2020-04-17T00:00:00.000Z,22,5,0
34,2020-04-18T00:00:00.000Z,35,6,1
35,2020-04-19T00:00:00.000Z,35,6,1
36,2020-04-20T00:00:00.000Z,41,6,1
37,2020-04-21T00:00:00.000Z,47,11,1
38,2020-04-22T00:00:00.000Z,56,11,1
39,2020-04-23T00:00:00.000Z,67,11,1
40,2020-04-24T00:00:00.000Z,76,11,1
41,2020-04-25T00:00:00.000Z,103,11,1
42,2020-04-26T00:00:00.000Z,107,11,1
43,2020-04-27T00:00:00.000Z,111,12,1
44,2020-04-28T00:00:00.000Z,114,12,2
45,2020-04-29T00:00:00.000Z,126,12,2
46,2020-04-30T00:00:00.000Z,128,18,2
47,2020-05-01T00:00:00.000Z,143,19,2
48,2020-05-02T00:00:00.000Z,153,20,2
49,2020-05-03T00:00:00.000Z,166,22,2
50,2020-05-04T00:00:00.000Z,166,22,4
51,2020-05-05T00:00:00.000Z,180,25,4
52,2020-05-06T00:00:00.000Z,198,26,4
53,2020-05-07T00:00:00.000Z,204,28,4
54,2020-05-08T00:00:00.000Z,204,50,5
55,2020-05-09T00:00:00.000Z,233,62,6
56,2020-05-10T00:00:00.000Z,251,72,6
57,2020-05-11T00:00:00.000Z,260,79,7
58,2020-05-12T00:00:00.000Z,269,80,7
59,2020-05-13T00:00:00.000Z,282,86,7
60,2020-05-14T00:00:00.000Z,282,92,7
61,2020-05-15T00:00:00.000Z,296,99,7
62,2020-05-16T00:00:00.000Z,321,106,7
63,2020-05-17T00:00:00.000Z,321,116,7
64,2020-05-18T00:00:00.000Z,328,118,7
65,2020-05-19T00:00:00.000Z,333,118,7
66,2020-05-20T00:00:00.000Z,342,126,7
67,2020-05-21T00:00:00.000Z,365,127,7
68,2020-05-22T00:00:00.000Z,377,128,7
69,2020-05-23T00:00:00.000Z,391,142,7
70,2020-05-24T00:00:00.000Z,406,148,7
71,2020-05-25T00:00:00.000Z,418,148,7
72,2020-05-26T00:00:00.000Z,431,162,7
73,2020-05-27T00:00:00.000Z,444,170,7
74,2020-05-28T00:00:00.000Z,462,189,7
75,2020-05-29T00:00:00.000Z,482,198,7
76,2020-05-30T00:00:00.000Z,495,228,7
77,2020-05-31T00:00:00.000Z,520,240,7
78,2020-06-01T00:00:00.000Z,545,240,7
79,2020-06-02T00:00:00.000Z,589,259,7
80,2020-06-03T00:00:00.000Z,616,261,7
81,2020-06-04T00:00:00.000Z,638,261,7
82,2020-06-05T00:00:00.000Z,666,270,7
83,2020-06-06T00:00:00.000Z,685,298,7
84,2020-06-07T00:00:00.000Z,721,316,7
85,2020-06-08T00:00:00.000Z,752,322,7
86,2020-06-09T00:00:00.000Z,786,332,7
87,2020-06-10T00:00:00.000Z,834,339,7
88,2020-06-11T00:00:00.000Z,868,351,7
89,2020-06-12T00:00:00.000Z,929,373,7
90,2020-06-13T00:00:00.000Z,997,397,7
91,2020-06-14T00:00:00.000Z,1019,412,7
92,2020-06-15T00:00:00.000Z,1042,424,7
93,2020-06-16T00:00:00.000Z,1062,437,7
94,2020-06-17T00:00:00.000Z,1079,442,7
95,2020-06-18T00:00:00.000Z,1099,466,7
96,2020-06-19T00:00:00.000Z,1157,470,7
97,2020-06-20T00:00:00.000Z,1218,510,7
98,2020-06-21T00:00:00.000Z,1277,532,7
99,2020-06-22T00:00:00.000Z,1352,533,8
100,2020-06-23T00:00:00.000Z,1396,583,8
101,2020-06-24T00:00:00.000Z,1424,622,8
102,2020-06-25T00:00:00.000Z,1454,651,9
103,2020-06-26T00:00:00.000Z,1488,683,9
104,2020-06-27T00:00:00.000Z,1532,701,9
105,2020-06-28T00:00:00.000Z,1579,713,9
106,2020-06-29T00:00:00.000Z,1622,713,9
107,2020-06-30T00:00:00.000Z,1662,734,9
108,2020-07-01T00:00:00.000Z,1703,768,9
