,date,confirmed,cured,deaths
0,2020-03-15T00:00:00.000Z,3,0,0
1,2020-03-16T00:00:00.000Z,3,0,0
2,2020-03-17T00:00:00.000Z,3,0,0
3,2020-03-18T00:00:00.000Z,3,0,0
4,2020-03-19T00:00:00.000Z,3,3,0
5,2020-03-20T00:00:00.000Z,3,3,0
6,2020-03-21T00:00:00.000Z,3,3,0
7,2020-03-22T00:00:00.000Z,3,3,0
8,2020-03-23T00:00:00.000Z,3,3,0
9,2020-03-24T00:00:00.000Z,5,3,0
10,2020-03-25T00:00:00.000Z,5,3,0
11,2020-03-26T00:00:00.000Z,5,3,0
12,2020-03-27T00:00:00.000Z,5,3,0
13,2020-03-28T00:00:00.000Z,8,3,0
14,2020-03-29T00:00:00.000Z,9,3,0
15,2020-03-30T00:00:00.000Z,10,3,0
16,2020-03-31T00:00:00.000Z,10,3,0
17,2020-04-01T00:00:00.000Z,11,3,0
18,2020-04-02T00:00:00.000Z,15,3,0
19,2020-04-03T00:00:00.000Z,18,3,0
20,2020-04-04T00:00:00.000Z,18,5,0
21,2020-04-05T00:00:00.000Z,18,5,0
22,2020-04-06T00:00:00.000Z,26,5,0
23,2020-04-07T00:00:00.000Z,26,5,0
24,2020-04-08T00:00:00.000Z,44,5,0
25,2020-04-09T00:00:00.000Z,48,5,0
26,2020-04-10T00:00:00.000Z,55,9,0
27,2020-04-11T00:00:00.000Z,58,10,0
28,2020-04-12T00:00:00.000Z,63,10,0
29,2020-04-13T00:00:00.000Z,69,10,0
30,2020-04-14T00:00:00.000Z,74,12,0
31,2020-04-15T00:00:00.000Z,85,15,0
32,2020-04-16T00:00:00.000Z,96,22,0
33,2020-04-17T00:00:00.000Z,108,29,0
34,2020-04-18T00:00:00.000Z,129,38,0
35,2020-04-19T00:00:00.000Z,149,48,1
36,2020-04-20T00:00:00.000Z,169,60,1
37,2020-04-21T00:00:00.000Z,189,60,2
38,2020-04-22T00:00:00.000Z,213,62,2
39,2020-04-23T00:00:00.000Z,238,62,2
40,2020-04-24T00:00:00.000Z,263,62,2
41,2020-04-25T00:00:00.000Z,284,64,2
42,2020-04-26T00:00:00.000Z,306,64,2
43,2020-04-27T00:00:00.000Z,330,65,2
44,2020-04-28T00:00:00.000Z,356,65,4
45,2020-04-29T00:00:00.000Z,384,67,2
