,date,confirmed,cured,deaths
0,2020-03-16T00:00:00.000Z,1,0,0
1,2020-03-17T00:00:00.000Z,1,0,0
2,2020-03-18T00:00:00.000Z,1,0,0
3,2020-03-19T00:00:00.000Z,1,0,0
4,2020-03-20T00:00:00.000Z,1,0,0
5,2020-03-21T00:00:00.000Z,1,0,0
6,2020-03-22T00:00:00.000Z,1,0,0
7,2020-03-23T00:00:00.000Z,1,0,0
8,2020-03-24T00:00:00.000Z,1,0,0
9,2020-03-25T00:00:00.000Z,3,1,0
10,2020-03-26T00:00:00.000Z,3,1,0
11,2020-03-27T00:00:00.000Z,3,1,0
12,2020-03-28T00:00:00.000Z,3,1,0
13,2020-03-29T00:00:00.000Z,7,1,0
14,2020-03-30T00:00:00.000Z,22,1,0
15,2020-03-31T00:00:00.000Z,22,1,0
16,2020-04-01T00:00:00.000Z,54,1,0
17,2020-04-02T00:00:00.000Z,56,1,0
18,2020-04-03T00:00:00.000Z,56,1,2
19,2020-04-04T00:00:00.000Z,59,1,2
20,2020-04-05T00:00:00.000Z,59,1,2
21,2020-04-06T00:00:00.000Z,90,1,3
22,2020-04-07T00:00:00.000Z,101,1,3
23,2020-04-08T00:00:00.000Z,119,1,3
24,2020-04-09T00:00:00.000Z,150,1,3
25,2020-04-10T00:00:00.000Z,208,1,3
26,2020-04-11T00:00:00.000Z,208,1,3
27,2020-04-12T00:00:00.000Z,208,1,3
28,2020-04-13T00:00:00.000Z,208,1,3
29,2020-04-14T00:00:00.000Z,305,1,3
30,2020-04-15T00:00:00.000Z,402,1,3
31,2020-04-16T00:00:00.000Z,441,6,3
32,2020-04-17T00:00:00.000Z,455,6,3
33,2020-04-18T00:00:00.000Z,474,6,3
34,2020-04-19T00:00:00.000Z,481,10,3
35,2020-04-20T00:00:00.000Z,491,21,4
36,2020-04-21T00:00:00.000Z,507,21,4
37,2020-04-22T00:00:00.000Z,527,21,4
38,2020-04-23T00:00:00.000Z,542,23,4
39,2020-04-24T00:00:00.000Z,553,28,4
40,2020-04-25T00:00:00.000Z,561,28,4
41,2020-04-26T00:00:00.000Z,578,52,5
42,2020-04-27T00:00:00.000Z,590,52,6
43,2020-04-28T00:00:00.000Z,597,52,6
44,2020-04-29T00:00:00.000Z,611,63,6
45,2020-04-30T00:00:00.000Z,621,64,6
46,2020-05-01T00:00:00.000Z,649,64,6
47,2020-05-02T00:00:00.000Z,656,92,7
48,2020-05-03T00:00:00.000Z,676,107,7
49,2020-05-04T00:00:00.000Z,682,111,7
50,2020-05-05T00:00:00.000Z,698,129,7
51,2020-05-06T00:00:00.000Z,726,129,7
52,2020-05-07T00:00:00.000Z,782,144,11
53,2020-05-08T00:00:00.000Z,793,194,11
54,2020-05-09T00:00:00.000Z,803,214,14
55,2020-05-10T00:00:00.000Z,823,219,14
56,2020-05-11T00:00:00.000Z,844,252,15
57,2020-05-12T00:00:00.000Z,847,287,15
58,2020-05-13T00:00:00.000Z,859,330,16
59,2020-05-14T00:00:00.000Z,867,360,16
60,2020-05-15T00:00:00.000Z,882,387,16
61,2020-05-16T00:00:00.000Z,911,413,17
62,2020-05-17T00:00:00.000Z,931,415,17
63,2020-05-18T00:00:00.000Z,968,418,17
64,2020-05-19T00:00:00.000Z,1007,425,18
65,2020-05-20T00:00:00.000Z,1019,446,18
66,2020-05-21T00:00:00.000Z,1032,484,19
67,2020-05-22T00:00:00.000Z,1067,513,19
68,2020-05-23T00:00:00.000Z,1105,541,19
69,2020-05-24T00:00:00.000Z,1129,556,19
70,2020-05-25T00:00:00.000Z,1135,568,19
71,2020-05-26T00:00:00.000Z,1144,592,20
72,2020-05-27T00:00:00.000Z,1188,625,21
73,2020-05-28T00:00:00.000Z,1238,644,22
74,2020-05-29T00:00:00.000Z,1262,667,23
75,2020-05-30T00:00:00.000Z,1293,685,23
76,2020-05-31T00:00:00.000Z,1322,704,24
77,2020-06-01T00:00:00.000Z,1352,704,24
78,2020-06-02T00:00:00.000Z,1393,748,24
79,2020-06-03T00:00:00.000Z,1426,801,25
80,2020-06-04T00:00:00.000Z,1455,816,25
81,2020-06-05T00:00:00.000Z,1480,855,25
82,2020-06-06T00:00:00.000Z,1518,875,26
83,2020-06-07T00:00:00.000Z,1564,885,26
84,2020-06-08T00:00:00.000Z,1600,890,26
85,2020-06-09T00:00:00.000Z,1626,911,27
86,2020-06-10T00:00:00.000Z,1693,939,27
87,2020-06-11T00:00:00.000Z,1804,960,28
88,2020-06-12T00:00:00.000Z,1929,1019,28
89,2020-06-13T00:00:00.000Z,2085,1024,28
90,2020-06-14T00:00:00.000Z,2266,1025,28
91,2020-06-15T00:00:00.000Z,2352,1026,28
92,2020-06-16T00:00:00.000Z,2437,1048,28
