,date,confirmed,cured,deaths
0,2020-03-24T00:00:00.000Z,7,0,0
1,2020-03-25T00:00:00.000Z,7,0,0
2,2020-03-26T00:00:00.000Z,10,0,0
3,2020-03-27T00:00:00.000Z,11,1,0
4,2020-03-28T00:00:00.000Z,14,1,0
5,2020-03-29T00:00:00.000Z,14,1,0
6,2020-03-30T00:00:00.000Z,14,1,0
7,2020-03-31T00:00:00.000Z,19,2,0
8,2020-04-01T00:00:00.000Z,19,2,0
9,2020-04-02T00:00:00.000Z,19,2,0
10,2020-04-03T00:00:00.000Z,25,6,0
11,2020-04-04T00:00:00.000Z,25,6,0
12,2020-04-05T00:00:00.000Z,25,6,0
13,2020-04-06T00:00:00.000Z,41,6,0
14,2020-04-07T00:00:00.000Z,41,8,0
15,2020-04-08T00:00:00.000Z,41,10,0
16,2020-04-09T00:00:00.000Z,50,10,0
17,2020-04-10T00:00:00.000Z,50,11,0
18,2020-04-11T00:00:00.000Z,73,11,0
19,2020-04-12T00:00:00.000Z,73,14,0
20,2020-04-13T00:00:00.000Z,84,14,0
21,2020-04-14T00:00:00.000Z,107,14,0
22,2020-04-15T00:00:00.000Z,107,14,0
23,2020-04-16T00:00:00.000Z,128,14,0
24,2020-04-17T00:00:00.000Z,144,18,0
25,2020-04-18T00:00:00.000Z,160,25,0
26,2020-04-19T00:00:00.000Z,191,25,0
27,2020-04-20T00:00:00.000Z,230,25,0
28,2020-04-21T00:00:00.000Z,280,30,0
29,2020-04-22T00:00:00.000Z,355,33,0
30,2020-04-23T00:00:00.000Z,412,33,0
31,2020-04-24T00:00:00.000Z,426,37,0
32,2020-04-25T00:00:00.000Z,491,48,0
33,2020-04-26T00:00:00.000Z,562,51,0
34,2020-04-27T00:00:00.000Z,632,54,0
35,2020-04-28T00:00:00.000Z,697,72,0
36,2020-04-29T00:00:00.000Z,752,78,1
37,2020-04-30T00:00:00.000Z,823,83,1
38,2020-05-01T00:00:00.000Z,894,88,1
39,2020-05-02T00:00:00.000Z,960,100,2
40,2020-05-03T00:00:00.000Z,1031,115,2
41,2020-05-04T00:00:00.000Z,1117,130,3
42,2020-05-05T00:00:00.000Z,1208,149,3
43,2020-05-06T00:00:00.000Z,1310,168,3
44,2020-05-07T00:00:00.000Z,1415,184,4
45,2020-05-08T00:00:00.000Z,1498,228,4
46,2020-05-09T00:00:00.000Z,1586,340,5
47,2020-05-10T00:00:00.000Z,1671,360,5
48,2020-05-11T00:00:00.000Z,1761,460,5
49,2020-05-12T00:00:00.000Z,1832,640,6
50,2020-05-13T00:00:00.000Z,1919,740,6
51,2020-05-14T00:00:00.000Z,1980,890,6
52,2020-05-15T00:00:00.000Z,2064,1006,6
