date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-30T00:00:00.000Z,2,0,2.0,2,0.0
2020-03-31T00:00:00.000Z,3,0,1.0,3,0.0
2020-04-01T00:00:00.000Z,3,0,0.0,3,0.0
2020-04-02T00:00:00.000Z,4,0,1.0,4,0.0
2020-04-03T00:00:00.000Z,4,0,0.0,4,0.0
2020-04-04T00:00:00.000Z,7,0,3.0,7,0.0
2020-04-05T00:00:00.000Z,12,0,5.0,12,0.0
2020-04-06T00:00:00.000Z,12,0,0.0,12,0.0
2020-04-07T00:00:00.000Z,12,0,0.0,12,0.0
2020-04-08T00:00:00.000Z,18,0,6.0,18,0.0
2020-04-09T00:00:00.000Z,21,0,3.0,21,0.0
2020-04-10T00:00:00.000Z,21,0,0.0,21,0.0
2020-04-11T00:00:00.000Z,29,0,8.0,27,0.0
2020-04-12T00:00:00.000Z,29,0,0.0,26,0.0
2020-04-13T00:00:00.000Z,36,0,7.0,33,0.0
2020-04-14T00:00:00.000Z,36,0,0.0,33,0.0
2020-04-15T00:00:00.000Z,48,0,12.0,45,0.0
2020-04-16T00:00:00.000Z,48,0,0.0,45,0.0
2020-04-17T00:00:00.000Z,53,0,5.0,49,0.0
2020-04-18T00:00:00.000Z,63,0,10.0,59,0.0
2020-04-19T00:00:00.000Z,72,0,9.0,68,0.0
2020-04-20T00:00:00.000Z,84,0,12.0,80,0.0
2020-04-21T00:00:00.000Z,127,0,43.0,118,0.0
2020-04-22T00:00:00.000Z,136,0,9.0,127,0.0
2020-04-23T00:00:00.000Z,144,0,8.0,131,0.0
2020-04-24T00:00:00.000Z,152,0,8.0,137,0.0
2020-04-25T00:00:00.000Z,215,1,63.0,197,1.0
2020-04-26T00:00:00.000Z,283,2,68.0,261,1.0
2020-04-27T00:00:00.000Z,310,1,27.0,281,-1.0
2020-04-28T00:00:00.000Z,324,1,14.0,290,0.0
2020-04-29T00:00:00.000Z,348,1,24.0,303,0.0
2020-04-30T00:00:00.000Z,382,1,34.0,337,0.0
2020-05-01T00:00:00.000Z,423,1,41.0,368,0.0
2020-05-02T00:00:00.000Z,451,1,28.0,382,0.0
2020-05-03T00:00:00.000Z,498,1,47.0,422,0.0
2020-05-04T00:00:00.000Z,534,2,36.0,452,1.0
2020-05-05T00:00:00.000Z,555,3,21.0,446,1.0
2020-05-06T00:00:00.000Z,588,3,33.0,478,0.0
2020-05-07T00:00:00.000Z,605,3,17.0,473,0.0
2020-05-08T00:00:00.000Z,621,3,16.0,457,0.0
2020-05-09T00:00:00.000Z,641,3,20.0,468,0.0
2020-05-10T00:00:00.000Z,669,3,28.0,465,0.0
2020-05-11T00:00:00.000Z,707,3,38.0,483,0.0
2020-05-12T00:00:00.000Z,727,3,20.0,437,0.0
2020-05-13T00:00:00.000Z,770,3,43.0,427,0.0
2020-05-14T00:00:00.000Z,809,3,39.0,431,0.0
2020-05-15T00:00:00.000Z,847,3,38.0,425,0.0
2020-05-16T00:00:00.000Z,885,3,38.0,436,0.0
