,date,confirmed,cured,deaths
0,2020-03-29T00:00:00.000Z,1,0,0
1,2020-03-30T00:00:00.000Z,1,0,0
2,2020-03-31T00:00:00.000Z,1,0,0
3,2020-04-01T00:00:00.000Z,1,0,0
4,2020-04-02T00:00:00.000Z,1,0,0
5,2020-04-03T00:00:00.000Z,1,0,0
6,2020-04-04T00:00:00.000Z,4,0,0
7,2020-04-05T00:00:00.000Z,4,0,0
8,2020-04-06T00:00:00.000Z,4,0,0
9,2020-04-07T00:00:00.000Z,4,0,0
10,2020-04-08T00:00:00.000Z,4,0,0
11,2020-04-09T00:00:00.000Z,4,1,0
12,2020-04-10T00:00:00.000Z,4,1,0
13,2020-04-11T00:00:00.000Z,6,1,0
14,2020-04-12T00:00:00.000Z,6,1,0
15,2020-04-13T00:00:00.000Z,6,1,0
16,2020-04-14T00:00:00.000Z,6,1,0
17,2020-04-15T00:00:00.000Z,6,1,0
18,2020-04-16T00:00:00.000Z,9,4,0
19,2020-04-17T00:00:00.000Z,11,4,0
20,2020-04-18T00:00:00.000Z,14,4,0
21,2020-04-19T00:00:00.000Z,16,4,0
22,2020-04-20T00:00:00.000Z,20,4,0
23,2020-04-21T00:00:00.000Z,20,4,0
24,2020-04-22T00:00:00.000Z,23,4,0
25,2020-04-23T00:00:00.000Z,25,5,0
26,2020-04-24T00:00:00.000Z,28,5,0
27,2020-04-25T00:00:00.000Z,33,5,0
28,2020-04-26T00:00:00.000Z,36,5,0
29,2020-04-27T00:00:00.000Z,40,5,0
30,2020-04-28T00:00:00.000Z,41,10,0
31,2020-04-29T00:00:00.000Z,46,10,0
32,2020-04-30T00:00:00.000Z,56,10,1
33,2020-05-01T00:00:00.000Z,67,12,1
34,2020-05-02T00:00:00.000Z,72,13,1
35,2020-05-03T00:00:00.000Z,79,13,1
36,2020-05-04T00:00:00.000Z,84,14,1
37,2020-05-05T00:00:00.000Z,98,14,1
38,2020-05-06T00:00:00.000Z,106,16,1
39,2020-05-07T00:00:00.000Z,112,16,1
40,2020-05-08T00:00:00.000Z,123,20,1
41,2020-05-09T00:00:00.000Z,135,20,1
42,2020-05-10T00:00:00.000Z,140,24,1
43,2020-05-11T00:00:00.000Z,152,24,1
44,2020-05-12T00:00:00.000Z,169,30,1
45,2020-05-13T00:00:00.000Z,182,35,1
46,2020-05-14T00:00:00.000Z,194,41,1
47,2020-05-15T00:00:00.000Z,204,44,1
48,2020-05-16T00:00:00.000Z,212,49,1
49,2020-05-17T00:00:00.000Z,222,51,1
50,2020-05-18T00:00:00.000Z,238,54,1
51,2020-05-19T00:00:00.000Z,247,65,1
52,2020-05-20T00:00:00.000Z,277,71,1
53,2020-05-21T00:00:00.000Z,294,75,1
54,2020-05-22T00:00:00.000Z,317,84,1
55,2020-05-23T00:00:00.000Z,340,95,1
56,2020-05-24T00:00:00.000Z,355,95,5
57,2020-05-25T00:00:00.000Z,385,95,5
58,2020-05-26T00:00:00.000Z,401,113,5
59,2020-05-27T00:00:00.000Z,414,133,5
60,2020-05-28T00:00:00.000Z,433,139,5
61,2020-05-29T00:00:00.000Z,461,151,5
62,2020-05-30T00:00:00.000Z,486,161,5
63,2020-05-31T00:00:00.000Z,506,163,5
64,2020-06-01T00:00:00.000Z,528,167,5
65,2020-06-02T00:00:00.000Z,546,188,5
66,2020-06-03T00:00:00.000Z,566,198,5
67,2020-06-04T00:00:00.000Z,588,216,5
68,2020-06-05T00:00:00.000Z,615,228,5
69,2020-06-06T00:00:00.000Z,657,249,5
70,2020-06-07T00:00:00.000Z,702,252,5
71,2020-06-08T00:00:00.000Z,748,252,5
72,2020-06-09T00:00:00.000Z,796,261,5
73,2020-06-10T00:00:00.000Z,835,296,5
74,2020-06-11T00:00:00.000Z,873,325,5
75,2020-06-12T00:00:00.000Z,914,345,5
76,2020-06-13T00:00:00.000Z,973,350,5
77,2020-06-14T00:00:00.000Z,1018,359,6
78,2020-06-15T00:00:00.000Z,1062,371,6
79,2020-06-16T00:00:00.000Z,1100,409,6
80,2020-06-17T00:00:00.000Z,1138,449,7
81,2020-06-18T00:00:00.000Z,1181,480,7
82,2020-06-19T00:00:00.000Z,1230,491,7
83,2020-06-20T00:00:00.000Z,1283,515,7
84,2020-06-21T00:00:00.000Z,1340,520,7
85,2020-06-22T00:00:00.000Z,1399,540,7
86,2020-06-23T00:00:00.000Z,1444,575,7
87,2020-06-24T00:00:00.000Z,1490,597,7
88,2020-06-25T00:00:00.000Z,1528,609,9
89,2020-06-26T00:00:00.000Z,1572,667,9
90,2020-06-27T00:00:00.000Z,1610,690,9
91,2020-06-28T00:00:00.000Z,1651,702,9
92,2020-06-29T00:00:00.000Z,1682,704,9
93,2020-06-30T00:00:00.000Z,1707,786,11
94,2020-07-01T00:00:00.000Z,1734,825,13
95,2020-07-02T00:00:00.000Z,1765,842,13
96,2020-07-03T00:00:00.000Z,1795,899,13
97,2020-07-04T00:00:00.000Z,1826,920,13
98,2020-07-05T00:00:00.000Z,1860,927,16
99,2020-07-06T00:00:00.000Z,1889,937,16
100,2020-07-07T00:00:00.000Z,1917,978,16
101,2020-07-08T00:00:00.000Z,1944,1002,20
102,2020-07-09T00:00:00.000Z,1975,1049,22
103,2020-07-10T00:00:00.000Z,2019,1091,23
104,2020-07-11T00:00:00.000Z,2057,1119,23
105,2020-07-12T00:00:00.000Z,2097,1127,23
106,2020-07-13T00:00:00.000Z,2143,1149,23
107,2020-07-14T00:00:00.000Z,2185,1194,27
108,2020-07-15T00:00:00.000Z,2227,1234,30
109,2020-07-16T00:00:00.000Z,2271,1302,30
110,2020-07-17T00:00:00.000Z,2314,1373,31
111,2020-07-18T00:00:00.000Z,2354,1427,31
112,2020-07-19T00:00:00.000Z,2393,1456,33
113,2020-07-20T00:00:00.000Z,2423,1486,33
114,2020-07-21T00:00:00.000Z,2451,1562,33
115,2020-07-22T00:00:00.000Z,2478,1599,33
116,2020-07-23T00:00:00.000Z,2506,1676,42
117,2020-07-24T00:00:00.000Z,2534,1730,45
118,2020-07-25T00:00:00.000Z,2566,1769,47
119,2020-07-26T00:00:00.000Z,2600,1773,47
120,2020-07-27T00:00:00.000Z,2632,1805,47
121,2020-07-28T00:00:00.000Z,2660,1866,47
122,2020-07-29T00:00:00.000Z,2689,1907,47
123,2020-07-30T00:00:00.000Z,2724,1945,47
124,2020-07-31T00:00:00.000Z,2752,1986,47
125,2020-08-01T00:00:00.000Z,2776,2028,47
