date,total_cases,total_death,daily_cases,total_currently_infected,death_per_day
2020-03-17T00:00:00.000Z,1,0,1.0,1,0.0
2020-03-18T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-19T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-20T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-21T00:00:00.000Z,1,0,0.0,1,0.0
2020-03-22T00:00:00.000Z,2,0,1.0,2,0.0
2020-03-23T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-24T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-25T00:00:00.000Z,2,0,0.0,2,0.0
2020-03-26T00:00:00.000Z,3,0,1.0,3,0.0
2020-03-27T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-28T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-29T00:00:00.000Z,3,0,0.0,3,0.0
2020-03-30T00:00:00.000Z,7,0,4.0,7,0.0
2020-03-31T00:00:00.000Z,7,0,0.0,7,0.0
2020-04-01T00:00:00.000Z,7,0,0.0,7,0.0
2020-04-02T00:00:00.000Z,7,0,0.0,7,0.0
2020-04-03T00:00:00.000Z,8,0,1.0,5,0.0
2020-04-04T00:00:00.000Z,8,0,0.0,5,0.0
2020-04-05T00:00:00.000Z,8,0,0.0,5,0.0
2020-04-06T00:00:00.000Z,14,0,6.0,11,0.0
2020-04-07T00:00:00.000Z,14,0,0.0,11,0.0
2020-04-08T00:00:00.000Z,14,0,0.0,11,0.0
2020-04-09T00:00:00.000Z,24,0,10.0,20,0.0
2020-04-10T00:00:00.000Z,24,0,0.0,20,0.0
2020-04-11T00:00:00.000Z,24,0,0.0,19,0.0
2020-04-12T00:00:00.000Z,24,0,0.0,19,0.0
2020-04-13T00:00:00.000Z,31,0,7.0,26,0.0
2020-04-14T00:00:00.000Z,32,0,1.0,27,0.0
2020-04-15T00:00:00.000Z,32,0,0.0,22,0.0
2020-04-16T00:00:00.000Z,33,0,1.0,23,0.0
2020-04-17T00:00:00.000Z,34,0,1.0,23,0.0
2020-04-18T00:00:00.000Z,39,0,5.0,28,0.0
2020-04-19T00:00:00.000Z,107,0,68.0,96,0.0
2020-04-20T00:00:00.000Z,114,1,7.0,103,1.0
2020-04-21T00:00:00.000Z,118,1,4.0,103,0.0
2020-04-22T00:00:00.000Z,120,1,2.0,102,0.0
2020-04-23T00:00:00.000Z,123,1,3.0,105,0.0
2020-04-24T00:00:00.000Z,137,1,14.0,119,0.0
2020-04-25T00:00:00.000Z,147,1,10.0,129,0.0
2020-04-26T00:00:00.000Z,167,1,20.0,145,0.0
