date,total_cases,cured,total_deaths
2020-03-30T00:00:00.000Z,2,0,0
2020-03-31T00:00:00.000Z,2,0,0
2020-04-01T00:00:00.000Z,2,0,0
2020-04-02T00:00:00.000Z,2,0,0
2020-04-03T00:00:00.000Z,5,0,0
2020-04-04T00:00:00.000Z,5,0,0
2020-04-05T00:00:00.000Z,5,0,0
2020-04-06T00:00:00.000Z,5,0,0
2020-04-07T00:00:00.000Z,5,0,0
2020-04-08T00:00:00.000Z,5,0,0
2020-04-09T00:00:00.000Z,21,0,0
2020-04-10T00:00:00.000Z,21,0,0
2020-04-11T00:00:00.000Z,21,0,0
2020-04-12T00:00:00.000Z,29,0,0
2020-04-13T00:00:00.000Z,30,0,0
2020-04-14T00:00:00.000Z,30,0,0
2020-04-15T00:00:00.000Z,47,2,1
2020-04-16T00:00:00.000Z,60,2,3
2020-04-17T00:00:00.000Z,64,7,3
2020-04-18T00:00:00.000Z,99,7,3
2020-04-19T00:00:00.000Z,123,9,3
2020-04-20T00:00:00.000Z,136,9,3
2020-04-21T00:00:00.000Z,137,9,3
2020-04-22T00:00:00.000Z,148,13,3
2020-04-23T00:00:00.000Z,165,25,3
2020-04-24T00:00:00.000Z,186,25,3
2020-04-25T00:00:00.000Z,211,29,4
2020-04-26T00:00:00.000Z,277,42,4
2020-04-27T00:00:00.000Z,298,44,4
2020-04-28T00:00:00.000Z,306,55,4
2020-04-29T00:00:00.000Z,350,60,4
2020-04-30T00:00:00.000Z,365,75,4
2020-05-01T00:00:00.000Z,384,81,4
2020-05-02T00:00:00.000Z,411,83,4
2020-05-03T00:00:00.000Z,487,93,4
2020-05-04T00:00:00.000Z,504,101,4
2020-05-05T00:00:00.000Z,535,108,6
2020-05-06T00:00:00.000Z,564,113,6
2020-05-07T00:00:00.000Z,589,123,6
2020-05-08T00:00:00.000Z,629,134,6
2020-05-09T00:00:00.000Z,673,161,6
2020-05-10T00:00:00.000Z,731,177,6
2020-05-11T00:00:00.000Z,764,181,6
2020-05-12T00:00:00.000Z,806,209,7
2020-05-13T00:00:00.000Z,850,245,7
2020-05-14T00:00:00.000Z,895,274,7
2020-05-15T00:00:00.000Z,945,294,7
