,date,confirmed,cured,deaths
0,2020-03-19T00:00:00.000Z,1,0,0
1,2020-03-20T00:00:00.000Z,1,0,0
2,2020-03-21T00:00:00.000Z,1,0,0
3,2020-03-22T00:00:00.000Z,1,0,0
4,2020-03-23T00:00:00.000Z,1,0,0
5,2020-03-24T00:00:00.000Z,1,0,0
6,2020-03-25T00:00:00.000Z,1,0,0
7,2020-03-26T00:00:00.000Z,1,0,0
8,2020-03-27T00:00:00.000Z,1,0,0
9,2020-03-28T00:00:00.000Z,1,0,0
10,2020-03-29T00:00:00.000Z,1,0,0
11,2020-03-30T00:00:00.000Z,1,0,0
12,2020-03-31T00:00:00.000Z,1,0,0
13,2020-04-01T00:00:00.000Z,1,0,0
14,2020-04-02T00:00:00.000Z,2,0,0
15,2020-04-03T00:00:00.000Z,2,0,0
16,2020-04-04T00:00:00.000Z,4,1,0
17,2020-04-05T00:00:00.000Z,4,1,0
18,2020-04-06T00:00:00.000Z,8,1,0
19,2020-04-07T00:00:00.000Z,17,1,0
20,2020-04-08T00:00:00.000Z,17,1,0
21,2020-04-09T00:00:00.000Z,19,1,0
22,2020-04-10T00:00:00.000Z,34,1,0
23,2020-04-11T00:00:00.000Z,39,1,0
24,2020-04-12T00:00:00.000Z,50,2,0
25,2020-04-13T00:00:00.000Z,65,2,0
26,2020-04-14T00:00:00.000Z,65,2,0
27,2020-04-15T00:00:00.000Z,78,2,0
28,2020-04-16T00:00:00.000Z,125,2,1
29,2020-04-17T00:00:00.000Z,137,2,1
30,2020-04-18T00:00:00.000Z,164,6,1
31,2020-04-19T00:00:00.000Z,193,9,1
32,2020-04-20T00:00:00.000Z,225,9,2
33,2020-04-21T00:00:00.000Z,235,9,5
34,2020-04-22T00:00:00.000Z,262,14,5
35,2020-04-23T00:00:00.000Z,305,14,5
36,2020-04-24T00:00:00.000Z,348,17,5
37,2020-04-25T00:00:00.000Z,383,31,7
38,2020-04-26T00:00:00.000Z,421,31,8
39,2020-04-27T00:00:00.000Z,463,44,8
40,2020-04-28T00:00:00.000Z,502,44,8
41,2020-04-29T00:00:00.000Z,539,70,8
42,2020-04-30T00:00:00.000Z,586,97,8
43,2020-05-01T00:00:00.000Z,627,117,8
44,2020-05-02T00:00:00.000Z,676,131,8
45,2020-05-03T00:00:00.000Z,731,134,8
46,2020-05-04T00:00:00.000Z,795,134,8
47,2020-05-05T00:00:00.000Z,844,149,8
48,2020-05-06T00:00:00.000Z,892,161,8
49,2020-05-07T00:00:00.000Z,950,175,8
50,2020-05-08T00:00:00.000Z,1018,175,8
51,2020-05-09T00:00:00.000Z,1081,200,8
52,2020-05-10T00:00:00.000Z,1144,205,8
53,2020-05-11T00:00:00.000Z,1220,255,8
54,2020-05-12T00:00:00.000Z,1282,302,8
55,2020-05-13T00:00:00.000Z,1360,334,8
56,2020-05-14T00:00:00.000Z,1439,344,8
57,2020-05-15T00:00:00.000Z,1522,405,8
58,2020-05-16T00:00:00.000Z,1603,457,8
59,2020-05-17T00:00:00.000Z,1700,517,8
60,2020-05-18T00:00:00.000Z,1787,559,8
61,2020-05-19T00:00:00.000Z,1863,559,8
62,2020-05-20T00:00:00.000Z,1936,599,8
63,2020-05-21T00:00:00.000Z,2014,629,9
64,2020-05-22T00:00:00.000Z,2104,659,9
65,2020-05-23T00:00:00.000Z,2195,686,9
66,2020-05-24T00:00:00.000Z,2290,717,10
67,2020-05-25T00:00:00.000Z,2387,720,11
68,2020-05-26T00:00:00.000Z,2472,765,11
69,2020-05-27T00:00:00.000Z,2545,922,12
70,2020-05-28T00:00:00.000Z,2626,1095,12
71,2020-05-29T00:00:00.000Z,2709,1187,12
72,2020-05-30T00:00:00.000Z,2798,1212,14
73,2020-05-31T00:00:00.000Z,2885,1242,14
74,2020-06-01T00:00:00.000Z,2973,1272,14
75,2020-06-02T00:00:00.000Z,3061,1319,14
76,2020-06-03T00:00:00.000Z,3148,1369,14
77,2020-06-04T00:00:00.000Z,3231,1431,15
78,2020-06-05T00:00:00.000Z,3311,1476,15
79,2020-06-06T00:00:00.000Z,3395,1525,16
80,2020-06-07T00:00:00.000Z,3475,1625,16
81,2020-06-08T00:00:00.000Z,3561,1727,16
82,2020-06-09T00:00:00.000Z,3646,1769,18
83,2020-06-10T00:00:00.000Z,3725,1829,18
84,2020-06-11T00:00:00.000Z,3802,1957,18
85,2020-06-12T00:00:00.000Z,3878,2030,18
86,2020-06-13T00:00:00.000Z,3956,2105,18
87,2020-06-14T00:00:00.000Z,4033,2156,18
88,2020-06-15T00:00:00.000Z,4112,2197,18
89,2020-06-16T00:00:00.000Z,4186,2261,18
90,2020-06-17T00:00:00.000Z,4259,2346,21
91,2020-06-18T00:00:00.000Z,4331,2361,21
92,2020-06-19T00:00:00.000Z,4401,2424,21
93,2020-06-20T00:00:00.000Z,4472,2506,23
94,2020-06-21T00:00:00.000Z,4541,2538,23
95,2020-06-22T00:00:00.000Z,4612,2558,24
96,2020-06-23T00:00:00.000Z,4678,2605,24
97,2020-06-24T00:00:00.000Z,4740,2717,25
98,2020-06-25T00:00:00.000Z,4802,2767,25
99,2020-06-26T00:00:00.000Z,4860,2807,28
100,2020-06-27T00:00:00.000Z,4915,2830,28
101,2020-06-28T00:00:00.000Z,4973,2862,30
102,2020-06-29T00:00:00.000Z,5025,2882,31
103,2020-06-30T00:00:00.000Z,5076,2900,31
104,2020-07-01T00:00:00.000Z,5134,2920,32
105,2020-07-02T00:00:00.000Z,5194,2940,33
106,2020-07-03T00:00:00.000Z,5253,2960,34
107,2020-07-04T00:00:00.000Z,5315,2983,37
108,2020-07-05T00:00:00.000Z,5386,3008,40
109,2020-07-06T00:00:00.000Z,5454,3029,40
110,2020-07-07T00:00:00.000Z,5521,3053,43
111,2020-07-08T00:00:00.000Z,5590,3080,43
112,2020-07-09T00:00:00.000Z,5657,3107,43
113,2020-07-10T00:00:00.000Z,5718,3132,43
114,2020-07-11T00:00:00.000Z,5775,3159,46
115,2020-07-12T00:00:00.000Z,5830,3184,46
116,2020-07-13T00:00:00.000Z,5886,3205,46
117,2020-07-14T00:00:00.000Z,5940,3228,47
118,2020-07-15T00:00:00.000Z,5998,3253,47
119,2020-07-16T00:00:00.000Z,6055,3280,48
120,2020-07-17T00:00:00.000Z,6110,3307,48
121,2020-07-18T00:00:00.000Z,6164,3334,48
122,2020-07-19T00:00:00.000Z,6216,3364,49
123,2020-07-20T00:00:00.000Z,6264,3385,49
124,2020-07-21T00:00:00.000Z,6310,3405,50
125,2020-07-22T00:00:00.000Z,6352,3430,50
126,2020-07-23T00:00:00.000Z,6398,3454,50
127,2020-07-24T00:00:00.000Z,6440,3485,51
128,2020-07-25T00:00:00.000Z,6484,3516,51
129,2020-07-26T00:00:00.000Z,6529,3562,51
130,2020-07-27T00:00:00.000Z,6567,3589,51
131,2020-07-28T00:00:00.000Z,6609,3616,51
132,2020-07-29T00:00:00.000Z,6653,3647,51
133,2020-07-30T00:00:00.000Z,6694,3680,51
134,2020-07-31T00:00:00.000Z,6734,3725,54
135,2020-08-01T00:00:00.000Z,6774,3792,54
136,2020-08-02T00:00:00.000Z,6811,3857,56
137,2020-08-03T00:00:00.000Z,6846,3922,56
138,2020-08-04T00:00:00.000Z,6880,3985,58
139,2020-08-05T00:00:00.000Z,6915,4050,62
140,2020-08-06T00:00:00.000Z,6947,4113,62
141,2020-08-07T00:00:00.000Z,6980,4180,62
142,2020-08-08T00:00:00.000Z,7010,4245,62
143,2020-08-09T00:00:00.000Z,7042,4312,64
144,2020-08-10T00:00:00.000Z,7072,4379,64
145,2020-08-11T00:00:00.000Z,7108,4450,64
146,2020-08-12T00:00:00.000Z,7144,4573,65
147,2020-08-13T00:00:00.000Z,7179,4745,66
148,2020-08-14T00:00:00.000Z,7213,4931,66
149,2020-08-15T00:00:00.000Z,7247,5114,68
150,2020-08-16T00:00:00.000Z,7279,5311,68
151,2020-08-17T00:00:00.000Z,7309,5512,68
152,2020-08-18T00:00:00.000Z,7342,5742,68
153,2020-08-19T00:00:00.000Z,7378,6001,68
154,2020-08-20T00:00:00.000Z,7414,6074,68
155,2020-08-21T00:00:00.000Z,7448,6114,68
156,2020-08-22T00:00:00.000Z,7481,6169,68
157,2020-08-23T00:00:00.000Z,7516,6196,68
158,2020-08-24T00:00:00.000Z,7551,6217,68
159,2020-08-25T00:00:00.000Z,7585,6237,68
160,2020-08-26T00:00:00.000Z,7619,6283,68
161,2020-08-27T00:00:00.000Z,7651,6313,68
162,2020-08-28T00:00:00.000Z,7682,6347,70
163,2020-08-29T00:00:00.000Z,7713,6374,70
164,2020-08-30T00:00:00.000Z,7743,6401,70
165,2020-08-31T00:00:00.000Z,7774,6426,70
166,2020-09-01T00:00:00.000Z,7803,6449,70
167,2020-09-02T00:00:00.000Z,7836,6477,71
168,2020-09-03T00:00:00.000Z,7865,6504,71
169,2020-09-04T00:00:00.000Z,7895,6532,72
170,2020-09-05T00:00:00.000Z,7923,6553,73
171,2020-09-06T00:00:00.000Z,7953,6582,73
172,2020-09-07T00:00:00.000Z,7983,6604,73
