,date,confirmed,cured,deaths
0,2020-03-29T00:00:00.000Z,1,0,0
1,2020-03-30T00:00:00.000Z,2,0,0
2,2020-03-31T00:00:00.000Z,3,0,0
3,2020-04-01T00:00:00.000Z,3,0,0
4,2020-04-02T00:00:00.000Z,7,0,0
5,2020-04-03T00:00:00.000Z,8,0,0
6,2020-04-04T00:00:00.000Z,8,0,0
7,2020-04-05T00:00:00.000Z,8,0,0
8,2020-04-06T00:00:00.000Z,13,0,1
9,2020-04-07T00:00:00.000Z,14,0,1
10,2020-04-08T00:00:00.000Z,14,0,2
11,2020-04-09T00:00:00.000Z,21,0,2
12,2020-04-10T00:00:00.000Z,24,0,2
13,2020-04-11T00:00:00.000Z,28,0,2
14,2020-04-12T00:00:00.000Z,35,0,2
15,2020-04-13T00:00:00.000Z,35,3,2
16,2020-04-14T00:00:00.000Z,40,3,2
17,2020-04-15T00:00:00.000Z,47,4,2
18,2020-04-16T00:00:00.000Z,54,4,2
19,2020-04-17T00:00:00.000Z,55,10,2
20,2020-04-18T00:00:00.000Z,65,12,2
21,2020-04-19T00:00:00.000Z,68,12,2
22,2020-04-20T00:00:00.000Z,75,13,3
23,2020-04-21T00:00:00.000Z,75,13,3
24,2020-04-22T00:00:00.000Z,75,13,3
25,2020-04-23T00:00:00.000Z,85,23,3
26,2020-04-24T00:00:00.000Z,85,23,3
27,2020-04-25T00:00:00.000Z,85,25,3
28,2020-04-26T00:00:00.000Z,95,25,4
29,2020-04-27T00:00:00.000Z,95,25,4
30,2020-04-28T00:00:00.000Z,105,37,4
31,2020-04-29T00:00:00.000Z,114,37,4
32,2020-04-30T00:00:00.000Z,129,39,4
33,2020-05-01T00:00:00.000Z,150,53,4
34,2020-05-02T00:00:00.000Z,166,53,4
35,2020-05-03T00:00:00.000Z,185,58,5
36,2020-05-04T00:00:00.000Z,200,62,5
37,2020-05-05T00:00:00.000Z,231,65,6
38,2020-05-06T00:00:00.000Z,237,67,6
39,2020-05-07T00:00:00.000Z,255,75,6
40,2020-05-08T00:00:00.000Z,271,77,6
41,2020-05-09T00:00:00.000Z,289,78,6
42,2020-05-10T00:00:00.000Z,314,81,6
