,date,confirmed,cured,deaths
0,2020-03-19T00:00:00.000Z,1,0,0
1,2020-03-20T00:00:00.000Z,1,0,0
2,2020-03-21T00:00:00.000Z,1,0,0
3,2020-03-22T00:00:00.000Z,1,0,0
4,2020-03-23T00:00:00.000Z,1,0,0
5,2020-03-24T00:00:00.000Z,1,0,0
6,2020-03-25T00:00:00.000Z,1,0,0
7,2020-03-26T00:00:00.000Z,1,0,0
8,2020-03-27T00:00:00.000Z,2,0,0
9,2020-03-28T00:00:00.000Z,7,0,0
10,2020-03-29T00:00:00.000Z,7,0,0
11,2020-03-30T00:00:00.000Z,9,0,0
12,2020-03-31T00:00:00.000Z,9,0,0
13,2020-04-01T00:00:00.000Z,11,0,0
14,2020-04-02T00:00:00.000Z,11,1,0
15,2020-04-03T00:00:00.000Z,13,1,0
16,2020-04-04T00:00:00.000Z,23,1,0
17,2020-04-05T00:00:00.000Z,23,1,0
18,2020-04-06T00:00:00.000Z,33,1,0
19,2020-04-07T00:00:00.000Z,47,1,0
20,2020-04-08T00:00:00.000Z,47,1,0
21,2020-04-09T00:00:00.000Z,60,7,0
22,2020-04-10T00:00:00.000Z,60,7,0
23,2020-04-11T00:00:00.000Z,62,7,0
24,2020-04-12T00:00:00.000Z,80,7,0
25,2020-04-13T00:00:00.000Z,86,7,0
26,2020-04-14T00:00:00.000Z,96,8,0
27,2020-04-15T00:00:00.000Z,121,8,0
28,2020-04-16T00:00:00.000Z,136,8,0
29,2020-04-17T00:00:00.000Z,149,10,0
30,2020-04-18T00:00:00.000Z,164,12,1
31,2020-04-19T00:00:00.000Z,183,12,1
32,2020-04-20T00:00:00.000Z,203,12,2
33,2020-04-21T00:00:00.000Z,213,12,2
34,2020-04-22T00:00:00.000Z,225,12,2
35,2020-04-23T00:00:00.000Z,239,12,2
36,2020-04-24T00:00:00.000Z,247,41,2
37,2020-04-25T00:00:00.000Z,263,41,2
38,2020-04-26T00:00:00.000Z,274,70,2
39,2020-04-27T00:00:00.000Z,282,70,2
40,2020-04-28T00:00:00.000Z,296,70,2
41,2020-04-29T00:00:00.000Z,327,70,2
42,2020-04-30T00:00:00.000Z,359,79,3
43,2020-05-01T00:00:00.000Z,403,79,3
44,2020-05-02T00:00:00.000Z,434,85,3
45,2020-05-03T00:00:00.000Z,456,87,4
46,2020-05-04T00:00:00.000Z,485,92,5
47,2020-05-05T00:00:00.000Z,517,99,6
48,2020-05-06T00:00:00.000Z,537,102,7
49,2020-05-07T00:00:00.000Z,595,119,7
50,2020-05-08T00:00:00.000Z,653,133,7
51,2020-05-09T00:00:00.000Z,679,164,10
52,2020-05-10T00:00:00.000Z,758,177,10
53,2020-05-11T00:00:00.000Z,843,180,11
54,2020-05-12T00:00:00.000Z,911,186,12
55,2020-05-13T00:00:00.000Z,921,232,12
56,2020-05-14T00:00:00.000Z,1023,272,12
57,2020-05-15T00:00:00.000Z,1124,307,13
58,2020-05-16T00:00:00.000Z,1192,333,13
59,2020-05-17T00:00:00.000Z,1245,334,13
60,2020-05-18T00:00:00.000Z,1291,343,13
61,2020-05-19T00:00:00.000Z,1313,397,15
62,2020-05-20T00:00:00.000Z,1360,426,16
63,2020-05-21T00:00:00.000Z,1415,444,16
64,2020-05-22T00:00:00.000Z,1463,478,16
65,2020-05-23T00:00:00.000Z,1505,509,17
66,2020-05-24T00:00:00.000Z,1566,514,17
67,2020-05-25T00:00:00.000Z,1602,516,17
68,2020-05-26T00:00:00.000Z,1639,551,18
69,2020-05-27T00:00:00.000Z,1686,599,18
70,2020-05-28T00:00:00.000Z,1745,646,18
71,2020-05-29T00:00:00.000Z,1813,707,18
72,2020-05-30T00:00:00.000Z,1900,783,18
73,2020-05-31T00:00:00.000Z,1977,783,18
74,2020-06-01T00:00:00.000Z,2057,786,18
75,2020-06-02T00:00:00.000Z,2140,864,18
76,2020-06-03T00:00:00.000Z,2205,928,18
77,2020-06-04T00:00:00.000Z,2322,963,20
78,2020-06-05T00:00:00.000Z,2447,997,20
79,2020-06-06T00:00:00.000Z,2577,1063,22
80,2020-06-07T00:00:00.000Z,2705,1064,22
81,2020-06-08T00:00:00.000Z,2822,1091,22
82,2020-06-09T00:00:00.000Z,2930,1196,25
83,2020-06-10T00:00:00.000Z,3031,1238,25
84,2020-06-11T00:00:00.000Z,3130,1307,25
85,2020-06-12T00:00:00.000Z,3228,1348,27
86,2020-06-13T00:00:00.000Z,3323,1351,27
87,2020-06-14T00:00:00.000Z,3417,1378,27
88,2020-06-15T00:00:00.000Z,3508,1388,27
89,2020-06-16T00:00:00.000Z,3599,1511,30
90,2020-06-17T00:00:00.000Z,3685,1676,31
91,2020-06-18T00:00:00.000Z,3768,1756,32
92,2020-06-19T00:00:00.000Z,3853,2035,34
93,2020-06-20T00:00:00.000Z,3934,2275,35
94,2020-06-21T00:00:00.000Z,4017,2276,35
95,2020-06-22T00:00:00.000Z,4098,2340,35
96,2020-06-23T00:00:00.000Z,4176,2498,35
97,2020-06-24T00:00:00.000Z,4253,2630,37
98,2020-06-25T00:00:00.000Z,4330,2643,39
99,2020-06-26T00:00:00.000Z,4405,2763,40
100,2020-06-27T00:00:00.000Z,4479,2836,40
101,2020-06-28T00:00:00.000Z,4550,2838,43
102,2020-06-29T00:00:00.000Z,4621,2869,43
103,2020-06-30T00:00:00.000Z,4691,2923,44
104,2020-07-01T00:00:00.000Z,4761,2967,45
105,2020-07-02T00:00:00.000Z,4829,2973,45
106,2020-07-03T00:00:00.000Z,4898,3073,48
107,2020-07-04T00:00:00.000Z,4965,3113,49
108,2020-07-05T00:00:00.000Z,5034,3116,49
109,2020-07-06T00:00:00.000Z,5102,3131,49
110,2020-07-07T00:00:00.000Z,5168,3177,49
111,2020-07-08T00:00:00.000Z,5232,3255,51
112,2020-07-09T00:00:00.000Z,5304,3331,53
113,2020-07-10T00:00:00.000Z,5371,3350,55
114,2020-07-11T00:00:00.000Z,5436,3436,57
115,2020-07-12T00:00:00.000Z,5501,3438,58
116,2020-07-13T00:00:00.000Z,5565,3464,59
117,2020-07-14T00:00:00.000Z,5629,3628,59
118,2020-07-15T00:00:00.000Z,5691,4015,59
119,2020-07-16T00:00:00.000Z,5752,4088,61
120,2020-07-17T00:00:00.000Z,5813,4153,63
121,2020-07-18T00:00:00.000Z,5876,4232,64
122,2020-07-19T00:00:00.000Z,5938,4241,64
123,2020-07-20T00:00:00.000Z,5998,4262,64
124,2020-07-21T00:00:00.000Z,6059,4387,65
125,2020-07-22T00:00:00.000Z,6116,4470,65
126,2020-07-23T00:00:00.000Z,6172,4510,69
127,2020-07-24T00:00:00.000Z,6222,4618,74
128,2020-07-25T00:00:00.000Z,6265,4682,79
129,2020-07-26T00:00:00.000Z,6303,4690,83
130,2020-07-27T00:00:00.000Z,6330,4693,86
131,2020-07-28T00:00:00.000Z,6352,4753,88
132,2020-07-29T00:00:00.000Z,6377,4906,90
133,2020-07-30T00:00:00.000Z,6401,4990,91
134,2020-07-31T00:00:00.000Z,6426,5052,94
135,2020-08-01T00:00:00.000Z,6452,5125,97
136,2020-08-02T00:00:00.000Z,6479,5132,99
137,2020-08-03T00:00:00.000Z,6500,5136,102
138,2020-08-04T00:00:00.000Z,6522,5158,104
139,2020-08-05T00:00:00.000Z,6546,5224,107
140,2020-08-06T00:00:00.000Z,6572,5275,107
141,2020-08-07T00:00:00.000Z,6597,5321,107
142,2020-08-08T00:00:00.000Z,6623,5350,107
143,2020-08-09T00:00:00.000Z,6650,5373,107
144,2020-08-10T00:00:00.000Z,6676,5373,107
145,2020-08-11T00:00:00.000Z,6700,5401,108
146,2020-08-12T00:00:00.000Z,6756,5426,108
147,2020-08-13T00:00:00.000Z,6785,5475,109
148,2020-08-14T00:00:00.000Z,6813,5509,110
149,2020-08-15T00:00:00.000Z,6845,5565,111
150,2020-08-16T00:00:00.000Z,6876,5568,111
151,2020-08-17T00:00:00.000Z,6909,5580,111
152,2020-08-18T00:00:00.000Z,6941,5701,112
153,2020-08-19T00:00:00.000Z,6974,5734,112
154,2020-08-20T00:00:00.000Z,7009,5797,112
155,2020-08-21T00:00:00.000Z,7042,5858,112
156,2020-08-22T00:00:00.000Z,7075,5878,112
157,2020-08-23T00:00:00.000Z,7110,5889,112
158,2020-08-24T00:00:00.000Z,7143,5890,114
159,2020-08-25T00:00:00.000Z,7175,5931,115
160,2020-08-26T00:00:00.000Z,7210,5979,115
161,2020-08-27T00:00:00.000Z,7248,6004,117
162,2020-08-28T00:00:00.000Z,7285,6060,117
163,2020-08-29T00:00:00.000Z,7321,6105,118
164,2020-08-30T00:00:00.000Z,7360,6105,118
165,2020-08-31T00:00:00.000Z,7397,6110,118
166,2020-09-01T00:00:00.000Z,7433,6156,119
167,2020-09-02T00:00:00.000Z,7471,6184,119
168,2020-09-03T00:00:00.000Z,7509,6257,119
169,2020-09-04T00:00:00.000Z,7549,6293,120
170,2020-09-05T00:00:00.000Z,7591,6305,121
171,2020-09-06T00:00:00.000Z,7634,6305,121
172,2020-09-07T00:00:00.000Z,7675,6309,122
