,date,confirmed,cured,deaths
0,2020-04-05T00:00:00.000Z,2,0,0
1,2020-04-06T00:00:00.000Z,2,0,0
2,2020-04-07T00:00:00.000Z,2,0,0
3,2020-04-08T00:00:00.000Z,2,0,0
4,2020-04-09T00:00:00.000Z,5,0,0
5,2020-04-10T00:00:00.000Z,5,0,0
6,2020-04-11T00:00:00.000Z,10,0,0
7,2020-04-12T00:00:00.000Z,10,0,0
8,2020-04-13T00:00:00.000Z,10,0,0
9,2020-04-14T00:00:00.000Z,21,0,0
10,2020-04-15T00:00:00.000Z,21,0,0
11,2020-04-16T00:00:00.000Z,29,2,0
12,2020-04-17T00:00:00.000Z,29,2,0
13,2020-04-18T00:00:00.000Z,34,3,0
14,2020-04-19T00:00:00.000Z,41,3,0
15,2020-04-20T00:00:00.000Z,48,4,0
16,2020-04-21T00:00:00.000Z,48,4,0
17,2020-04-22T00:00:00.000Z,63,4,0
18,2020-04-23T00:00:00.000Z,78,5,0
19,2020-04-24T00:00:00.000Z,84,5,0
20,2020-04-25T00:00:00.000Z,87,5,0
21,2020-04-26T00:00:00.000Z,110,5,0
22,2020-04-27T00:00:00.000Z,195,9,0
23,2020-04-28T00:00:00.000Z,203,9,0
24,2020-04-29T00:00:00.000Z,241,14,0
25,2020-04-30T00:00:00.000Z,265,18,0
26,2020-05-01T00:00:00.000Z,281,20,0
27,2020-05-02T00:00:00.000Z,286,28,0
28,2020-05-03T00:00:00.000Z,311,30,0
29,2020-05-04T00:00:00.000Z,339,37,0
30,2020-05-05T00:00:00.000Z,347,43,0
31,2020-05-06T00:00:00.000Z,348,44,0
32,2020-05-07T00:00:00.000Z,350,47,0
33,2020-05-08T00:00:00.000Z,353,50,0
34,2020-05-09T00:00:00.000Z,363,60,0
35,2020-05-10T00:00:00.000Z,376,65,0
36,2020-05-11T00:00:00.000Z,384,72,0
37,2020-05-12T00:00:00.000Z,398,78,1
38,2020-05-13T00:00:00.000Z,418,86,1
39,2020-05-14T00:00:00.000Z,429,105,1
40,2020-05-15T00:00:00.000Z,443,148,1
41,2020-05-16T00:00:00.000Z,461,152,1
42,2020-05-17T00:00:00.000Z,477,156,2
43,2020-05-18T00:00:00.000Z,495,167,2
44,2020-05-19T00:00:00.000Z,515,179,3
45,2020-05-20T00:00:00.000Z,536,179,3
46,2020-05-21T00:00:00.000Z,554,210,5
47,2020-05-22T00:00:00.000Z,572,218,5
48,2020-05-23T00:00:00.000Z,595,237,6
49,2020-05-24T00:00:00.000Z,627,244,7
50,2020-05-25T00:00:00.000Z,658,260,8
51,2020-05-26T00:00:00.000Z,678,276,8
52,2020-05-27T00:00:00.000Z,700,289,8
53,2020-05-28T00:00:00.000Z,725,289,8
54,2020-05-29T00:00:00.000Z,759,289,8
55,2020-05-30T00:00:00.000Z,805,353,9
56,2020-05-31T00:00:00.000Z,849,353,9
57,2020-06-01T00:00:00.000Z,881,353,9
58,2020-06-02T00:00:00.000Z,916,353,9
59,2020-06-03T00:00:00.000Z,949,353,9
60,2020-06-04T00:00:00.000Z,984,353,9
61,2020-06-05T00:00:00.000Z,1033,353,10
62,2020-06-06T00:00:00.000Z,1085,391,22
63,2020-06-07T00:00:00.000Z,1125,391,22
64,2020-06-08T00:00:00.000Z,1168,391,22
65,2020-06-09T00:00:00.000Z,1214,391,22
66,2020-06-10T00:00:00.000Z,1255,425,28
67,2020-06-11T00:00:00.000Z,1306,456,30
68,2020-06-12T00:00:00.000Z,1360,456,30
69,2020-06-13T00:00:00.000Z,1409,456,30
70,2020-06-14T00:00:00.000Z,1454,456,30
71,2020-06-15T00:00:00.000Z,1496,456,30
72,2020-06-16T00:00:00.000Z,1536,483,30
73,2020-06-17T00:00:00.000Z,1575,524,37
74,2020-06-18T00:00:00.000Z,1617,533,37
75,2020-06-19T00:00:00.000Z,1662,542,37
76,2020-06-20T00:00:00.000Z,1714,550,37
77,2020-06-21T00:00:00.000Z,1755,551,37
78,2020-06-22T00:00:00.000Z,1793,569,37
79,2020-06-23T00:00:00.000Z,1834,600,37
80,2020-06-24T00:00:00.000Z,1927,623,37
81,2020-06-25T00:00:00.000Z,1969,710,42
82,2020-06-26T00:00:00.000Z,2008,735,42
83,2020-06-27T00:00:00.000Z,2052,763,42
84,2020-06-28T00:00:00.000Z,2093,816,44
85,2020-06-29T00:00:00.000Z,2145,870,44
86,2020-06-30T00:00:00.000Z,2190,946,47
87,2020-07-01T00:00:00.000Z,2245,963,47
88,2020-07-02T00:00:00.000Z,2293,1073,47
89,2020-07-03T00:00:00.000Z,2334,1166,47
90,2020-07-04T00:00:00.000Z,2380,1175,47
91,2020-07-05T00:00:00.000Z,2422,1256,50
92,2020-07-06T00:00:00.000Z,2469,1400,50
93,2020-07-07T00:00:00.000Z,2514,1460,50
94,2020-07-08T00:00:00.000Z,2560,1519,50
95,2020-07-09T00:00:00.000Z,2602,1551,50
96,2020-07-10T00:00:00.000Z,2640,1619,50
97,2020-07-11T00:00:00.000Z,2676,1639,50
98,2020-07-12T00:00:00.000Z,2713,1640,50
99,2020-07-13T00:00:00.000Z,2757,1724,50
100,2020-07-14T00:00:00.000Z,2798,1856,50
101,2020-07-15T00:00:00.000Z,2840,1957,50
102,2020-07-16T00:00:00.000Z,2876,2081,50
103,2020-07-17T00:00:00.000Z,2910,2130,50
104,2020-07-18T00:00:00.000Z,2945,2155,50
105,2020-07-19T00:00:00.000Z,2982,2183,50
106,2020-07-20T00:00:00.000Z,3017,2209,50
107,2020-07-21T00:00:00.000Z,3051,2316,50
108,2020-07-22T00:00:00.000Z,3086,2392,50
109,2020-07-23T00:00:00.000Z,3122,2499,50
110,2020-07-24T00:00:00.000Z,3160,2623,50
111,2020-07-25T00:00:00.000Z,3201,2648,50
112,2020-07-26T00:00:00.000Z,3240,2663,50
113,2020-07-27T00:00:00.000Z,3270,2765,50
114,2020-07-28T00:00:00.000Z,3289,2879,50
115,2020-07-29T00:00:00.000Z,3314,2960,50
116,2020-07-30T00:00:00.000Z,3336,2971,50
117,2020-07-31T00:00:00.000Z,3362,2987,50
118,2020-08-01T00:00:00.000Z,3378,3001,50
119,2020-08-02T00:00:00.000Z,3401,3001,50
120,2020-08-03T00:00:00.000Z,3414,3008,50
121,2020-08-04T00:00:00.000Z,3427,3014,50
122,2020-08-05T00:00:00.000Z,3442,3019,50
123,2020-08-06T00:00:00.000Z,3456,3026,50
124,2020-08-07T00:00:00.000Z,3483,3036,50
125,2020-08-08T00:00:00.000Z,3501,3047,50
126,2020-08-09T00:00:00.000Z,3516,3047,50
127,2020-08-10T00:00:00.000Z,3526,3047,50
128,2020-08-11T00:00:00.000Z,3538,3054,50
129,2020-08-12T00:00:00.000Z,3553,3062,50
130,2020-08-13T00:00:00.000Z,3569,3069,50
131,2020-08-14T00:00:00.000Z,3586,3075,50
132,2020-08-15T00:00:00.000Z,3601,3082,50
133,2020-08-16T00:00:00.000Z,3615,3082,50
134,2020-08-17T00:00:00.000Z,3627,3082,50
135,2020-08-18T00:00:00.000Z,3641,3094,50
136,2020-08-19T00:00:00.000Z,3654,3100,50
137,2020-08-20T00:00:00.000Z,3667,3107,50
138,2020-08-21T00:00:00.000Z,3737,3117,50
139,2020-08-22T00:00:00.000Z,3748,3122,50
140,2020-08-23T00:00:00.000Z,3759,3122,50
141,2020-08-24T00:00:00.000Z,3768,3122,50
142,2020-08-25T00:00:00.000Z,3779,3127,50
143,2020-08-26T00:00:00.000Z,3791,3135,50
144,2020-08-27T00:00:00.000Z,3803,3143,50
145,2020-08-28T00:00:00.000Z,3816,3150,50
146,2020-08-29T00:00:00.000Z,3828,3156,50
147,2020-08-30T00:00:00.000Z,3841,3156,50
148,2020-08-31T00:00:00.000Z,3852,3157,50
149,2020-09-01T00:00:00.000Z,3864,3167,50
150,2020-09-02T00:00:00.000Z,3877,3173,50
151,2020-09-03T00:00:00.000Z,3901,3180,50
152,2020-09-04T00:00:00.000Z,3915,3189,50
153,2020-09-05T00:00:00.000Z,3929,3194,50
154,2020-09-06T00:00:00.000Z,3942,3195,50
155,2020-09-07T00:00:00.000Z,3955,3195,50
156,2020-09-08T00:00:00.000Z,3967,3196,50
157,2020-09-09T00:00:00.000Z,3981,3202,50
158,2020-09-10T00:00:00.000Z,3996,3205,50
159,2020-09-11T00:00:00.000Z,4026,3210,50
160,2020-09-12T00:00:00.000Z,4053,3218,54
161,2020-09-13T00:00:00.000Z,4078,3218,57
162,2020-09-14T00:00:00.000Z,4099,3218,60
163,2020-09-15T00:00:00.000Z,4122,3228,64
164,2020-09-16T00:00:00.000Z,4145,3234,67
165,2020-09-17T00:00:00.000Z,4173,3238,67
166,2020-09-18T00:00:00.000Z,4198,3245,67
167,2020-09-19T00:00:00.000Z,4224,3250,67
168,2020-09-20T00:00:00.000Z,4244,3250,67
169,2020-09-21T00:00:00.000Z,4266,3250,67
170,2020-09-22T00:00:00.000Z,4291,3256,67
171,2020-09-23T00:00:00.000Z,4316,3263,67
172,2020-09-24T00:00:00.000Z,4343,3271,67
173,2020-09-25T00:00:00.000Z,4369,3278,67
174,2020-09-26T00:00:00.000Z,4394,3285,67
175,2020-09-27T00:00:00.000Z,4418,3285,67
176,2020-09-28T00:00:00.000Z,4443,3290,67
